pmid,pmcid,title,journal,insert_time,label,caption,graphic
25396191,PMC4228221,The Effectiveness of Mapping Biopsy in Patients with Extramammary Paget's Disease.,Arch Plast Surg,2023-12-17-22-08-14,Fig. 1,"Preoperative mapping biopsy at OPDFor 57-year-old male patient, punch biopsy was performed at the margin of 2 cm away from the lesion. OPD, outpatient department.",aps-41-753-g001
25396191,PMC4228221,The Effectiveness of Mapping Biopsy in Patients with Extramammary Paget's Disease.,Arch Plast Surg,2023-12-17-22-08-14,Fig. 2,"Schematic flow chart of EMPD patientPatients who diagnosed EMPD were repeated mapping biopsy until the all specimen showed negative of tumor cells. EMPD, extramammary Paget's disease; f/u, follow up.",aps-41-753-g002
25396191,PMC4228221,The Effectiveness of Mapping Biopsy in Patients with Extramammary Paget's Disease.,Arch Plast Surg,2023-12-17-22-08-14,Fig. 3,"Paget's cells at permanent biopsyCells (black arrow) have pleomorphic nuclei, prominent nucleoli, and abundant cytoplasm (H&E, ×100).",aps-41-753-g003
25396191,PMC4228221,The Effectiveness of Mapping Biopsy in Patients with Extramammary Paget's Disease.,Arch Plast Surg,2023-12-17-22-08-14,Fig. 4,Scrotum and penile shaft reconstructionSplit thickness skin graft and scrotal flap techniques were used to reconstruct the scrotum and penile shaft after the wide excision.,aps-41-753-g004
26447133,PMC4876076,Rare Case of Anal Canal Signet Ring Cell Carcinoma Associated with Perianal and Vulvar Pagetoid Spread.,J Pathol Transl Med,2023-12-17-22-08-14,Fig. 1.,Radiologic findings. (A) Abdominal computed tomography reveals a well-enhancing lesion (arrow) at the right perianal portion. (B) Enlarged bilateral inguinal lymph nodes (arrows) are found.,jptm-2015-08-08f1
26447133,PMC4876076,Rare Case of Anal Canal Signet Ring Cell Carcinoma Associated with Perianal and Vulvar Pagetoid Spread.,J Pathol Transl Med,2023-12-17-22-08-14,Fig. 2.,Gross pictures. (A) Perianal and vulvar skin shows elevated erythematous changes. (B) Extended Miles’ operation specimen consists of distal rectal segment and excision of perianal region and vulva. (C) Cross-section of the resected specimen shows a firm anal canal mass infiltrating to the perianal skin and levator ani muscle.,jptm-2015-08-08f2
26447133,PMC4876076,Rare Case of Anal Canal Signet Ring Cell Carcinoma Associated with Perianal and Vulvar Pagetoid Spread.,J Pathol Transl Med,2023-12-17-22-08-14,Fig. 3.,"(A) A transmural, yellowish gray firm mass is composed of singly scattered signet ring cells and some extracellular mucin. Note the surface mucosal erosion. (B) The majority of the mass is infiltrated by signet ring carcinoma cells, and poorly differentiated mucinous glands are floating in the mucin pool. Inset indicates high magnification of signet ring cells showing intracytoplasmic mucin compressing the hyperchromatic nuclei to the periphery. (C) The transformation zone of the anal canal shows infiltration of multifocal signet ring cell carcinoma (white arrows) and a focus of atypical gland beneath the mucosa (black arrow). Inset shows adenocarcinoma in situ with a gland having enlarged hyperchromatic nuclei with coarse chromatin and increased nuclear/cytoplasmic ratio. (D) Large Paget cells showing clear cytoplasm with eccentric hyperchromic nuclei are located along the basal layer of the squamous epithelium. Inset indicates Paget cells in the epidermis.",jptm-2015-08-08f3
35728950,PMC9279839,"The European Society of Gynaecological Oncology (ESGO), the International Society for the Study of Vulvovaginal Disease (ISSVD), the European College for the Study of Vulval Disease (ECSVD) and the European Federation for Colposcopy (EFC) consensus statements on pre-invasive vulvar lesions.",Int J Gynecol Cancer,2023-12-17-22-08-14,Figure 1,Vulvar high grade squamous intraepithelial lesion; brownish and erythematous poorly marginated plaques on the inner side of left labium.,ijgc-2021-003262f01
35728950,PMC9279839,"The European Society of Gynaecological Oncology (ESGO), the International Society for the Study of Vulvovaginal Disease (ISSVD), the European College for the Study of Vulval Disease (ECSVD) and the European Federation for Colposcopy (EFC) consensus statements on pre-invasive vulvar lesions.",Int J Gynecol Cancer,2023-12-17-22-08-14,Figure 2,Differentiated vulvar intraepithelial neoplasia; whitish poorly marginated plaque on internal side of right labium minus in a field of lichen sclerosus.,ijgc-2021-003262f02
35728950,PMC9279839,"The European Society of Gynaecological Oncology (ESGO), the International Society for the Study of Vulvovaginal Disease (ISSVD), the European College for the Study of Vulval Disease (ECSVD) and the European Federation for Colposcopy (EFC) consensus statements on pre-invasive vulvar lesions.",Int J Gynecol Cancer,2023-12-17-22-08-14,Figure 3,Vulvar Paget disease in situ; erythematous and white lesion involving whole vulva with superficial erosions.,ijgc-2021-003262f03
