pmid,pmcid,title,journal,insert_time,has_targz
24249910,PMC3827530,Zosteriform palisaded encapsulated neuroma: an unusual presentation.,Indian J Dermatol,2023-12-17-22-15-34,True
26877744,PMC4749420,Palisaded Encapsulated Neuroma of the Tongue Clinically Mimicking a Pyogenic Granuloma: A Case Report and Review of Literature.,J Dent (Tehran),2023-12-17-22-15-34,True
26955159,PMC4763676,Palisaded Encapsulated Neuroma in a Zosteriform Distribution.,Indian J Dermatol,2023-12-17-22-15-34,True
27630799,PMC5016044,Palisaded Encapsulated Neuroma of the Trunk: A Case Report and Review of Palisaded Encapsulated Neuroma.,Cureus,2023-12-17-22-15-34,True
29201976,PMC5702437,Palisaded Encapsulated (Solitary Circumscribed) Neuroma of the Buccal Mucosa: a Rare Case.,J Dent (Shiraz),2023-12-17-22-15-34,True
30050817,PMC6042183,Palisaded Encapsulated Neuroma: An Unusual Presentation.,Indian Dermatol Online J,2023-12-17-22-15-34,True
31598201,PMC6776406,Oral neural tumors: Clinicopathologic analysis of 157 cases and review of the literature.,J Clin Exp Dent,2023-12-17-22-15-34,True
31700572,PMC6825737,Five years review of extraction frequencies at S.D.M. College of dental sciences and Hospital in orthodontic department.,J Clin Exp Dent,2023-12-17-22-15-34,True
34141127,PMC8189924,Palisaded encapsulated neuroma of the upper labial mucosa: Case report.,J Dent Sci,2023-12-17-22-15-34,True
34237212,PMC8913907,Palisaded encapsulated neuroma on the lower lip: a case report.,J Yeungnam Med Sci,2023-12-17-22-15-34,True
37521230,PMC10373817,Dermoscopic Clues in Diagnosis of Zosteriform Palisaded Encapsulated Neuroma.,Indian Dermatol Online J,2023-12-17-22-15-34,True
38028074,PMC10654556,Oral palisaded encapsulated neuroma; a diagnosis seldom suspected clinically.,Clin Case Rep,2023-12-17-22-15-34,False
