pmcid,figure_name,width,height
PMC4763676,IJD-61-126c-g001.jpg,539,269
PMC4763676,IJD-61-126c-g002.jpg,626,586
PMC3827530,IJD-58-492b-g005.jpg,457,427
PMC3827530,IJD-58-492b-g001.jpg,482,537
PMC3827530,IJD-58-492b-g004.jpg,630,538
PMC3827530,IJD-58-492b-g002.jpg,345,538
PMC3827530,IJD-58-492b-g003.jpg,598,538
PMC4749420,JOD-12-537-g003.jpg,562,379
PMC4749420,JOD-12-537-g002.jpg,545,406
PMC4749420,JOD-12-537-g001.jpg,562,409
PMC4749420,JOD-12-537-g004.jpg,562,422
PMC5016044,cureus-0008-000000000726-i02.jpg,768,432
PMC5016044,cureus-0008-000000000726-i01.jpg,800,600
PMC5702437,JDS-18-314-g004.jpg,576,429
PMC5702437,JDS-18-314-g003.jpg,576,429
PMC5702437,JDS-18-314-g001.jpg,576,429
PMC5702437,JDS-18-314-g002.jpg,576,429
PMC6042183,IDOJ-9-262-g003.jpg,539,606
PMC6042183,IDOJ-9-262-g004.jpg,539,436
PMC6042183,IDOJ-9-262-g001.jpg,539,718
PMC6042183,IDOJ-9-262-g002.jpg,539,404
PMC6776406,jced-11-e721-g001.jpg,761,394
PMC6776406,jced-11-e721-t004.jpg,760,495
PMC6776406,jced-11-e721-t002.jpg,767,559
PMC6776406,jced-11-e721-t001.jpg,766,442
PMC6776406,jced-11-e721-t003.jpg,768,686
PMC6825737,jced-11-e991-g005.jpg,751,492
PMC6825737,jced-11-e991-g010.jpg,711,468
PMC6825737,jced-11-e991-t002.jpg,775,288
PMC6825737,jced-11-e991-g003.jpg,780,437
PMC6825737,jced-11-e991-g004.jpg,702,370
PMC6825737,jced-11-e991-g002.jpg,799,416
PMC6825737,jced-11-e991-g007.jpg,798,479
PMC6825737,jced-11-e991-t003.jpg,756,323
PMC6825737,jced-11-e991-g008.jpg,707,491
PMC6825737,jced-11-e991-g001.jpg,783,416
PMC6825737,jced-11-e991-g006.jpg,787,426
PMC6825737,jced-11-e991-g009.jpg,730,470
PMC6825737,jced-11-e991-t004.jpg,727,324
PMC6825737,jced-11-e991-t001.jpg,788,349
PMC8913907,yujm-2021-01088f1.jpg,763,594
PMC8913907,yujm-2021-01088f2.jpg,706,510
PMC8189924,gr1.jpg,790,908
PMC10373817,IDOJ-14-578-g001.jpg,596,794
PMC10373817,IDOJ-14-578-g002.jpg,596,330
PMC10373817,IDOJ-14-578-g003.jpg,539,236
