pmid,pmcid,title,journal,insert_time,has_targz,disease
15555068,PMC535354,Supracubital perineurioma misdiagnosed as carpal tunnel syndrome: case report.,BMC Neurol,2023-12-17-22-15-35,True,Match
19841714,PMC2763065,Oral intraneural perineurioma. Report of two cases.,Clinics (Sao Paulo),2023-12-17-22-15-35,True,Match
20738883,PMC2936321,"Soft-tissue perineurioma of the retroperitoneum in a 63-year-old man, computed tomography and magnetic resonance imaging findings: a case report.",J Med Case Rep,2023-12-17-22-15-35,True,Match
21151724,PMC2990242,Endobronchial perineurioma: an unusual soft tissue lesion in an unreported location.,Patholog Res Int,2023-12-17-22-15-35,True,Match
23109982,PMC3479702,A soft tissue perineurioma and a hybrid tumor of perineurioma and schwannoma.,Korean J Pathol,2023-12-17-22-15-35,True,Match
24103568,PMC3853886,Benign cutaneous plexiform hybrid tumor of perineurioma and cellular neurothekeoma arising from the nose.,Diagn Pathol,2023-12-17-22-15-35,True,Match
24410763,PMC3937153,Soft tissue perineurioma of the tongue: report of a case and review of the literature.,World J Surg Oncol,2023-12-17-22-15-35,True,Match
24883285,PMC4037780,Surgical removal of intraneural perineurioma arising in the brachial plexus using an interfascicular dissection technique.,Arch Plast Surg,2023-12-17-22-15-35,True,Match
25588629,PMC4284484,Hybrid granular cell tumor/perineurioma.,Korean J Pathol,2023-12-17-22-15-35,True,Match
26545719,PMC4636768,Case report of bilateral relapsing-remitting sciatic nerve palsy during two pregnancies.,BMC Res Notes,2023-12-17-22-15-35,True,NotMatch
26889289,PMC4732252,Perineurioma of scalp in an infant: A case report with short review of literature.,Asian J Neurosurg,2023-12-17-22-15-35,True,Match
27326273,PMC4899878,MRI of intraneural perineurioma of the brachial plexus.,Radiol Case Rep,2023-12-17-22-15-35,True,Match
27335795,PMC4909516,"Periprostatic Perineurioma, Description of a Case With Unusual Localization.",Urol Case Rep,2023-12-17-22-15-35,True,Match
27525083,PMC4974427,Case report: Intraneural perineurioma of the sciatic nerve in an adolescent - strategies for revealing the diagnosis.,Clin Case Rep,2023-12-17-22-15-35,True,Match
28526004,PMC5438510,Hybrid peripheral nerve sheath tumors: report of five cases and detailed review of literature.,BMC Cancer,2023-12-17-22-15-35,True,NotMatch
29245354,PMC5728969,Anesthesia for a parturient with intraneural perineurioma: A case report.,Medicine (Baltimore),2023-12-17-22-15-35,True,Match
29456994,PMC5803675,Benign Cutaneous Peripheral Nerve Sheath Tumor with Hybrid Features: Report of Two Cases with Schwannoma/Perineurioma and Schwannoma/Neurofibroma Components.,Dermatopathology (Basel),2023-12-17-22-15-35,True,Match
29463272,PMC5819702,Colonic perineurioma (benign fibroblastic polyp): case report and review of the literature.,Diagn Pathol,2023-12-17-22-15-35,True,Match
30213264,PMC6137890,Intraosseous intraneural perineurioma derived from the inferior alveolar nerve with an abnormality of chromosome 22 and expression of the BCR-ABL fusion gene: report of a case and review of recent literature.,World J Surg Oncol,2023-12-17-22-15-35,True,Match
30574002,PMC6295680,A Colonic Perineurioma.,Clin Med Insights Pathol,2023-12-17-22-15-35,True,Match
30637060,PMC6317392,Intraneural perineurioma: a retrospective study of 19 patients.,Pan Afr Med J,2023-12-17-22-15-35,True,Match
30996167,PMC6702019,Atypical Endoscopic Findings of Rectal Perineurioma.,Intern Med,2023-12-17-22-15-35,True,Match
