pmcid,label,caption,graphic,disease,modality
PMC2763065,Figure 1,"A (Case 1) - A sessile nodule covered by filiform and erythematous fungiform papillae, located on the lingual apex. B (Case 2) - A small pediculadum nodule in the lower lip (black arrow)",cln_64p1037f1,NotMatch,NotMatch
PMC2763065,Figure 2,"(Case 1) - Tortuous and well-circumscribed cellular proliferation of peripheral nerve boundaries (H&E, original magnification x25)",cln_64p1037f2,NotMatch,Match
PMC2763065,Figure 3,"A - Onion-bulb-like structures composed of central Schwann cells and axons surrounded by circumferential proliferation of spindle-shaped perineurial neoplastic cells (hematoxylin and eosin, original magnification x200). B - Perineurial cells immunoreactive for epithelial membrane antigen encircle negative Schwann cells and axons (original magnification x200). C - Immunoexpression of S-100 protein in the myelin sheath and Schwann cells, surrounded by perineurial cells that were negative for S-100 protein(original magnification x200)",cln_64p1037f3,NotMatch,Match
PMC2763065,Figure 4,(Case 1) - Scanning electron micrograph showing onion-bulb-like structures. (x600),cln_64p1037f4,NotMatch,NotMatch
PMC2936321,Figure 1,Computed tomography results. (a) Plain computed tomography (CT) shows a well-corcumscribed water-density (12HU) mass at the pancreatic body. (b) Contrast-enhanced CT shows the tumor with subtle enhancement (30HU).,1752-1947-4-290-1,NotMatch,NotMatch
PMC2936321,Figure 2,"Magnetic resonance imaging results. (a) Axial T2-weighted MR image shows that the mass has almost homogeneous high signal intensity, (b) Axial T1-weighted MR images show that the mass has homogeneous low signal intensity.",1752-1947-4-290-2,NotMatch,NotMatch
PMC2936321,Figure 3,"Dynamic MR images show gradually increasing enhancement of the tumor after IV adminsitration of gadolinium-DTPA. Pre-contrast (top left); post-contrast, 30 sec (top right); 60 sec (bottom left); and 90 sec (bottom right).",1752-1947-4-290-3,NotMatch,NotMatch
PMC2936321,Figure 4,"Structure of the mass. (a) Cut surface of a well-circumscribed, whitish, solid mass. (b) Hypocellular tumor composed of spindle cells with elongated nuclei and slender cytoplasmic processes in prominent myxoid stroma.",1752-1947-4-290-4,NotMatch,NotMatch
PMC535354,Figure 1,Coronal T2-weighted MRI reveals a slightly hyperintense fusiforme tumorous lesion of the median nerve approximately 5 cm above the right elbow (arrows).,1471-2377-4-19-1,NotMatch,NotMatch
PMC535354,Figure 2,Axial fat-suppressed T2-weighted MRI shows a tumorous lesion of the median nerve with a fascicular pattern (arrow).,1471-2377-4-19-2,NotMatch,NotMatch
PMC535354,Figure 3,Multicompartment arrangement of concentric whirl-like formations showing strong immunoreactivity with the monoclonal antibody against the epithelial membrane antigen (arrows).,1471-2377-4-19-3,NotMatch,NotMatch
PMC535354,Figure 4,"Immunohistochemistry using the antibody against protein S-100: The pseudo-onion bulb formations are S-100-negative. In addition, small groups of regenerating axonal sprouts (arrows) surrounded by a perineurial ensheathment are visible indicating some neuroma-like component.",1471-2377-4-19-4,NotMatch,NotMatch
PMC3479702,Fig. 1,"A soft tissue perineurioma arising in the skin. Micrographs (A, B) show proliferation of spindle cells with wavy nuclei and delicate elongated bipolar cytoplasmic processes. Immunohistochemical staining reveals proliferating spindle cells, diffusely and strongly positive for epithelial membrane antigen (C) and focally positive for the S-100 protein (D).",kjpathol-46-75-g001,Match,NotMatch
PMC3479702,Fig. 2,"A hybrid perineurioma and schwannoma in the posterior mediastinum. Central circle shows two distinct representative areas of the hybrid tumor. The perineurioma-looking area (A) is composed of spindle cells with wavy nuclei and elongated bipolar cytoplasmic processes. The perineurioma area is also diffusely and strongly positive for epithelial membrane antigen (EMA) (B) but, negative for S-100 protein (C). Another spindle area manifests as a typical schwannoma (D), including Antoni A and B areas and nuclear palisading. In the schwannoma-looking area, the tumor cells are evenly and strongly immunoreactive for S-100 protein (F), but do not stain for EMA (E). H&E, hamatoxylin and eosin.",kjpathol-46-75-g002,Match,Match
PMC3479702,Fig. 3,"Transmission electron micrographs of the hybrid perineurioma and schwannoma. In the perineurioma area (A), the tumor cells show slender cytoplasmic processes containing pinocytic vesicles (indicated by arrows in the inset) and discontinuous external lamina (arrowheads). In contrast, the schwannoma area (B) exhibits attenuated cell processes invested by continuous basal lamina (×4,000).",kjpathol-46-75-g003,Match,NotMatch
PMC3853886,Figure 1,"Microscopic and immunohistochemical examination of the resected HPN specimen. (A) A scanning magnification of HPN (H&E stains) showed well-circumscribed but uncapsulated dermal to superficial subcutaneous multi-lobulated nodular lesions in a plexiform manner, separated by a slightly dense and sclerotic collagenous stroma, and compressing the pre-existing sebaceous glands. Bar = 1 mm. (B) Its multi-lobulated parts (H&E stains) were composed of a proliferation of neoplastic cells, arranged in tiny round or whorled nests and embedded in a relatively abundant Alcian blue-positive myxoid stroma (inset). Bar = 200 μm. (C) High-power view demonstrated that most of these neoplastic cells had a small and oval to plump spindle shape, with vesicular nuclei, inconspicuous nucleoli, abundant pale eosinophilic cytoplasm, and indistinct cellular borders (H&E stains). Mitotic figures were very rarely encountered. Bar = 50 μm. (D) In immunohistochemistry, the tumor cells of HPN were specifically positive (insets) for MiTF (lt.) and Glut-1 (rt.). Bars = 20 μm.",1746-1596-8-165-1,NotMatch,Match
PMC2990242,Figure 1,Three dimensional reconstructed CT image demonstrating an endobronchial soft tissue abnormality.,PRI2010-613824.001,NotMatch,NotMatch
PMC2990242,Figure 2,Bronchoscopic image demonstrating an endobronchial nodule at the left mainstem bronchus.,PRI2010-613824.002,NotMatch,NotMatch
PMC2990242,Figure 3,Spindle cell proliferation situated beneath benign bronchial mucosa. Hematoxylin and eosin.,PRI2010-613824.003,NotMatch,NotMatch
PMC2990242,Figure 4,Photomicrograph demonstrating a bland spindle cell proliferation with a collagenized stroma. Hematoxylin and eosin.,PRI2010-613824.004,NotMatch,NotMatch
PMC2990242,Figure 5,Spindle cells staining positively with claudin-1.,PRI2010-613824.005,NotMatch,NotMatch
PMC2990242,Figure 6,Spindle cells staining positively with epithelial membrane antigen (EMA).,PRI2010-613824.006,NotMatch,NotMatch
PMC3937153,Figure 1,"A spiral CT shows a round, well-circumscribed mass (arrow) in the right tip of tongue with homogeneous hypodensity compared with that of masseter.",1477-7819-12-11-1,NotMatch,NotMatch
PMC3937153,Figure 2,"Gross view of specimen reveals a solid, whitish, homogeneous appearance, measuring 1.1 × 1.1 × 1 cm.",1477-7819-12-11-2,NotMatch,NotMatch
PMC3937153,Figure 3,"Immunohistochemical results. (A) Tumor cells stained positive for epithelial membrane antigen (original magnification × 200), and (B) complete negativity for S-100 (original magnification × 200). There was negative expression of (C) CD34 and (D) smooth muscle actin in all tumor cells (positive in reactive vessels) (original magnification × 200).",1477-7819-12-11-3,NotMatch,NotMatch
PMC4636768,Fig. 1,Axial T2-weighted MRI of the pelvis. It shows bilateral enlarged sciatic nerves (arrows) with increased signal intensity. Note that single fascicles are separated from each other but the fascicular structure of the nerve is preserved,13104_2015_1647_Fig1_HTML,NotMatch,NotMatch
PMC4037780,Fig. 1,Intraoperative findings. The tumor originated from the axillary nerve of the posterior cord.,aps-41-296-g001,NotMatch,NotMatch
