pmcid,figure_name,width,height
PMC2763065,cln_64p1037f1.jpg,662,234
PMC2763065,cln_64p1037f3.jpg,665,174
PMC2763065,cln_64p1037f2.jpg,428,321
PMC2763065,cln_64p1037f4.jpg,413,310
PMC2936321,1752-1947-4-290-1.jpg,600,271
PMC2936321,1752-1947-4-290-4.jpg,600,273
PMC2936321,1752-1947-4-290-3.jpg,600,449
PMC2936321,1752-1947-4-290-2.jpg,600,266
PMC535354,1471-2377-4-19-1.jpg,600,732
PMC535354,1471-2377-4-19-4.jpg,600,1200
PMC535354,1471-2377-4-19-3.jpg,600,1200
PMC535354,1471-2377-4-19-2.jpg,600,679
PMC3853886,1746-1596-8-165-1.jpg,600,407
PMC3479702,kjpathol-46-75-g003.jpg,794,395
PMC3479702,kjpathol-46-75-g001.jpg,630,630
PMC3479702,kjpathol-46-75-g002.jpg,794,547
PMC3937153,1477-7819-12-11-2.jpg,600,438
PMC3937153,1477-7819-12-11-3.jpg,600,451
PMC3937153,1477-7819-12-11-1.jpg,600,586
PMC2990242,PRI2010-613824.006.jpg,438,330
PMC2990242,PRI2010-613824.002.jpg,751,775
PMC2990242,PRI2010-613824.004.jpg,426,333
PMC2990242,PRI2010-613824.005.jpg,429,342
PMC2990242,PRI2010-613824.003.jpg,435,333
PMC2990242,PRI2010-613824.001.jpg,429,300
PMC4636768,13104_2015_1647_Fig1_HTML.jpg,359,205
PMC4037780,aps-41-296-g005.jpg,669,511
PMC4037780,aps-41-296-g004.jpg,669,511
PMC4037780,aps-41-296-g001.jpg,669,535
PMC4037780,aps-41-296-g002.jpg,669,535
PMC4037780,aps-41-296-g003.jpg,669,535
PMC4284484,kjpathol-48-6-409f1.jpg,793,384
PMC4284484,kjpathol-48-6-409f3.jpg,794,397
PMC4284484,kjpathol-48-6-409f2.jpg,793,383
PMC4732252,AJNS-11-70b-g002.jpg,539,381
PMC4732252,AJNS-11-70b-g003.jpg,539,203
PMC4732252,AJNS-11-70b-g001.jpg,539,381
PMC4909516,gr2.jpg,747,398
PMC4909516,gr3.jpg,747,401
PMC4909516,gr1.jpg,647,493
PMC4899878,gr6.jpg,664,731
PMC4899878,gr2.jpg,667,572
PMC4899878,gr4.jpg,592,788
PMC4899878,gr3.jpg,700,223
PMC4899878,gr5.jpg,628,705
PMC4899878,gr1.jpg,682,307
PMC5728969,medi-96-e9135-g001.jpg,800,259
PMC5728969,medi-96-e9135-g003.jpg,800,414
PMC5728969,medi-96-e9135-g002.jpg,800,271
PMC5803675,dpa-0004-0001-g02.jpg,709,773
PMC5803675,dpa-0004-0001-g01.jpg,710,775
PMC5438510,12885_2017_3350_Fig4_HTML.jpg,472,174
PMC5438510,12885_2017_3350_Fig1_HTML.jpg,567,425
PMC5438510,12885_2017_3350_Fig3_HTML.jpg,567,425
PMC5438510,12885_2017_3350_Fig2_HTML.jpg,567,425
PMC4974427,CCR3-4-777-g004.jpg,709,1626
PMC4974427,CCR3-4-777-g002.jpg,709,682
PMC4974427,CCR3-4-777-g003.jpg,709,1364
PMC4974427,CCR3-4-777-g001.jpg,709,704
PMC6295680,10.1177_1179555718815918-img1.jpg,61,61
PMC6295680,10.1177_1179555718815918-fig1.jpg,684,563
PMC6317392,PAMJ-30-275-g003.jpg,593,460
PMC6317392,PAMJ-30-275-g001.jpg,587,427
PMC6317392,PAMJ-30-275-g002.jpg,609,442
PMC5819702,13000_2018_694_Fig1_HTML.jpg,567,425
PMC5819702,13000_2018_694_Fig2_HTML.jpg,567,426
PMC6137890,12957_2018_1481_Fig6_HTML.jpg,709,370
PMC6137890,12957_2018_1481_Fig8_HTML.jpg,788,383
PMC6137890,12957_2018_1481_Fig4_HTML.jpg,788,517
PMC6137890,12957_2018_1481_Fig2_HTML.jpg,787,275
PMC6137890,12957_2018_1481_Fig7_HTML.jpg,596,479
PMC6137890,12957_2018_1481_Fig1_HTML.jpg,597,398
PMC6137890,12957_2018_1481_Fig3_HTML.jpg,788,706
PMC6137890,12957_2018_1481_Fig5_HTML.jpg,788,659
PMC6702019,1349-7235-58-2113-g003.jpg,708,479
PMC6702019,1349-7235-58-2113-g002.jpg,661,477
PMC6702019,1349-7235-58-2113-g001.jpg,708,509
PMC6682396,cureus-0011-00000004815-i02.jpg,800,520
PMC6682396,cureus-0011-00000004815-i01.jpg,800,513
PMC7145183,ac9-7-e00332-g002.jpg,686,292
PMC7145183,ac9-7-e00332-g003.jpg,670,253
PMC7145183,ac9-7-e00332-g001.jpg,686,541
PMC7017529,12883_2020_1637_Fig3_HTML.jpg,778,378
PMC7017529,12883_2020_1637_Fig1_HTML.jpg,787,948
PMC7017529,12883_2020_1637_Fig2_HTML.jpg,778,377
PMC7017529,12883_2020_1637_Fig5_HTML.jpg,709,713
PMC7017529,12883_2020_1637_Fig4_HTML.jpg,778,375
PMC7268579,cureus-0012-00000007946-i02.jpg,800,450
PMC7268579,cureus-0012-00000007946-i03.jpg,800,450
PMC7268579,cureus-0012-00000007946-i01.jpg,800,450
PMC7352814,cureus-0012-00000008531-i01.jpg,800,679
PMC7352814,cureus-0012-00000008531-i02.jpg,800,905
PMC7352814,cureus-0012-00000008531-i03.jpg,800,410
PMC7585476,TJO-10-181-g001.jpg,768,587
PMC7585476,TJO-10-181-g002.jpg,784,587
PMC7511049,jced-12-e888-g002.jpg,761,424
PMC7511049,jced-12-e888-g003.jpg,727,356
PMC7511049,jced-12-e888-g001.jpg,722,358
PMC8154639,nihms-1671965-f0004.jpg,800,1008
PMC8154639,nihms-1671965-f0001.jpg,800,453
PMC8154639,nihms-1671965-f0003.jpg,800,686
PMC8154639,nihms-1671965-f0002.jpg,800,456
PMC8211554,cureus-0013-00000015104-i02.jpg,750,608
PMC8211554,cureus-0013-00000015104-i03.jpg,750,560
PMC8211554,cureus-0013-00000015104-i01.jpg,750,563
PMC8211554,cureus-0013-00000015104-i04.jpg,750,561
PMC8482618,13000_2021_1149_Fig1_HTML.jpg,596,901
PMC8482618,13000_2021_1149_Fig2_HTML.jpg,709,534
PMC8482618,13000_2021_1149_Fig3_HTML.jpg,709,802
PMC8482618,13000_2021_1149_Fig6_HTML.jpg,709,534
PMC8482618,13000_2021_1149_Fig7_HTML.jpg,778,259
PMC8482618,13000_2021_1149_Fig5_HTML.jpg,709,534
PMC8482618,13000_2021_1149_Fig4_HTML.jpg,778,281
PMC7674743,WJCC-8-5086-g006.jpg,720,287
PMC7674743,WJCC-8-5086-g003.jpg,796,231
PMC7674743,WJCC-8-5086-g009.jpg,774,289
PMC7674743,WJCC-8-5086-g007.jpg,722,234
PMC7674743,WJCC-8-5086-g008.jpg,774,254
PMC7674743,WJCC-8-5086-g004.jpg,703,439
PMC7674743,WJCC-8-5086-g005.jpg,727,179
PMC7674743,WJCC-8-5086-g002.jpg,784,571
PMC7674743,WJCC-8-5086-g001.jpg,715,710
PMC8836650,jcm-11-00552-i002.jpg,334,265
PMC8836650,jcm-11-00552-g001.jpg,686,451
PMC8836650,jcm-11-00552-g002.jpg,757,445
PMC8836650,jcm-11-00552-i001.jpg,327,277
PMC8836650,jcm-11-00552-i004.jpg,312,176
PMC8836650,jcm-11-00552-i003.jpg,326,244
PMC8836650,jcm-11-00552-g003.jpg,670,438
PMC8836650,jcm-11-00552-g004.jpg,778,660
PMC8938196,gr2.jpg,762,1021
PMC8938196,gr4.jpg,762,571
PMC8938196,gr3.jpg,762,937
PMC8938196,gr1.jpg,762,571
PMC8969876,dr-14-1-9093-g001.jpg,500,430
PMC8969876,dr-14-1-9093-g002.jpg,500,311
PMC6545219,13000_2019_829_Fig4_HTML.jpg,778,351
PMC6545219,13000_2019_829_Fig3_HTML.jpg,778,176
