pmcid,figure_name,width,height
PMC2763750,IJD-53-140-g003.jpg,786,550
PMC2763750,IJD-53-140-g004.jpg,787,551
PMC2763750,IJD-53-140-g001.jpg,786,550
PMC2763750,IJD-53-140-g002.jpg,787,550
PMC2694027,co-2-641f2.jpg,498,306
PMC2694027,co-2-641f1.jpg,499,438
PMC3543602,JCytol-29-273-g001.jpg,740,279
PMC3543602,JCytol-29-273-g002.jpg,613,157
PMC3229065,ad-23-S201-g003.jpg,648,304
PMC3229065,ad-23-S201-g001.jpg,484,367
PMC3229065,ad-23-S201-g002.jpg,477,423
PMC3976450,IJBS-10-69-g001.jpg,656,718
PMC3976450,IJBS-10-69-g003.jpg,647,640
PMC3976450,IJBS-10-69-g004.jpg,650,571
PMC3976450,IJBS-10-69-g002.jpg,772,729
PMC4132004,dpc0403a14g001.jpg,666,444
PMC4132004,dpc0403a14g002.jpg,666,545
PMC4132004,dpc0403a14g003.jpg,666,555
PMC4462900,dp0502a08g001.jpg,666,476
PMC4462900,dp0502a08g002.jpg,666,316
PMC4462900,dp0502a08g003.jpg,800,710
PMC5019928,BMRI2016-7682917.001.jpg,680,809
PMC5108647,dp0604a11g002.jpg,666,501
PMC5108647,dp0604a11g001.jpg,683,406
PMC4621363,CRIT2015-356459.001.jpg,683,487
PMC5193187,abd-91-06-0764-g01.jpg,771,650
PMC3663355,dp0203a07g002.jpg,650,507
PMC3663355,dp0203a07g005.jpg,650,487
PMC3663355,dp0203a07g004.jpg,650,487
PMC3663355,dp0203a07g001.jpg,650,487
PMC3663355,dp0203a07g006.jpg,650,487
PMC3663355,dp0203a07g003.jpg,670,502
PMC5871370,abd-93-01-0096-g02.jpg,600,849
PMC5871370,abd-93-01-0096-g03.jpg,600,428
PMC5871370,abd-93-01-0096-g04.jpg,600,429
PMC5871370,abd-93-01-0096-g01.jpg,600,799
PMC5161776,gr2.jpg,602,451
PMC5161776,gr3.jpg,602,452
PMC5161776,gr1.jpg,602,529
PMC6551196,cureus-0011-00000004369-i02.jpg,800,254
PMC6551196,cureus-0011-00000004369-i01.jpg,800,466
PMC6551196,cureus-0011-00000004369-i03.jpg,800,513
PMC7265740,cde-0012-0098-g01.jpg,701,367
PMC7265740,cde-0012-0098-g04.jpg,701,429
PMC7265740,cde-0012-0098-g02.jpg,701,317
PMC7265740,cde-0012-0098-g03.jpg,701,353
PMC7265740,cde-0012-0098-g05.jpg,701,162
PMC5315082,40487_2016_36_Fig5_HTML.jpg,718,596
PMC5315082,40487_2016_36_Fig8_HTML.jpg,770,582
PMC5315082,40487_2016_36_Fig9_HTML.jpg,765,281
PMC5315082,40487_2016_36_Fig1_HTML.jpg,770,437
PMC5315082,40487_2016_36_Fig3_HTML.jpg,770,312
PMC5315082,40487_2016_36_Fig4_HTML.jpg,770,312
PMC5315082,40487_2016_36_Fig2_HTML.jpg,770,438
PMC5315082,40487_2016_36_Fig7_HTML.jpg,765,555
PMC5315082,40487_2016_36_Fig10_HTML.jpg,765,285
PMC5315082,40487_2016_36_Fig6_HTML.jpg,765,289
PMC8061655,JCAS-13-365-g003.jpg,646,803
PMC8061655,JCAS-13-365-g002.jpg,666,887
PMC8061655,JCAS-13-365-g001.jpg,666,876
PMC8061655,JCAS-13-365-g004.jpg,646,880
PMC8072485,gr6.jpg,629,406
PMC8072485,gr2.jpg,630,423
PMC8072485,gr4.jpg,630,619
PMC8072485,gr3.jpg,630,566
PMC8072485,gr5.jpg,796,625
PMC8072485,gr1.jpg,629,420
PMC9364464,JCAS-15-118-g001.jpg,675,675
PMC9364464,JCAS-15-118-g005.jpg,675,901
PMC9364464,JCAS-15-118-g007.jpg,675,914
PMC9364464,JCAS-15-118-g006.jpg,675,675
PMC9364464,JCAS-15-118-g004.jpg,675,901
PMC9364464,JCAS-15-118-g003.jpg,675,675
PMC9364464,JCAS-15-118-g002.jpg,674,377
PMC9593473,ActaDV-102-2522-g002.jpg,663,766
PMC9593473,ActaDV-102-2522-g001.jpg,663,770
PMC9838765,SRT-29-e13250-g001.jpg,740,186
PMC9838765,SRT-29-e13250-g002.jpg,740,187
PMC9838765,SRT-29-e13250-g003.jpg,740,186
PMC9549535,IDOJ-13-404-g003.jpg,539,285
PMC9549535,IDOJ-13-404-g001.jpg,669,247
PMC9549535,IDOJ-13-404-g002.jpg,669,216
PMC10115334,IDOJ-14-271-g001.jpg,539,380
PMC10115334,IDOJ-14-271-g002.jpg,539,404
PMC10115334,IDOJ-14-271-g003.jpg,539,221
PMC6280225,CRIS2018-9021289.001.jpg,734,391
PMC6280225,CRIS2018-9021289.004.jpg,750,569
PMC6280225,CRIS2018-9021289.003.jpg,748,938
PMC6280225,CRIS2018-9021289.002.jpg,728,620
PMC10041369,CCR3-11-e7136-g006.jpg,709,630
PMC10041369,CCR3-11-e7136-g001.jpg,661,588
PMC10041369,CCR3-11-e7136-g002.jpg,709,727
PMC10041369,CCR3-11-e7136-g003.jpg,661,589
PMC10041369,CCR3-11-e7136-g005.jpg,709,629
PMC10041369,CCR3-11-e7136-g004.jpg,236,242
PMC10267609,SRT-29-e13376-g001.jpg,600,265
PMC10267609,SRT-29-e13376-g002.jpg,560,194
PMC10267609,SRT-29-e13376-g003.jpg,560,314
