pmid,pmcid,title,journal,insert_time,has_targz
22362454,PMC3271400,An inflamed trichilemmal (pilar) cyst: Not so simple?,N Am J Med Sci,2023-12-17-22-02-49,True
23641374,PMC3624713,Morphological spectrum of pilar cysts.,N Am J Med Sci,2023-12-17-22-02-49,True
26588334,PMC4894793,A Rare Case of a Pilar Cyst With Ductal Differentiation.,Am J Dermatopathol,2023-12-17-22-02-49,True
26955134,PMC4763645,Multiple Giant Pilar Cyst Distributed Over the Body Since Childhood.,Indian J Dermatol,2023-12-17-22-02-49,True
27051707,PMC4808710,Rare myxoid dermatofibrosarcoma protuberans masquerading as a pilar cyst in a child.,JAAD Case Rep,2023-12-17-22-02-49,True
30116661,PMC6092069,Subcutaneous scalp nodule as the presenting symptom of systemic light-chain amyloidosis.,Dermatol Pract Concept,2023-12-17-22-02-49,True
30574000,PMC6299294,Laryngeal Pilar Cyst Masquerading as an Internal/External Laryngocele.,Clin Med Insights Ear Nose Throat,2023-12-17-22-02-49,True
31309066,PMC6620810,Rare Presentation of Pilar Cyst of the Thumb.,World J Plast Surg,2023-12-17-22-02-49,True
32756192,PMC7402879,Pilar cyst on the dorsum of hand: A case report and review of literature.,Medicine (Baltimore),2023-12-17-22-02-49,True
33363712,PMC7739100,Case Report: A rapidly growing cyst on the scalp.,F1000Res,2023-12-17-22-02-49,True
35310136,PMC8924508,Malignant proliferating trichilemmal tumors arising in patients with multiple trichilemmal cysts: A case series.,JAAD Case Rep,2023-12-17-22-02-49,True
35634539,PMC9132464,Malignant proliferating trichilemmal tumor of the scalp: report of 4 cases and a short review of the literature.,Case Reports Plast Surg Hand Surg,2023-12-17-22-02-49,True
37229016,PMC10205296,Scrotal trichilemmal cysts: a case report.,Ann Med Surg (Lond),2023-12-17-22-02-49,True
37273408,PMC10238167,Pilar Cyst From a Maxillofacial Surgeon's Perspective: A Case Report and Review of Literature.,Cureus,2023-12-17-22-02-49,True
