pmcid,label,caption,graphic
PMC4894793,FIGURE 1,"A, Microscopic examination of the cyst shows squamous lining with prominently interspersed ducts lined by flat epithelial cells. The cyst cavity demonstrates homogenous keratin with cholesterol clefts (H&E ×5). B, The cyst cavity shows an abrupt transition to homogenous keratin and no granular cell layer (H&E ×40). C, Immunohistochemistry stain for epithelial membrane antigen strongly highlights the ducts. D, Immunohistochemistry stain for carcinoembryonic antigen also strongly highlights the ducts.",ajd-37-0906-g001
PMC3271400,Fig. 1,"a. H & E staining shows the series of cyst in the epidermis at 40x magnification. b similar but at 100x, and in this case one of the cyst is broken (blue arrow). c. Similar but in this case the lower part of the cyst is observed (blue arrow). d. IHC staining using Cytokeratin AE1/AE3 antibody shows the positive staining inside the cyst (brown stain) (blue arrow). e. Same antibody as d, but the stain is not only in the cyst but also in some of the “apparently normal pilosebaceous units” around the cyst (red arrows). f. and g similar that e, at higher magnification. Please note that some of the areas around the cyst are also positive with the Cytokeratin AE1/AE3 antibody (red arrow). h and i, IHC using vimentin. Please note some compartamentalization of this antibody around the cyst (red arrow).",NAJMS-3-431-g001
PMC3271400,Fig. 2,"a Positive staining with the antibody to Cytokeratin A1/A3 antibody around the wall of the cyst and inside in (red arrow). b through e positive staining with p27 antibody in the wall of the cyst as well as in some spots inside the cyst (red arrows). f. IHC using MMP9 showing some positive staining in the wall of the cyst as well as inside it (red arrows). g. MMP9 (positive in some cells of the sebaceous glands (red arrows) (dark staining). h, MMP9 stain showing how some parts of the cyst are being separated from the adjacent matrix and staining positive for MMP9 on both sites of the gap (red arrow) (dark brown stain). i. Positive staining in some spots inside the cyst using TIMP1 antibody (dark staining, red arrows).",NAJMS-3-431-g002
PMC3271400,Fig. 3,"a. Zap-70 positive staining in some spots inside the cyst (dark staining; red arrows). b. Positive staining in some spots inside the cyst using TIMP1 antibody (dark staining; red arrows). c, d, and e. p27 positive staining in areas of pilosebaceous units that are apparently “normal” by histology (brown staining; red arrows). p27 stains around other partially damaged cysts, and inside the sebaceous glands (red arrows). f. Positive staining inside the cyst in some patches with alpha 1 anti-trypsin (red arrow). g. BAX positive staining in a patch inside the cyst, and also in the inflammatory infiltrate outside the cyst (dark staining; red arrows). h. BAX positive staining in the inflammatory infiltrate around the cyst (red arrow). i. BCL-10 positive staining in the inflammatory infiltrate around the cyst (red arrow).",NAJMS-3-431-g003
PMC4763645,Figure 1,"Multiple pilar cysts were located on the body, extremities and head. One of the lesions on the chest was transformed to SCC",IJD-61-121a-g001
PMC4763645,Figure 2,A closer view of the Figure 1,IJD-61-121a-g002
PMC4763645,Figure 3,Close up of lesions on the trunk,IJD-61-121a-g003
PMC4763645,Figure 4,Pilar lesions on the back of patient,IJD-61-121a-g004
PMC4763645,Figure 5,A close view of the SCC showing large infected ulcer,IJD-61-121a-g005
PMC4763645,Figure 6,Pilar cyst of the scalp,IJD-61-121a-g006
PMC4763645,Figure 7,Pathology of the lesion on the chest showing squamous nests in well-differentiated SCC,IJD-61-121a-g007
PMC4763645,Figure 8,Pathology of pilar cyst showing trichilemmal pattern of keratinization (×400),IJD-61-121a-g008
PMC3624713,Figure 1,"(a) Trichilemmal cyst showing abrupt trichilemmal type of keratinisation.(b) Epidermal cyst with granular layer. H and E, ×10",NAJMS-5-124-g002
PMC3624713,Figure 2,"(a) Skin covered large multiloculated cyst filled with viscous material with intervening grey white nodular areas. (b) Lobules of squamous epithelium showing trichilemmal keratinisation. H and E, ×10",NAJMS-5-124-g003
PMC3624713,Figure 3,Exophytic skin covered growth with central ulceration,NAJMS-5-124-g004
