pmcid,figure_name,width,height
PMC4894793,ajd-37-0906-g001.jpg,653,494
PMC3271400,NAJMS-3-431-g003.jpg,682,612
PMC3271400,NAJMS-3-431-g001.jpg,615,600
PMC3271400,NAJMS-3-431-g002.jpg,619,567
PMC4763645,IJD-61-121a-g005.jpg,444,586
PMC4763645,IJD-61-121a-g008.jpg,539,359
PMC4763645,IJD-61-121a-g006.jpg,454,586
PMC4763645,IJD-61-121a-g007.jpg,793,586
PMC4763645,IJD-61-121a-g004.jpg,436,586
PMC4763645,IJD-61-121a-g003.jpg,790,587
PMC4763645,IJD-61-121a-g002.jpg,422,587
PMC4763645,IJD-61-121a-g001.jpg,770,586
PMC3624713,NAJMS-5-124-g003.jpg,593,342
PMC3624713,NAJMS-5-124-g004.jpg,616,538
PMC3624713,NAJMS-5-124-g005.jpg,618,335
PMC3624713,NAJMS-5-124-g002.jpg,592,327
PMC3624713,NAJMS-5-124-g001.jpg,544,370
PMC6092069,dp0803a07g001.jpg,648,486
PMC6092069,dp0803a07g003.jpg,648,486
PMC6092069,dp0803a07g002.jpg,648,486
PMC6620810,wjps-8-259-g001.jpg,708,518
PMC6620810,wjps-8-259-g002.jpg,707,514
PMC6299294,10.1177_1179550618815917-fig1.jpg,755,385
PMC6299294,10.1177_1179550618815917-fig3.jpg,753,354
PMC6299294,10.1177_1179550618815917-fig2.jpg,570,501
PMC6299294,10.1177_1179550618815917-img1.jpg,61,61
PMC7402879,medi-99-e21519-g002.jpg,800,450
PMC7402879,medi-99-e21519-g001.jpg,800,533
PMC7402879,medi-99-e21519-g003.jpg,800,451
PMC4808710,gr2.jpg,602,451
PMC4808710,gr4.jpg,602,451
PMC4808710,gr3.jpg,602,451
PMC4808710,gr5.jpg,602,451
PMC4808710,gr1.jpg,602,401
PMC8924508,gr2.jpg,750,229
PMC8924508,gr4.jpg,750,281
PMC8924508,gr3.jpg,750,296
PMC8924508,gr5.jpg,750,338
PMC8924508,gr1.jpg,750,308
PMC10205296,ms9-85-2166-g001.jpg,500,319
PMC7739100,f1000research-8-20993-g0000.jpg,405,287
PMC7739100,f1000research-8-20993-g0001.jpg,4150,2950
PMC9132464,ICRP_A_2077208_F0001_C.jpg,780,586
PMC9132464,ICRP_A_2077208_F0008_C.jpg,780,1002
PMC9132464,ICRP_A_2077208_F0003_C.jpg,780,585
PMC9132464,ICRP_A_2077208_F0002_C.jpg,780,586
PMC9132464,ICRP_A_2077208_F0004_C.jpg,780,856
PMC9132464,ICRP_A_2077208_F0005_C.jpg,780,585
PMC9132464,ICRP_A_2077208_F0007_C.jpg,780,585
PMC9132464,ICRP_A_2077208_F0009_C.jpg,780,585
PMC9132464,ICRP_A_2077208_F0006_C.jpg,780,634
PMC10238167,cureus-0015-00000038508-i06.jpg,750,1019
PMC10238167,cureus-0015-00000038508-i07.jpg,750,750
PMC10238167,cureus-0015-00000038508-i02.jpg,750,624
PMC10238167,cureus-0015-00000038508-i04.jpg,750,563
PMC10238167,cureus-0015-00000038508-i03.jpg,750,776
PMC10238167,cureus-0015-00000038508-i13.jpg,750,563
PMC10238167,cureus-0015-00000038508-i12.jpg,750,764
PMC10238167,cureus-0015-00000038508-i11.jpg,750,720
PMC10238167,cureus-0015-00000038508-i01.jpg,750,556
PMC10238167,cureus-0015-00000038508-i08.jpg,750,1000
PMC10238167,cureus-0015-00000038508-i05.jpg,750,829
PMC10238167,cureus-0015-00000038508-i10.jpg,750,684
PMC10238167,cureus-0015-00000038508-i09.jpg,750,1000
