pmcid,figure_name,width,height
PMC4318070,IJD-60-82-g004.jpg,539,203
PMC4318070,IJD-60-82-g002.jpg,536,265
PMC4318070,IJD-60-82-g003.jpg,669,167
PMC4318070,IJD-60-82-g005.jpg,1010,167
PMC4318070,IJD-60-82-g001.jpg,539,207
PMC9900235,CCR3-11-e6904-g005.jpg,449,348
PMC9900235,CCR3-11-e6904-g004.jpg,660,491
PMC9900235,CCR3-11-e6904-g002.jpg,660,496
PMC9900235,CCR3-11-e6904-g003.jpg,706,731
PMC9900235,CCR3-11-e6904-g001.jpg,706,677
PMC3629131,OL-05-04-1163-g02.jpg,602,454
PMC3629131,OL-05-04-1163-g01.jpg,602,453
PMC3629131,OL-05-04-1163-g00.jpg,602,665
