pmid,pmcid,title,journal,insert_time,label,caption,graphic
23599756,PMC3629131,Cutaneous leiomyoma in a child: A case report.,Oncol Lett,2023-12-17-22-15-47,Figure 1,"Multiple, firm, red-brown masses in the left scapular region.",OL-05-04-1163-g00
23599756,PMC3629131,Cutaneous leiomyoma in a child: A case report.,Oncol Lett,2023-12-17-22-15-47,Figure 2,Spindle cells with an eosinophilic cytoplasm.,OL-05-04-1163-g01
23599756,PMC3629131,Cutaneous leiomyoma in a child: A case report.,Oncol Lett,2023-12-17-22-15-47,Figure 3,Immunohistochemical staining for smooth muscle actin (SMA).,OL-05-04-1163-g02
25657404,PMC4318070,Solitary pilar leiomyoma of the nasal dorsum: case report and literature review.,Indian J Dermatol,2023-12-17-22-15-47,Figure 1,Distant (a) and closer (b) views of pilar leiomyoma of the nasal dorsum presenting as an erythematous dermal nodule on the bridge of the nose,IJD-60-82-g001
25657404,PMC4318070,Solitary pilar leiomyoma of the nasal dorsum: case report and literature review.,Indian J Dermatol,2023-12-17-22-15-47,Figure 2,"Right (a), upward (b) and left (c) views of the pilar leiomyoma of the nose of a healthy 24-year-old woman",IJD-60-82-g002
25657404,PMC4318070,Solitary pilar leiomyoma of the nasal dorsum: case report and literature review.,Indian J Dermatol,2023-12-17-22-15-47,Figure 3,"A low magnification view (a) of the biopsy specimen from the nasal dorsum shows a plaque-like proliferation of cells, which are present in the mid and deep reticular dermis. Closer view (b) abundant mucin between the bundles of cells. The high magnification view (c) the cells have blunt-tipped, cigar-shaped nuclei without atypia or mitoses. These findings are suggestive of a pilar leiomyoma (H and E, a = ×2, b = ×4, c = ×20)",IJD-60-82-g003
25657404,PMC4318070,Solitary pilar leiomyoma of the nasal dorsum: case report and literature review.,Indian J Dermatol,2023-12-17-22-15-47,Figure 4,"The tumor cells in the dermis express smooth muscle actin (a) The individual cells strongly stain positive (b) confirming the diagnosis of a pilar leiomyoma (smooth muscle actin immunoperoxidase staining using DAB, a = ×4, b = ×20)",IJD-60-82-g004
36777791,PMC9900235,Zosteriform pilar leiomyoma associated with uterine leiomyoma: A case report.,Clin Case Rep,2023-12-17-22-15-47,FIGURE 1,Clinical pictures of cutaneous leiomyoma in zosteriform pattern involving right upper arm.,CCR3-11-e6904-g003
36777791,PMC9900235,Zosteriform pilar leiomyoma associated with uterine leiomyoma: A case report.,Clin Case Rep,2023-12-17-22-15-47,FIGURE 2,Clinical pictures of cutaneous leiomyoma in right foremarm.,CCR3-11-e6904-g001
36777791,PMC9900235,Zosteriform pilar leiomyoma associated with uterine leiomyoma: A case report.,Clin Case Rep,2023-12-17-22-15-47,FIGURE 3,Low magnification view of cutaneous leiomyoma showing smooth muscles arranged in interlacing fascicles.,CCR3-11-e6904-g002
36777791,PMC9900235,Zosteriform pilar leiomyoma associated with uterine leiomyoma: A case report.,Clin Case Rep,2023-12-17-22-15-47,FIGURE 4,Higher magnification view of cutaneous leiomyoma showing smooth muscles arranged in interlacing fascicles.,CCR3-11-e6904-g004
37853857,PMC10608374,Hereditary Leiomyomatosis and Renal Cell Cancer: A Case Report of Pilar Leiomyomatosis with History of Kidney Cancer and Review of the Literature.,Ann Dermatol,2023-12-17-22-15-47,,,
