pmcid,label,caption,graphic,disease,modality
PMC3051306,Figure 1,"Photomicrograph of pilomatricoma showing the characteristic basaloid (thick arrow) and shadow cells (thin arrow) (H and E, ×100)",IJD-55-390-g001,Match,Match
PMC3129122,Figure 1,External clinical photograph. The slight elevation and boundaries of the subcutaneous nodular lesion are marked by a circle,IJT-3-31-g001,NotMatch,NotMatch
PMC3129122,Figure 2,"Photomicrograph showing central area of calcification surrounded by shadow cells. Basaloid cells can be seen in the periphery (H and E, ×100)",IJT-3-31-g002,NotMatch,Match
PMC3129122,Figure 3,"Various stages of maturation of basaloid cells into shadow cells seen (H and E, ×400)",IJT-3-31-g003,NotMatch,NotMatch
PMC3129122,Figure 4,"Photomicrograph showing numerous islands of basaloid cells and few foreign body giant cells (H and E, ×100)",IJT-3-31-g004,NotMatch,Match
PMC3250021,Figure 1,"Microscopic examination showing an encapsulated tumor comprised of islands of shadow cells with few basophilic cells and extensive ossification. Foci of non-hematopoietic marrow are also evident (H and E, ×100)",IJT-3-133-g001,NotMatch,Match
PMC3250021,Figure 2,"Higher magnification showing the tumor comprised of extensive areas of ossification amidst nests of shadow cells and basaloid cells (H and E, ×200)",IJT-3-133-g002,NotMatch,NotMatch
PMC3250021,Figure 3,Areas of keratinization within the tumor showing birefringence under polarized light (×100),IJT-3-133-g003,NotMatch,Match
PMC2883973,Figure 1,"Pattern type 1: nodulation fully calcified, no longer evaluable.",1756-9966-29-42-1,NotMatch,NotMatch
PMC2883973,Figure 2,"Pattern type 2: partially calcified nodulation, mostly solid, hypoechogenic, with well defined borders, and coarse calcifications.",1756-9966-29-42-2,NotMatch,NotMatch
PMC2883973,Figure 3,"Pattern type 3: complex nodulation, with undetectable contours, with fluid and macrocalcified areas. The lesion presents well defined  borders. B) Histologic section at low power. The proliferation is surrounded  by connectival stroma, and is edged by a basaloid epithelia with  tricholemmal and shadow cells, associated to a moderate inflammatory  reaction (E-E1, 25x).  ",1756-9966-29-42-3,NotMatch,NotMatch
PMC2883973,Figure 4,"Pattern type 4: A)Pseuso-cystic, Lesion borders and sizes are not well evaluable. Fluid nodule with feature similar to a thickened wall  cyst, extending up to the derma.  ",1756-9966-29-42-4,NotMatch,NotMatch
PMC2883973,Figure 5,"Pattern type 5: Pseudo-neoplastic, solid nodulation, hypoechogenic, not homogeneous, with irregular anterior contours, with signal with Colour and Power-Doppler.",1756-9966-29-42-5,NotMatch,NotMatch
PMC2883973,Figure 6,"Shadow cell and thricholemmal keratinization details, interspersed inflammatory cells (E-E 20×).",1756-9966-29-42-6,NotMatch,NotMatch
PMC3481823,Figure 1,A subcutaneous swelling on right middle of neck,IDOJ-2-75-g001,NotMatch,NotMatch
PMC3481823,Figure 2,"Pilomatrixoma. Photomicrograph showing basaloid cell at the periphery and “ghost cells” on the right side of the field (H and E, ×100)",IDOJ-2-75-g002,NotMatch,Match
PMC3481823,Figure 3,"Pilomatrixoma. Higher magnification showing abrupt keratinization with “ghost cells” (H and E, ×400)",IDOJ-2-75-g003,NotMatch,NotMatch
