pmcid,figure_name,width,height
PMC3051306,IJD-55-390-g001.jpg,743,558
PMC3129122,IJT-3-31-g003.jpg,704,517
PMC3129122,IJT-3-31-g002.jpg,704,521
PMC3129122,IJT-3-31-g004.jpg,721,536
PMC3129122,IJT-3-31-g001.jpg,779,292
PMC3250021,IJT-3-133-g001.jpg,623,538
PMC3250021,IJT-3-133-g003.jpg,744,568
PMC3250021,IJT-3-133-g002.jpg,744,538
PMC2883973,1756-9966-29-42-3.jpg,600,274
PMC2883973,1756-9966-29-42-2.jpg,600,473
PMC2883973,1756-9966-29-42-4.jpg,600,484
PMC2883973,1756-9966-29-42-5.jpg,600,406
PMC2883973,1756-9966-29-42-1.jpg,600,478
PMC2883973,1756-9966-29-42-6.jpg,600,451
PMC3627455,ETM-05-04-1005-g00.jpg,708,605
PMC3681113,IJT-4-280-g001.jpg,740,538
PMC3681113,IJT-4-280-g003.jpg,647,269
PMC3681113,IJT-4-280-g002.jpg,687,269
PMC3481823,IDOJ-2-75-g001.jpg,743,557
PMC3481823,IDOJ-2-75-g002.jpg,743,557
PMC3481823,IDOJ-2-75-g003.jpg,743,558
PMC3483657,CRIM.DENTISTRY2012-197273.001.jpg,600,580
PMC3483657,CRIM.DENTISTRY2012-197273.003.jpg,600,650
PMC3483657,CRIM.DENTISTRY2012-197273.002.jpg,600,719
PMC3483657,CRIM.DENTISTRY2012-197273.005.jpg,600,528
PMC3483657,CRIM.DENTISTRY2012-197273.004.jpg,600,511
PMC3746225,IJT-5-32-g001.jpg,742,392
PMC3746225,IJT-5-32-g005.jpg,743,556
PMC3746225,IJT-5-32-g003.jpg,742,538
PMC3746225,IJT-5-32-g002.jpg,744,538
PMC3746225,IJT-5-32-g004.jpg,743,537
PMC4212294,IJT-6-173-g001.jpg,400,403
PMC4212294,IJT-6-173-g002.jpg,537,537
PMC4212295,IJT-6-175-g001.jpg,741,361
PMC4212295,IJT-6-175-g002.jpg,741,363
PMC3692186,DRJ-9-1-g002.jpg,660,492
PMC3692186,DRJ-9-1-g001.jpg,660,492
PMC3692186,DRJ-9-1-g003.jpg,739,508
PMC4237016,PAMJ-18-182-g001.jpg,508,314
PMC4228226,aps-41-775-g004.jpg,767,1145
PMC4228226,aps-41-775-g002.jpg,669,548
PMC4228226,aps-41-775-g003.jpg,693,433
PMC4228226,aps-41-775-g001.jpg,669,548
PMC4252694,ad-26-791-g001.jpg,789,293
PMC4252694,ad-26-791-g002.jpg,789,203
PMC3932724,JSC2014-543756.002.jpg,600,1962
PMC3932724,JSC2014-543756.001.jpg,600,1962
PMC4253042,CJ-11-30-g001.jpg,742,354
PMC4253042,CJ-11-30-g002.jpg,718,538
PMC4253042,CJ-11-30-g003.jpg,714,538
PMC4341040,MOJ_Vol7_Issue2_48_F1b.jpg,406,405
PMC4341040,MOJ_Vol7_Issue2_48_F3.jpg,532,394
PMC4341040,MOJ_Vol7_Issue2_48_F2a.jpg,534,357
PMC4341040,MOJ_Vol7_Issue2_48_F1a.jpg,533,403
PMC4341040,MOJ_Vol7_Issue2_48_F2b.jpg,480,355
PMC4366702,aps-42-201-i001.jpg,1200,814
PMC4366702,aps-42-201-g002.jpg,736,532
PMC4366702,aps-42-201-g001.jpg,673,912
PMC4366702,aps-42-201-g003.jpg,782,586
PMC4366702,aps-42-201-i002.jpg,1200,1054
PMC4366702,aps-42-201-i003.jpg,1200,580
PMC4554216,jocmr-07-770-g002.jpg,708,413
PMC4554216,jocmr-07-770-g001.jpg,630,521
PMC4540519,abd-90-03-s1-0094-g06.jpg,600,421
PMC4540519,abd-90-03-s1-0094-g05.jpg,600,484
PMC4540519,abd-90-03-s1-0094-g01.jpg,600,412
PMC4540519,abd-90-03-s1-0094-g02.jpg,600,483
PMC4540519,abd-90-03-s1-0094-g04.jpg,600,412
PMC4540519,abd-90-03-s1-0094-g03.jpg,600,453
PMC4598595,ejh-2015-3-2514-g001.jpg,500,247
PMC4872925,1679-4508-eins-14-1-0104-gf01.jpg,600,584
PMC4872925,1679-4508-eins-14-1-0104-gf02-pt.jpg,600,450
