pmid,pmcid,title,journal,insert_time,label,caption,graphic
20444298,PMC2883973,Epithelioma of Malherbe: new ultrasound patterns.,J Exp Clin Cancer Res,2023-12-17-22-03-27,Figure 1,"Pattern type 1: nodulation fully calcified, no longer evaluable.",1756-9966-29-42-1
20444298,PMC2883973,Epithelioma of Malherbe: new ultrasound patterns.,J Exp Clin Cancer Res,2023-12-17-22-03-27,Figure 2,"Pattern type 2: partially calcified nodulation, mostly solid, hypoechogenic, with well defined borders, and coarse calcifications.",1756-9966-29-42-2
20444298,PMC2883973,Epithelioma of Malherbe: new ultrasound patterns.,J Exp Clin Cancer Res,2023-12-17-22-03-27,Figure 3,"Pattern type 3: complex nodulation, with undetectable contours, with fluid and macrocalcified areas. The lesion presents well defined  borders. B) Histologic section at low power. The proliferation is surrounded  by connectival stroma, and is edged by a basaloid epithelia with  tricholemmal and shadow cells, associated to a moderate inflammatory  reaction (E-E1, 25x).  ",1756-9966-29-42-3
20444298,PMC2883973,Epithelioma of Malherbe: new ultrasound patterns.,J Exp Clin Cancer Res,2023-12-17-22-03-27,Figure 4,"Pattern type 4: A)Pseuso-cystic, Lesion borders and sizes are not well evaluable. Fluid nodule with feature similar to a thickened wall  cyst, extending up to the derma.  ",1756-9966-29-42-4
20444298,PMC2883973,Epithelioma of Malherbe: new ultrasound patterns.,J Exp Clin Cancer Res,2023-12-17-22-03-27,Figure 5,"Pattern type 5: Pseudo-neoplastic, solid nodulation, hypoechogenic, not homogeneous, with irregular anterior contours, with signal with Colour and Power-Doppler.",1756-9966-29-42-5
20444298,PMC2883973,Epithelioma of Malherbe: new ultrasound patterns.,J Exp Clin Cancer Res,2023-12-17-22-03-27,Figure 6,"Shadow cell and thricholemmal keratinization details, interspersed inflammatory cells (E-E 20×).",1756-9966-29-42-6
21430899,PMC3051306,Pilomatricoma as a diagnostic pitfall in clinical practice: report of two cases and review of literature.,Indian J Dermatol,2023-12-17-22-03-27,Figure 1,"Photomicrograph of pilomatricoma showing the characteristic basaloid (thick arrow) and shadow cells (thin arrow) (H and E, ×100)",IJD-55-390-g001
21769234,PMC3129122,Malherbe's Calcifying Epithelioma (Pilomatrixoma): An Uncommon Periocular Tumor.,Int J Trichology,2023-12-17-22-03-27,Figure 1,External clinical photograph. The slight elevation and boundaries of the subcutaneous nodular lesion are marked by a circle,IJT-3-31-g001
21769234,PMC3129122,Malherbe's Calcifying Epithelioma (Pilomatrixoma): An Uncommon Periocular Tumor.,Int J Trichology,2023-12-17-22-03-27,Figure 2,"Photomicrograph showing central area of calcification surrounded by shadow cells. Basaloid cells can be seen in the periphery (H and E, ×100)",IJT-3-31-g002
21769234,PMC3129122,Malherbe's Calcifying Epithelioma (Pilomatrixoma): An Uncommon Periocular Tumor.,Int J Trichology,2023-12-17-22-03-27,Figure 3,"Various stages of maturation of basaloid cells into shadow cells seen (H and E, ×400)",IJT-3-31-g003
