pmid,pmcid,title,journal,insert_time,has_targz,disease
18158418,PMC2636049,Rapidly growing pilomatrixoma on eyebrow.,Indian J Ophthalmol,2023-12-17-22-03-28,True,Match
18974526,PMC2612977,A giant upper eyelid ossifying pilomatrixoma.,Indian J Ophthalmol,2023-12-17-22-03-28,True,Match
19040752,PMC2633279,Pilomatrix carcinoma presenting as an extra axial mass: clinicopathological features.,Diagn Pathol,2023-12-17-22-03-28,True,NotMatch
19784434,PMC9446109,Pilomatrixoma in the head and neck.,Braz J Otorhinolaryngol,2023-12-17-22-03-28,True,Match
20300371,PMC2840921,Pilomatrixoma of earlobe.,J Cutan Aesthet Surg,2023-12-17-22-03-28,True,Match
20505789,PMC2875748,Occurrence and characteristics of head cysts in children.,Eplasty,2023-12-17-22-03-28,True,NotMatch
21552399,PMC3083527,Fine needle aspiration cytology of pilomatrixoma.,J Cytol,2023-12-17-22-03-28,True,Match
21769234,PMC3129122,Malherbe's Calcifying Epithelioma (Pilomatrixoma): An Uncommon Periocular Tumor.,Int J Trichology,2023-12-17-22-03-28,True,Match
21938173,PMC3168016,Pilomatrixoma: Misdiagnosed as a round cell tumor of soft tissue on fine needle aspiration cytology.,J Cytol,2023-12-17-22-03-28,True,Match
21977385,PMC3173833,Pilomatrixoma of the adult male breast: a rare tumor with typical ultrasound features.,J Clin Imaging Sci,2023-12-17-22-03-28,True,Match
22613633,PMC3414780,A patient with ulcerated calcifying epithelioma of Malherbe in the pinna: case report.,Head Neck Oncol,2023-12-17-22-03-28,True,NotMatch
22615520,PMC3352645,Limits of fine-needle aspiration cytology in diagnosing pilomatrixoma: a series of 25 cases with clinico-pathologic correlations.,Indian J Dermatol,2023-12-17-22-03-28,True,Match
23119187,PMC3483657,Recurrent giant pilomatrixoma of the face: a case report and review of the literature.,Case Rep Dent,2023-12-17-22-03-28,True,Match
23259079,PMC3504261,Pilomatrixoma of the arm: a rare case with cytologic diagnosis.,Case Rep Dermatol Med,2023-12-17-22-03-28,True,Match
23766616,PMC3681113,Cytodiagnosis of pilomatrixoma from an uncommon site with unusual presentation.,Int J Trichology,2023-12-17-22-03-28,True,Match
23960395,PMC3746225,Bullous pilomatricoma: a rare variant resembling bouncy ball.,Int J Trichology,2023-12-17-22-03-28,True,Match
24023435,PMC3764756,Patient profile and outcome of pilomatrixoma in district general hospital in United kingdom.,J Cutan Aesthet Surg,2023-12-17-22-03-28,True,Match
24082196,PMC3778791,Pilomatrixoma - Presented as Hypopigmented Tender Nodule: Diagnosed by FNAC: A Case Report with Review of Literature.,Indian J Dermatol,2023-12-17-22-03-28,True,Match
24639909,PMC3929990,Ovarian basaloid carcinoma with shadow cell differentiation.,Case Rep Pathol,2023-12-17-22-03-28,True,NotMatch
25114449,PMC4124689,Three different dermoscopic view of three new cases with pilomatrixoma.,Int J Trichology,2023-12-17-22-03-28,True,Match
25506386,PMC4253042,Fine-needle aspiration cytology of pilomatrixoma: A short series of three cases.,Cytojournal,2023-12-17-22-03-28,True,Match
25722828,PMC4341040,Pilomatrixoma of left shoulder in an elderly female: a case report.,Malays Orthop J,2023-12-17-22-03-28,True,Match
25763287,PMC4339831,"Giant pilomatrixoma presenting in the posterior thorax, a rare location and the largest described.",Case Rep Radiol,2023-12-17-22-03-28,True,Match
25798014,PMC4366035,Giant pilomatrixoma: conventional and diffusion-weighted magnetic resonance imaging findings.,Radiol Bras,2023-12-17-22-03-28,True,Match
25880568,PMC4359763,Inflammatory pseudotumor of eyelid: a probable IgG4-related sclerosing disease clinically mimicking eyelid pilomatrixoma.,BMC Ophthalmol,2023-12-17-22-03-28,True,Match
26937479,PMC4750018,Pilomatrix carcinoma of the vulva.,Gynecol Oncol Rep,2023-12-17-22-03-28,True,NotMatch
27563370,PMC4980805,Pilomatrixoma Arising Juxtaposed to Congenital Melanocytic Nevi: Concern for Malignant Degeneration? A Previously Unreported Association.,Eplasty,2023-12-17-22-03-28,True,Match
28261645,PMC5315070,Concurrent Pilomatrix Carcinoma and Diffuse Large B-Cell Lymphoma.,Oncol Ther,2023-12-17-22-03-28,True,NotMatch
28658279,PMC5489209,Genetic basis of calcifying cystic odontogenic tumors.,PLoS One,2023-12-17-22-03-28,True,NotMatch
28677820,PMC5763411,Calcifying epithelioma of malherbe (Pilomatrixoma): Clinical and sonographic features.,J Clin Ultrasound,2023-12-17-22-03-28,True,Match
28690776,PMC5495934,Pilomatrixoma located on the cruris: an uncommon localization.,J Surg Case Rep,2023-12-17-22-03-28,True,Match
28694911,PMC5486210,Pilomatrixoma Presenting as a Rapidly Expanding Mass of the Infant Nasion.,Eplasty,2023-12-17-22-03-28,True,Match
28855935,PMC5563941,A Rare Case of Pilomatrixoma (Calcifying Epithelioma of Malherbe) of Parotid Space Masquerading as Salivary Gland Tumor.,Iran J Pathol,2023-12-17-22-03-28,True,Match
29200693,PMC5686986,Pilomatrix Carcinoma Masquerading as Breast Carcinoma.,Indian J Med Paediatr Oncol,2023-12-17-22-03-28,True,NotMatch
29687064,PMC5909482,Facial pilomatrix carcinomas treated with Mohs micrographic surgery.,JAAD Case Rep,2023-12-17-22-03-28,True,NotMatch
29693075,PMC5911817,Pilomatrix carcinoma of the nose: Clinical and dermoscopic presentation.,JAAD Case Rep,2023-12-17-22-03-28,True,NotMatch
29984278,PMC6031568,Pilomatricoma of the scalp mimicking poorly differentiated cutaneous carcinoma on positron emission tomography/computed tomography (PET/CT) scan and fine-needle aspiration (FNA) cytology.,JAAD Case Rep,2023-12-17-22-03-28,True,Match
30498290,PMC6210812,Cyto-Histopathological Correlation of Skin Adnexal Tumors: A Short Series.,J Cytol,2023-12-17-22-03-28,True,NotMatch
30613091,PMC6325331,Malignant pilomatricoma of the cheek in an infant.,Arch Craniofac Surg,2023-12-17-22-03-28,True,Match
30918611,PMC6425055,Preauricular Pilomatricoma Manifesting as an Aggressive Mass.,Oman Med J,2023-12-17-22-03-28,True,Match
31489300,PMC6699223,Pilomatrixoma arising from maxillary sinus - First of its kind.,South Asian J Cancer,2023-12-17-22-03-28,True,Match
31756690,PMC6872857,Pilomatrix carcinoma of the right postauricular region: A case report and literature review.,Int J Surg Case Rep,2023-12-17-22-03-28,True,NotMatch
31819823,PMC6884983,"Pilomatrixoma, a Rare Mimicker of Male Breast Cancer.",J Clin Imaging Sci,2023-12-17-22-03-28,True,Match
31915560,PMC6931023,An Unusual Tumor of the Ear: Pilomatricoma in a Middle-Aged Woman.,Case Rep Otolaryngol,2023-12-17-22-03-28,True,Match
32071653,PMC7010961,Pilomatrixoma of the right thigh: Sonographic-pathologic correlation in a young man.,Radiol Case Rep,2023-12-17-22-03-28,True,Match
32283901,PMC7379409,"Are clinicians successful in diagnosing cutaneous adnexal tumors? a retrospective, clinicopathological study.",Turk J Med Sci,2023-12-17-22-03-28,True,NotMatch
32514425,PMC7266996,Primary mucinous carcinoma of the skin arising from the upper eyelid: A case report and literature review.,JPRAS Open,2023-12-17-22-03-28,True,NotMatch
32778355,PMC7563002,Multiple pilomatricomas in twins with Rubinstein-Taybi syndrome.,An Bras Dermatol,2023-12-17-22-03-28,True,Match
32908727,PMC7475758,"Novel Mutations in Pilomatrixoma, CTNNB1 p.s45F, and FGFR2 p.s252L: A Report of Three Cases Diagnosed by Fine-Needle Aspiration Biopsy, with Review of the Literature.",Case Rep Genet,2023-12-17-22-03-28,True,Match
33143396,PMC7644346,Clinical analysis and review of literature on pilomatrixoma in pediatric patients.,Arch Craniofac Surg,2023-12-17-22-03-28,True,Match
33708090,PMC7923722,Pilomatrixoma with Atypical Features: A Case Report.,Case Rep Dermatol,2023-12-17-22-03-28,True,Match
33840746,PMC8382477,Pilomatrixoma misdiagnosed as dermatofibrosarcoma protuberans.,Chin Med J (Engl),2023-12-17-22-03-28,True,Match
34119944,PMC8196217,Pilomatrixoma in a child mimicking a ruptured epidermal cyst clinically and histopathologically: Case report.,Int J Surg Case Rep,2023-12-17-22-03-28,True,Match
34168921,PMC8215566,Pilomatrixoma of the Left Scapular Region in a Young Male: A Rare Case Report.,Cureus,2023-12-17-22-03-28,True,Match
34174742,PMC8234360,Huge pilomatrixomas of the scalp: A case report.,Int J Surg Case Rep,2023-12-17-22-03-28,True,Match
34306281,PMC8258776,Pilomatrixoma mimicking a breast neoplasm: imaging finding in an uncommon case report.,Radiol Case Rep,2023-12-17-22-03-28,True,Match
34912152,PMC8637976,Pilomatrixoma: A Masquerader at Uncommon Sites.,J Indian Assoc Pediatr Surg,2023-12-17-22-03-28,True,Match
35070581,PMC8762428,Pilomatrixoma Recurring as Giant Form.,Cureus,2023-12-17-22-03-28,True,Match
35340505,PMC8930436,Giant Pilomatrixoma of the Scrotum: A Rare Case Presentation.,Cureus,2023-12-17-22-03-28,True,Match
35401795,PMC8987923,Rare and unusual benign tumors of the sinonasal tract and pharynx: Case series and literature review.,Exp Ther Med,2023-12-17-22-03-28,True,NotMatch
35574048,PMC9083798,Pilomatricoma in the neck of an adult male.,Autops Case Rep,2023-12-17-22-03-28,True,Match
36157516,PMC9484469,Pilomatrixoma in the cheek: a clinical case report.,Autops Case Rep,2023-12-17-22-03-28,True,Match
36158856,PMC9459629,Keloid-like Pilomatricoma of the Auricle: A Case Report and Review of Literature.,Case Rep Dermatol,2023-12-17-22-03-28,True,Match
36311481,PMC9594686,Benign Pilomatricoma With Osseous Metaplasia: A Rare Case.,Cureus,2023-12-17-22-03-28,True,Match
36386744,PMC9650760,"Bullous Pilomatrixoma: Without a ""Shadow"" of Doubt - Role of ROSE and Cytology.",Indian Dermatol Online J,2023-12-17-22-03-28,True,Match
36582858,PMC9793153,The stone beneath my skin: Pilomatricoma in a young Nepalese girl.,Ann Med Surg (Lond),2023-12-17-22-03-28,True,Match
36636528,PMC9831617,Bullous Pilomatrixoma After COVID-19 Vaccination.,Cureus,2023-12-17-22-03-28,True,Match
36699109,PMC9870302,Correction: Bullous Pilomatrixoma After COVID-19 Vaccination.,Cureus,2023-12-17-22-03-28,True,Match
36779578,PMC10521196,Skin Lesions in Children: Evaluation of Clinicopathological Findings.,Turk Patoloji Derg,2023-12-17-22-03-28,False,NotMatch
36869283,PMC9983260,Diagnostic aid to subepidermal calcified nodule with dermoscopy and reflectance confocal microscopy: a case report.,BMC Pediatr,2023-12-17-22-03-28,True,NotMatch
36942146,PMC10024566,Pilomatricoma of the thigh: a case report.,Pan Afr Med J,2023-12-17-22-03-28,True,Match
37007271,PMC10062101,A rapidly growing pedunculated pilomatrixoma of the eyelid.,Oman J Ophthalmol,2023-12-17-22-03-28,True,Match
37064059,PMC10097541,Giant pilomatrixoma in the infraclavicular region following an insect bite.,J Surg Case Rep,2023-12-17-22-03-28,True,Match
37151283,PMC10162738,Early-Stage Pilomatricoma with Cystic Features: A Case Report and Literature Review.,Indian J Dermatol,2023-12-17-22-03-28,True,Match
37266091,PMC10231707,Dermoscopy of Pilomatrixoma.,Indian Dermatol Online J,2023-12-17-22-03-28,True,Match
37273305,PMC10237512,Hand Pilomatrixoma: A Rare Localization.,Cureus,2023-12-17-22-03-28,True,Match
37323331,PMC10266695,A Rapidly Growing Forearm Pilomatricoma in an Elderly Patient.,Cureus,2023-12-17-22-03-28,True,Match
37388396,PMC10305896,Cytological Diagnosis of Pilomatrixoma and its Diagnostic Pitfalls.,J Cytol,2023-12-17-22-03-28,True,Match
37441114,PMC10335821,Giant Pilomatrix Carcinoma of the Thorax: An Uncommon and Clinically Misdiagnosed Tumor.,Plast Reconstr Surg Glob Open,2023-12-17-22-03-28,True,NotMatch
37485173,PMC10359755,Rare Cutaneous Manifestations of Erdheim Chester Disease: A Case Report and Literature Review.,Cureus,2023-12-17-22-03-28,True,NotMatch
37662804,PMC10474429,Multiple giant pilomatricomas of the scrotal: A rare case report from Syria.,Heliyon,2023-12-17-22-03-28,True,Match
37809180,PMC10553373,A Large Mass Displaying a Malignant Character on the Forearm: A Rare Case of Upper Extremity Pilomatrixoma.,Cureus,2023-12-17-22-03-28,False,Match
37872911,PMC10590536,Pilomatrixoma of the Arm: A Case Report and Review of Literature.,Cureus,2023-12-17-22-03-28,False,Match
37927987,PMC10625130,Giant pilomatrix carcinoma of the scalp with intracranial extension: A case report.,Clin Case Rep,2023-12-17-22-03-28,False,NotMatch
37965425,PMC10641284,Strategic Approach to Heterogeneity Analysis of Cutaneous Adnexal Carcinomas Using Computational Pathology and Genomics.,JID Innov,2023-12-17-22-03-28,False,NotMatch
38047261,PMC10690670,Anetodermic pilomatrixomas: A case series.,Skin Health Dis,2023-12-17-22-03-28,False,Match
38055654,PMC10711639,Development of Pilomatrixoma at the Vaccination Site: A Rare Complication of COVID-19 Vaccination - A Case Report.,Am J Case Rep,2023-12-17-22-03-28,False,Match
38076010,PMC10697829,Unusual presentation of pilomatricoma: A case report and comprehensive review of the literature.,Clin Case Rep,2023-12-17-22-03-28,False,Match
