pmcid,figure_name,width,height
PMC2633279,1746-1596-3-47-2.jpg,600,865
PMC2633279,1746-1596-3-47-1.jpg,600,569
PMC2636049,IndianJOphthalmol-56-83-g001.jpg,598,413
PMC2636049,IndianJOphthalmol-56-83-g003.jpg,598,412
PMC2636049,IndianJOphthalmol-56-83-g002.jpg,598,413
PMC2612977,IndianJOphthalmol-56-509-g002.jpg,730,511
PMC2612977,IndianJOphthalmol-56-509-g001.jpg,730,511
PMC2612977,IndianJOphthalmol-56-509-g004.jpg,729,510
PMC2612977,IndianJOphthalmol-56-509-g003.jpg,731,510
PMC9446109,gr1.jpg,710,502
PMC2840921,JCAS-02-36-g002.jpg,558,391
PMC2840921,JCAS-02-36-g003.jpg,559,392
PMC2840921,JCAS-02-36-g004.jpg,743,522
PMC2840921,JCAS-02-36-g001.jpg,743,521
PMC2875748,eplasty10e37_fig3.jpg,492,656
PMC2875748,eplasty10e37_fig2.jpg,512,683
PMC2875748,eplasty10e37_fig1.jpg,512,384
PMC3129122,IJT-3-31-g003.jpg,704,517
PMC3129122,IJT-3-31-g002.jpg,704,521
PMC3129122,IJT-3-31-g004.jpg,721,536
PMC3129122,IJT-3-31-g001.jpg,779,292
PMC3168016,JCytol-26-125-g001.jpg,770,261
PMC3083527,JCytol-28-1-g001.jpg,618,531
PMC3083527,JCytol-28-1-g006.jpg,744,538
PMC3083527,JCytol-28-1-g005.jpg,744,538
PMC3083527,JCytol-28-1-g003.jpg,744,537
PMC3083527,JCytol-28-1-g002.jpg,772,332
PMC3083527,JCytol-28-1-g004.jpg,744,537
PMC3414780,1758-3284-4-25-1.jpg,171,192
PMC3414780,1758-3284-4-25-3.jpg,600,450
PMC3414780,1758-3284-4-25-4.jpg,600,450
PMC3414780,1758-3284-4-25-2.jpg,600,450
PMC3352645,IJD-57-152-g001.jpg,770,506
PMC3352645,IJD-57-152-g002.jpg,668,527
PMC3173833,JCIS-1-12-g004.jpg,654,457
PMC3173833,JCIS-1-12-g002.jpg,504,1074
PMC3173833,JCIS-1-12-g003.jpg,654,483
PMC3173833,JCIS-1-12-g001.jpg,448,448
PMC3173833,JCIS-1-12-g005.jpg,654,457
PMC3681113,IJT-4-280-g001.jpg,740,538
PMC3681113,IJT-4-280-g003.jpg,647,269
PMC3681113,IJT-4-280-g002.jpg,687,269
PMC3746225,IJT-5-32-g001.jpg,742,392
PMC3746225,IJT-5-32-g005.jpg,743,556
PMC3746225,IJT-5-32-g003.jpg,742,538
PMC3746225,IJT-5-32-g002.jpg,744,538
PMC3746225,IJT-5-32-g004.jpg,743,537
PMC3504261,CRIM.DM2012-257405.002.jpg,600,978
PMC3504261,CRIM.DM2012-257405.001.jpg,512,1698
PMC3483657,CRIM.DENTISTRY2012-197273.001.jpg,600,580
PMC3483657,CRIM.DENTISTRY2012-197273.003.jpg,600,650
