pmcid,figure_name,width,height
PMC3643370,JCytol-30-71-g003.jpg,760,503
PMC3643370,JCytol-30-71-g001.jpg,739,553
PMC3643370,JCytol-30-71-g002.jpg,696,568
PMC4977593,1679-4508-eins-13-1-103-gf01-pt.jpg,600,465
PMC4977593,1679-4508-eins-13-1-103-gf01.jpg,600,465
PMC4977593,1679-4508-eins-13-1-103-gf02-pt.jpg,600,490
PMC4977593,1679-4508-eins-13-1-103-gf02.jpg,600,490
PMC10151071,cureus-0015-00000037018-i01.jpg,750,1625
PMC10151071,cureus-0015-00000037018-i02.jpg,750,998
PMC10151071,cureus-0015-00000037018-i03.jpg,750,803
