pmcid,label,caption,graphic,disease,modality
PMC2225390,Figure 1,High magnification aspect of the neurofibroma showing floret-like multinucleated giant cells (arrows).,1746-1596-2-47-1,NotMatch,NotMatch
PMC2225390,Figure 2,"Vimentin positive floret-like multinucleated giant cells (arrows), in a background showing vimentin positive spindle cells.",1746-1596-2-47-2,NotMatch,NotMatch
PMC2225390,Figure 3,CD 34 positive cells and multinucleated giant cells in the neurofibroma.,1746-1596-2-47-3,NotMatch,NotMatch
PMC3663181,Figure 1,"The mass was poor circumscribed and lipomatous in appearance with mature adipocytes, diffusely infiltrating striated muscle fibers (H and E, × 10)",JCAS-6-51-g001,NotMatch,Match
PMC3663181,Figure 2,"Mature adipose tissue was admixed with abundant mucoid stroma (H and E, × 20)",JCAS-6-51-g002,NotMatch,NotMatch
PMC3663181,Figure 3,"Mucoid areas showed bland-appearing spindle cells and multinucleated giant cells with radially arranged nuclei in a “floret-like” pattern (H and E, × 20)",JCAS-6-51-g003,NotMatch,NotMatch
PMC3663181,Figure 4,"The spindle and giant cells were strongly positive for CD34 (immunoperoxydase, × 40)",JCAS-6-51-g004,NotMatch,NotMatch
PMC3584920,Figure 1,"A,The tumor predominantly consists of spindle cells admixed scattered multinucleated cells and abundant ropey collagen. B, Foccally, in striking myxoid stroma, the cells are scarcely diffused, and the vascular pattern varies from plexiform to dilated intermediate-sized vessels. C, The multinucleate cells have hyperchromatic, pelmorphic and florte-like muclei. D, Scattered inflammatory cells, such as lymphocytes and plasma cells could be seen in myxoid stroma.",1746-1596-7-155-1,NotMatch,NotMatch
PMC3584920,Figure 2,"A,Diffuse and strong CD34 staining highlighted the tumor cells. B, The floret-like cells were positive for CD34. C, The spindle cells and floret-like cells were negative for SMA, while SMA staining highlighted the dilated vessel. D, All tumor cells including floret-like cells were negative for S-100.",1746-1596-7-155-2,NotMatch,NotMatch
PMC4687215,Figure 1,"Smears are cellular, showing scattered spindle-shaped cells admixed with giant cells (H and E, ×200)",JCytol-32-201-g001,NotMatch,NotMatch
PMC4687215,Figure 2,"Section from the excised mass showing mature adipocytes admixed with spindle cells and scattered bizarre-looking pleomorphic cells (H and E, ×100)",JCytol-32-201-g002,NotMatch,Match
PMC5473311,Figure 1,"Computed tomography scan image sagittal view showing well-defined, heterogeneously enhancing mass measuring 4.3 × 4.5 × 2.7 (CC × AP × TR) in the right posterior triangle of the neck with few hypodense areas within it",JIAPS-22-184-g001,NotMatch,NotMatch
PMC5473311,Figure 2,"A well-encapsulated tumor (a, ×20) showing admiture of mature adipocytes and spindle cells with a few cystic spaces (b, ×100). Higher magnification showing multinucleated floret cells and bizzare cells, (c, ×400). The tumor cells are positive for CD34 immunohistochemically, (d, ×200)",JIAPS-22-184-g002,NotMatch,Match
PMC3655306,Fig. 1,"Retropharyngeal spindle cell/pleomorphic lipoma in 69-year-old woman.A. Ultrasonography (left: right side of neck, right: left side of neck) shows large heterogeneous mass (arrows) in both lateral sides of neck, and diffuse hyperechogenecity with multiple linear or band-shaped hypoechoic portions. B. Contrast-enhanced axial CT image shows huge and relatively well defined, minimal enhancing mass, including multifocal low attenuated areas (-15 to -40 Hounsfield unit). Mass is located in retropharyngeal space extending to both lateral sides of neck. Adjacent structures are displaced by tumor, with no evidence of invasion. C-G. On magnetic resonance imaging, mass is observed to have diffusely hypointense signal on T1-weighted image (WI) (C) and hyperintense signal on fat saturated T2WI (D). There are multifocal areas of high signal intensity within mass on T1WI which showed signal loss on fat saturated T2WI (arrows). Mass extends up to soft palate level cranially and thoracic inlet level caudally on sagittal T2WI (E). Fat saturated gadolinium-enhanced axial (F) and coronal (G) T1WI show exceedingly heterogeneous enhancing mass. H. Surgical specimen shows well-circumscribed and lobulated mass with thin fibrous capsule. I. Most of tumor contains spindle shaped cells in collagenous background. Between spindle cells, mature adipose tissue and characteristic floret-like multinucleated cells are present (Hematoxylin & Eosin staining; original magnification, × 10). J. Spindle tumor cells are positive for CD34 (immunohistochemical staining; original magnification, × 10). K. Mature fat cells are positive for S-100 protein. In contrast, spindle cells have no immunoreactivity for S-100 protein (immunohistochemical staining; original magnification, × 10).",kjr-14-493-g001,Match,Match
PMC4894806,FIGURE 1,H&E at ×4 magnification demonstrating thick eosinophilic collagen and vascular-like spaces.,ajd-37-0920-g001,NotMatch,Match
