pmcid,figure_name,width,height
PMC2225390,1746-1596-2-47-3.jpg,600,450
PMC2225390,1746-1596-2-47-1.jpg,600,450
PMC2225390,1746-1596-2-47-2.jpg,600,450
PMC3584920,1746-1596-7-155-1.jpg,600,452
PMC3584920,1746-1596-7-155-2.jpg,600,450
PMC3663181,JCAS-6-51-g002.jpg,716,537
PMC3663181,JCAS-6-51-g003.jpg,716,537
PMC3663181,JCAS-6-51-g004.jpg,716,537
PMC3663181,JCAS-6-51-g001.jpg,741,496
PMC3655306,kjr-14-493-g001.jpg,693,1046
PMC4687215,JCytol-32-201-g002.jpg,540,433
PMC4687215,JCytol-32-201-g001.jpg,540,407
PMC5473311,JIAPS-22-184-g001.jpg,765,587
PMC5473311,JIAPS-22-184-g002.jpg,539,368
PMC3691642,1477-7819-11-145-1.jpg,600,902
PMC3691642,1477-7819-11-145-2.jpg,600,676
PMC4894806,ajd-37-0920-g003.jpg,653,460
PMC4894806,ajd-37-0920-g004.jpg,653,488
PMC4894806,ajd-37-0920-g001.jpg,681,515
PMC4894806,ajd-37-0920-g002.jpg,681,515
PMC4894806,ajd-37-0920-g005.jpg,681,513
PMC6530947,medoral-24-e373-t001.jpg,760,241
PMC6530947,medoral-24-e373-g003.jpg,765,862
PMC6530947,medoral-24-e373-g002.jpg,767,508
PMC6530947,medoral-24-e373-g001.jpg,727,343
PMC6789408,WJCC-7-2899-g003.jpg,718,221
PMC6789408,WJCC-7-2899-g002.jpg,770,286
PMC6789408,WJCC-7-2899-g001.jpg,730,180
PMC8270049,JMAS-17-376-g001.jpg,605,340
PMC8270049,JMAS-17-376-g002.jpg,637,586
PMC8815711,cureus-0014-00000020919-i01.jpg,750,599
PMC8815711,cureus-0014-00000020919-i02.jpg,750,289
PMC9366934,CCR3-10-e6176-g003.jpg,709,366
PMC9366934,CCR3-10-e6176-g002.jpg,709,305
PMC9366934,CCR3-10-e6176-g001.jpg,709,189
PMC9653017,cureus-0014-00000030260-i03.jpg,750,465
PMC9653017,cureus-0014-00000030260-i02.jpg,750,563
PMC9653017,cureus-0014-00000030260-i01.jpg,750,716
PMC7767010,ijms-21-09694-g006.jpg,676,890
PMC7767010,ijms-21-09694-g009.jpg,671,925
PMC7767010,ijms-21-09694-g001.jpg,722,987
PMC7767010,ijms-21-09694-g003.jpg,709,966
PMC7767010,ijms-21-09694-g008.jpg,780,1064
PMC7767010,ijms-21-09694-g002.jpg,692,946
PMC7767010,ijms-21-09694-g007.jpg,642,898
PMC7767010,ijms-21-09694-g005.jpg,718,991
PMC7767010,ijms-21-09694-g004.jpg,700,790
PMC9929669,gr2.jpg,688,458
PMC9929669,gr3.jpg,740,207
PMC9929669,gr1.jpg,740,205
PMC8000249,diagnostics-11-00430-g006.jpg,764,862
PMC8000249,diagnostics-11-00430-g008.jpg,775,585
PMC8000249,diagnostics-11-00430-g005.jpg,781,587
PMC8000249,diagnostics-11-00430-g002.jpg,790,598
PMC8000249,diagnostics-11-00430-g004.jpg,752,336
PMC8000249,diagnostics-11-00430-g001.jpg,766,598
PMC8000249,diagnostics-11-00430-g003.jpg,797,903
PMC8000249,diagnostics-11-00430-g007.jpg,717,275
