pmid,pmcid,title,journal,insert_time,has_targz,disease
14726642,PMC2698103,Prenatal sonographic diagnosis of focal musculoskeletal anomalies.,Korean J Radiol,2023-12-17-22-15-40,True,NotMatch
14736408,PMC2706862,Mapping the naked neck (NA) and polydactyly (PO) mutants of the chicken with microsatellite molecular markers.,Genet Sel Evol,2023-12-17-22-15-40,True,Match
16479085,PMC2733968,"Transabdominal embryofetoscopy for the detection of short rib-polydactyly syndrome, type II(Majewski), in the first trimester.",J Korean Med Sci,2023-12-17-22-15-40,True,Match
17519577,PMC2872722,Bilateral Polydactyly in a foal.,J Vet Sci,2023-12-17-22-15-40,True,Match
17547743,PMC1891277,Ellis-van Creveld syndrome.,Orphanet J Rare Dis,2023-12-17-22-15-40,True,NotMatch
17645795,PMC1948010,Congenital anterolateral tibial bowing and polydactyly: a case report.,J Med Case Rep,2023-12-17-22-15-40,True,Match
18272352,PMC2428104,Polydactyly in the mouse mutant Doublefoot involves altered Gli3 processing and is caused by a large deletion in cis to Indian hedgehog.,Mech Dev,2023-12-17-22-15-40,True,Match
18435847,PMC2397380,The Greig cephalopolysyndactyly syndrome.,Orphanet J Rare Dis,2023-12-17-22-15-40,True,NotMatch
1844637,PMC3049717,Congenital hydrocephalus--analysis of 49 cases.,J Korean Med Sci,2023-12-17-22-15-40,True,NotMatch
18463159,PMC2486440,A variant in the sonic hedgehog regulatory sequence (ZRS) is associated with triphalangeal thumb and deregulates expression in the developing limb.,Hum Mol Genet,2023-12-17-22-15-40,True,NotMatch
18554391,PMC2441618,Brachydactyly.,Orphanet J Rare Dis,2023-12-17-22-15-40,True,NotMatch
18655703,PMC2503995,Diabetic fetopathy associated with bilateral adrenal hyperplasia and ambiguous genitalia: a case report.,J Med Case Rep,2023-12-17-22-15-40,True,NotMatch
18698406,PMC2492787,Intriguing balancing selection on the intron 5 region of LMBR1 in human population.,PLoS One,2023-12-17-22-15-40,True,NotMatch
18947413,PMC2584628,Extending the spectrum of Ellis van Creveld syndrome: a large family with a mild mutation in the EVC gene.,BMC Med Genet,2023-12-17-22-15-40,True,NotMatch
19025618,PMC2602999,Left hand polydactyly: a case report.,Cases J,2023-12-17-22-15-40,True,Match
19223390,PMC2671985,"Mouse hitchhiker mutants have spina bifida, dorso-ventral patterning defects and polydactyly: identification of Tulp3 as a novel negative regulator of the Sonic hedgehog pathway.",Hum Mol Genet,2023-12-17-22-15-40,True,Match
19400947,PMC2686686,Unraveling the disease pathogenesis behind lethal hydrolethalus syndrome revealed multiple changes in molecular and cellular level.,Pathogenetics,2023-12-17-22-15-40,True,NotMatch
19668216,PMC2746682,"Mutations in INPP5E, encoding inositol polyphosphate-5-phosphatase E, link phosphatidyl inositol signaling to the ciliopathies.",Nat Genet,2023-12-17-22-15-40,True,NotMatch
19672683,PMC2759026,Implication of long-distance regulation of the HOXA cluster in a patient with postaxial polydactyly.,Chromosome Res,2023-12-17-22-15-40,True,Match
20103962,PMC2850186,Combined occurrence of diabetes mellitus and retinitis pigmentosa.,Ann Saudi Med,2023-12-17-22-15-40,True,NotMatch
