pmcid,figure_name,width,height
PMC2428104,gr6.jpg,559,377
PMC2428104,gr2.jpg,567,397
PMC2428104,gr4.jpg,430,778
PMC2428104,gr3.jpg,556,234
PMC2428104,gr5.jpg,403,518
PMC2428104,gr1.jpg,471,878
PMC1948010,1752-1947-1-54-2.jpg,600,1473
PMC1948010,1752-1947-1-54-1.jpg,600,904
PMC2733968,jkms-21-165-g001.jpg,471,334
PMC2733968,jkms-21-165-i001.jpg,635,336
PMC2733968,jkms-21-165-g002.jpg,635,279
PMC2872722,jvs-8-201-g003.jpg,413,602
PMC2872722,jvs-8-201-g001.jpg,698,772
PMC2872722,jvs-8-201-g004.jpg,447,602
PMC2872722,jvs-8-201-g005.jpg,425,602
PMC2872722,jvs-8-201-g006.jpg,696,801
PMC2872722,jvs-8-201-g002.jpg,462,602
PMC2397380,1750-1172-3-10-1.jpg,600,215
PMC1891277,1750-1172-2-27-1.jpg,300,828
PMC1891277,1750-1172-2-27-3.jpg,531,822
PMC1891277,1750-1172-2-27-2.jpg,600,393
PMC2486440,ddn14102.jpg,607,452
PMC2486440,ddn14103.jpg,680,237
PMC2486440,ddn14105.jpg,512,325
PMC2486440,ddn14101.jpg,678,451
PMC2486440,ddn14104.jpg,406,163
PMC2441618,1750-1172-3-15-1.jpg,600,1028
PMC2441618,1750-1172-3-15-9.jpg,600,400
PMC2441618,1750-1172-3-15-6.jpg,600,412
PMC2441618,1750-1172-3-15-3.jpg,600,839
PMC2441618,1750-1172-3-15-4.jpg,600,381
PMC2441618,1750-1172-3-15-2.jpg,600,347
PMC2441618,1750-1172-3-15-5.jpg,600,398
PMC2441618,1750-1172-3-15-8.jpg,600,426
PMC2441618,1750-1172-3-15-7.jpg,600,426
PMC2503995,1752-1947-2-251-2.jpg,600,450
PMC2503995,1752-1947-2-251-1.jpg,600,450
PMC2492787,pone.0002948.g002.jpg,661,491
PMC2492787,pone.0002948.g001.jpg,606,790
PMC2492787,pone.0002948.g003.jpg,498,252
PMC2698103,kjr-4-243-g011.jpg,569,506
PMC2698103,kjr-4-243-g013.jpg,663,567
PMC2698103,kjr-4-243-g003.jpg,569,232
PMC2698103,kjr-4-243-g006.jpg,663,226
PMC2698103,kjr-4-243-i001.jpg,668,430
PMC2698103,kjr-4-243-g007.jpg,500,341
PMC2698103,kjr-4-243-g010.jpg,501,319
PMC2698103,kjr-4-243-g005.jpg,501,342
PMC2698103,kjr-4-243-g008.jpg,500,350
PMC2698103,kjr-4-243-g012.jpg,663,628
PMC2698103,kjr-4-243-g001.jpg,501,387
PMC2698103,kjr-4-243-g002.jpg,499,343
PMC2698103,kjr-4-243-g009.jpg,501,450
PMC2698103,kjr-4-243-g004.jpg,664,248
PMC2602999,1757-1626-1-346-1.jpg,600,225
PMC2686686,1755-8417-2-2-4.jpg,600,311
PMC2686686,1755-8417-2-2-2.jpg,600,310
PMC2686686,1755-8417-2-2-5.jpg,600,305
PMC2686686,1755-8417-2-2-3.jpg,600,310
PMC2686686,1755-8417-2-2-6.jpg,600,321
PMC2686686,1755-8417-2-2-1.jpg,600,763
PMC2584628,1471-2350-9-92-2.jpg,600,167
PMC2584628,1471-2350-9-92-8.jpg,600,265
PMC2584628,1471-2350-9-92-4.jpg,600,392
PMC2584628,1471-2350-9-92-6.jpg,600,309
PMC2584628,1471-2350-9-92-5.jpg,600,162
PMC2584628,1471-2350-9-92-7.jpg,600,658
PMC2584628,1471-2350-9-92-1.jpg,600,281
PMC2584628,1471-2350-9-92-3.jpg,600,206
PMC2759026,10577_2009_9059_Fig2_HTML.jpg,454,197
PMC2759026,10577_2009_9059_Fig1_HTML.jpg,605,674
PMC2850186,ASM-30-70-g002.jpg,575,274
PMC2850186,ASM-30-70-g001.jpg,574,270
PMC2671985,ddp07501.jpg,571,612
PMC2671985,ddp07506.jpg,481,593
PMC2671985,ddp07503.jpg,574,629
PMC2671985,ddp07508.jpg,434,728
PMC2671985,ddp07505.jpg,486,526
PMC2671985,ddp07504.jpg,500,856
PMC2671985,ddp07502.jpg,574,650
PMC2671985,ddp07507.jpg,480,616
PMC2671985,ddp07509.jpg,533,228
PMC2671985,ddp07511.jpg,439,1035
PMC2671985,ddp07510.jpg,446,1031
PMC2817015,mv-v16-137-f2.jpg,464,397
PMC2817015,mv-v16-137-f1.jpg,679,388
PMC2845574,1471-2350-11-33-2.jpg,600,1377
PMC2845574,1471-2350-11-33-3.jpg,600,1134
PMC2845574,1471-2350-11-33-1.jpg,600,527
PMC2817541,CRM2010-898636.003.jpg,411,468
PMC2817541,CRM2010-898636.001.jpg,709,793
PMC2817541,CRM2010-898636.002.jpg,727,738
PMC2817541,CRM2010-898636.004.jpg,727,732
PMC2859476,IJN-19-112-g001.jpg,771,253
PMC2859476,IJN-19-112-g002.jpg,545,726
PMC2862515,LI-26-92-g001.jpg,574,455
PMC2746682,nihms-130662-f0002.jpg,400,1203
PMC2746682,nihms-130662-f0001.jpg,612,586
PMC2746682,nihms-130662-f0004.jpg,400,609
PMC2746682,nihms-130662-f0003.jpg,600,489
PMC2886224,OJO-3-23-g002.jpg,744,521
PMC2886224,OJO-3-23-g004.jpg,722,521
PMC2886224,OJO-3-23-g001.jpg,743,521
PMC2886224,OJO-3-23-g003.jpg,619,585
PMC2890924,IJRI-20-138-g006.jpg,446,822
PMC2890924,IJRI-20-138-g003.jpg,742,736
PMC2890924,IJRI-20-138-g005.jpg,521,799
PMC2890924,IJRI-20-138-g002.jpg,743,663
PMC2890924,IJRI-20-138-g001.jpg,669,687
PMC2890924,IJRI-20-138-g004.jpg,743,662
PMC2890924,IJRI-20-138-g007.jpg,741,609
PMC2913941,1750-1172-5-20-1.jpg,600,656
PMC2913941,1750-1172-5-20-2.jpg,600,423
PMC2908878,ymj-51-775-i001.jpg,544,504
PMC2908878,ymj-51-775-i003.jpg,544,253
PMC2908878,ymj-51-775-g001.jpg,543,222
PMC2908878,ymj-51-775-i002.jpg,544,342
PMC2908878,ymj-51-775-g002.jpg,544,306
PMC2894012,ukmss-30246-f0003.jpg,600,415
PMC2894012,ukmss-30246-f0004.jpg,605,757
PMC2894012,ukmss-30246-f0002.jpg,492,600
PMC2894012,ukmss-30246-f0005.jpg,628,806
PMC2894012,ukmss-30246-f0001.jpg,546,600
PMC3038325,humu0032-E1985-f1.jpg,488,419
PMC3038325,humu0032-E1985-f2.jpg,304,409
PMC3178759,439_2011_968_Fig1_HTML.jpg,605,458
PMC3178759,439_2011_968_Fig3_HTML.jpg,605,505
PMC3178759,439_2011_968_Fig2_HTML.jpg,605,718
PMC3008963,DMM006262F6.jpg,486,196
PMC3008963,DMM006262F5.jpg,429,323
PMC3008963,DMM006262F8.jpg,626,281
PMC3008963,DMM006262F4.jpg,403,778
PMC3008963,DMM006262F1.jpg,461,499
PMC3008963,DMM006262F3.jpg,449,486
PMC3008963,DMM006262F9.jpg,429,344
PMC3008963,DMM006262F7.jpg,400,300
PMC3008963,supp_006262_DMM006262FigS1.jpg,766,700
PMC3008963,supp_006262_DMM006262FigS2.jpg,709,177
PMC3008963,DMM006262F2.jpg,522,411
PMC3081489,JCAS-4-56-g001.jpg,676,494
PMC3081489,JCAS-4-56-g002.jpg,674,491
PMC3081489,JCAS-4-56-g003.jpg,679,491
PMC3145907,kjped-54-219-g003.jpg,483,265
PMC3145907,kjped-54-219-g002.jpg,406,504
PMC3145907,kjped-54-219-g001.jpg,427,470
PMC3419833,431_2011_1553_Fig5_HTML.jpg,787,544
PMC3419833,431_2011_1553_Fig2_HTML.jpg,793,1072
PMC3419833,431_2011_1553_Fig6_HTML.jpg,742,884
PMC3419833,431_2011_1553_Fig1_HTML.jpg,793,1022
PMC3419833,431_2011_1553_Fig3_HTML.jpg,761,586
PMC3419833,431_2011_1553_Fig4_HTML.jpg,742,407
PMC3415794,ajmg0155-3042-f2.jpg,666,244
PMC3415794,ajmg0155-3042-f4.jpg,800,315
PMC3415794,ajmg0155-3042-f1.jpg,622,317
PMC3415794,ajmg0155-3042-f3.jpg,666,728
PMC3239234,gm275-1.jpg,600,835
PMC3239234,gm275-3.jpg,600,1382
PMC3239234,gm275-2.jpg,600,637
PMC3214326,IJHG-17-94-g001.jpg,666,520
PMC3214326,IJHG-17-94-g002.jpg,743,681
PMC3214326,IJHG-17-94-g003.jpg,743,588
PMC2851570,pgen.1000901.g004.jpg,467,583
PMC2851570,pgen.1000901.g003.jpg,656,444
PMC2851570,pgen.1000901.g002.jpg,490,433
PMC2851570,pgen.1000901.g005.jpg,656,372
PMC2851570,pgen.1000901.g006.jpg,656,464
PMC2851570,pgen.1000901.g001.jpg,467,612
PMC2851570,pgen.1000901.g007.jpg,467,379
PMC3315203,dds00401.jpg,494,357
PMC3315203,dds00403.jpg,488,327
PMC3315203,dds00402.jpg,513,312
PMC3315203,dds00404.jpg,561,423
PMC3251790,isd-41-167-g002.jpg,496,989
PMC3251790,isd-41-167-g001.jpg,493,988
PMC3251790,isd-41-167-g003.jpg,659,559
PMC3315424,1752-1947-6-16-6.jpg,600,461
PMC3315424,1752-1947-6-16-5.jpg,600,554
PMC3315424,1752-1947-6-16-2.jpg,600,148
PMC3315424,1752-1947-6-16-3.jpg,600,657
PMC3315424,1752-1947-6-16-4.jpg,600,551
PMC3315424,1752-1947-6-16-1.jpg,600,896
PMC3313869,1750-1172-7-4-3.jpg,600,720
PMC3313869,1750-1172-7-4-7.jpg,600,531
PMC3313869,1750-1172-7-4-2.jpg,600,233
PMC3313869,1750-1172-7-4-6.jpg,600,246
PMC3313869,1750-1172-7-4-1.jpg,600,227
PMC3313869,1750-1172-7-4-4.jpg,600,579
PMC3313869,1750-1172-7-4-5.jpg,600,176
PMC3261597,JCIS-1-59-g004.jpg,412,782
PMC3261597,JCIS-1-59-g005.jpg,531,875
PMC3261597,JCIS-1-59-g001.jpg,131,132
PMC3261597,JCIS-1-59-g003.jpg,672,587
PMC3261597,JCIS-1-59-g002.jpg,730,547
PMC3271618,JNRP-3-56-g001.jpg,646,718
PMC3271618,JNRP-3-56-g002.jpg,597,717
PMC3271618,JNRP-3-56-g003.jpg,676,210
PMC3314984,gr2.jpg,621,690
PMC3314984,gr4.jpg,414,528
PMC3314984,gr3.jpg,606,506
PMC3314984,gr1.jpg,558,638
PMC3314984,fx1.jpg,415,415
PMC3342524,fphys-03-00121-g002.jpg,784,916
PMC3342524,fphys-03-00121-g001.jpg,767,1023
PMC3370246,zbc0251210970001.jpg,683,501
PMC3370246,zbc0251210970007.jpg,492,367
PMC3370246,zbc0251210970004.jpg,492,403
PMC3370246,zbc0251210970006.jpg,700,589
PMC3370246,zbc0251210970005.jpg,633,655
PMC3370246,zbc0251210970002.jpg,683,504
PMC3370246,zbc0251210970008.jpg,683,479
PMC3370246,zbc0251210970003.jpg,683,460
PMC3370246,sbox.jpg,21,20
PMC3352611,JCIS-2-18-g001.jpg,428,432
PMC3352611,JCIS-2-18-g004.jpg,613,430
PMC3352611,JCIS-2-18-g009.jpg,462,660
PMC3352611,JCIS-2-18-g005.jpg,595,338
PMC3352611,JCIS-2-18-g007.jpg,727,253
PMC3352611,JCIS-2-18-g008.jpg,595,318
PMC3352611,JCIS-2-18-g003.jpg,573,372
PMC3352611,JCIS-2-18-g002.jpg,644,733
PMC3352611,JCIS-2-18-g006.jpg,621,550
PMC3352611,JCIS-2-18-g010.jpg,698,317
PMC3413560,1749-799X-7-26-1.jpg,600,399
PMC3413560,1749-799X-7-26-2.jpg,600,399
PMC3413560,1749-799X-7-26-3.jpg,600,399
PMC3354796,CCD-3-55-g002.jpg,620,448
PMC3354796,CCD-3-55-g003.jpg,618,448
PMC3354796,CCD-3-55-g007.jpg,620,422
PMC3354796,CCD-3-55-g006.jpg,602,672
PMC3354796,CCD-3-55-g001.jpg,619,448
PMC3354796,CCD-3-55-g004.jpg,559,745
PMC3354796,CCD-3-55-g005.jpg,620,319
PMC3477483,13353_2012_109_Fig1_HTML.jpg,520,444
PMC3477483,13353_2012_109_Fig2_HTML.jpg,709,178
PMC3467917,JPBS-4-153-g003.jpg,618,429
PMC3467917,JPBS-4-153-g006.jpg,618,448
PMC3467917,JPBS-4-153-g007.jpg,781,672
PMC3467917,JPBS-4-153-g002.jpg,657,672
PMC3467917,JPBS-4-153-g005.jpg,618,448
PMC3467917,JPBS-4-153-g004.jpg,618,448
PMC3467917,JPBS-4-153-g001.jpg,521,672
PMC3481713,ijph-41-20f2.jpg,794,356
PMC3481713,ijph-41-20f1.jpg,697,312
PMC3481713,ijph-41-20f3.jpg,724,316
PMC3408813,nihms382270f3.jpg,663,331
PMC3408813,nihms382270f2.jpg,649,432
PMC3408813,nihms382270f1.jpg,601,641
PMC3491301,IJHG-18-235-g003.jpg,720,536
PMC3491301,IJHG-18-235-g002.jpg,567,672
PMC3491301,IJHG-18-235-g004.jpg,618,370
PMC3491301,IJHG-18-235-g001.jpg,573,444
PMC3485761,CRIM.GENETICS2012-821347.002.jpg,472,1748
PMC3485761,CRIM.GENETICS2012-821347.001.jpg,600,1942
PMC3576294,1471-2350-14-13-1.jpg,600,441
PMC3576294,1471-2350-14-13-2.jpg,600,350
PMC3576294,1471-2350-14-13-3.jpg,600,265
PMC3527541,pone.0052264.t001.jpg,746,309
PMC3527541,pone.0052264.t002.jpg,746,308
PMC3527541,pone.0052264.t003.jpg,746,983
PMC3527541,pone.0052264.t004.jpg,746,189
PMC3527541,pone.0052264.g001.jpg,695,784
PMC3527541,pone.0052264.g002.jpg,701,369
PMC3585488,jmedgenet-2012-101431f01.jpg,698,495
PMC3627132,jmedgenet-2012-101284f01.jpg,787,636
PMC3627132,jmedgenet-2012-101284f02.jpg,752,760
