pmcid,figure_name,width,height
PMC2895207,cde0001-0035-f01.jpg,530,141
PMC2807725,IJD-54-390-g001.jpg,730,512
PMC2807725,IJD-54-390-g004.jpg,731,512
PMC2807725,IJD-54-390-g002.jpg,731,511
PMC2807725,IJD-54-390-g003.jpg,730,511
PMC2895211,cde0001-0052-f01.jpg,532,400
PMC2895211,cde0001-0052-f02.jpg,532,398
PMC3052290,cde0002-0130-f01.jpg,530,278
PMC3221228,IJD-56-576-g003.jpg,430,572
PMC3221228,IJD-56-576-g001.jpg,619,321
PMC3221228,IJD-56-576-g002.jpg,570,322
PMC3179029,IJD-56-460-g002.jpg,744,538
PMC3179029,IJD-56-460-g003.jpg,745,537
PMC3179029,IJD-56-460-g001.jpg,746,473
PMC3179024,IJD-56-452-g002.jpg,745,520
PMC3179024,IJD-56-452-g001.jpg,745,520
PMC3179024,IJD-56-452-g003.jpg,745,520
PMC3229068,ad-23-S211-g001.jpg,645,223
PMC3229068,ad-23-S211-g002.jpg,645,296
PMC3229955,ad-23-536-g003.jpg,467,300
PMC3229955,ad-23-536-g002.jpg,467,349
PMC3229955,ad-23-536-g001.jpg,546,816
PMC3437640,13555_2011_4_Fig1_HTML.jpg,619,456
PMC3437640,13555_2011_4_Fig3_HTML.jpg,619,453
PMC3437640,13555_2011_4_Fig4_HTML.jpg,618,545
PMC3437640,13555_2011_4_Fig2_HTML.jpg,619,456
PMC3555386,IJD-58-81b-g004.jpg,598,448
PMC3555386,IJD-58-81b-g003.jpg,552,448
PMC3555386,IJD-58-81b-g001.jpg,558,447
PMC3555386,IJD-58-81b-g002.jpg,618,445
PMC3622678,pone.0061311.g004.jpg,681,1423
PMC3622678,pone.0061311.g002.jpg,686,518
PMC3622678,pone.0061311.g001.jpg,781,883
PMC3622678,pone.0061311.g003.jpg,731,626
PMC3657230,IJD-58-158a-g003.jpg,740,358
PMC3657230,IJD-58-158a-g004.jpg,650,488
PMC3657230,IJD-58-158a-g002.jpg,650,488
PMC3657230,IJD-58-158a-g001.jpg,549,732
PMC3754381,abd-88-0441-g03.jpg,771,293
PMC3754381,abd-88-0441-g02.jpg,771,205
PMC3754381,abd-88-0441-g01.jpg,600,257
PMC3754380,abd-88-0438-g02.jpg,600,454
PMC3754380,abd-88-0438-g04.jpg,600,704
PMC3754380,abd-88-0438-g01.jpg,600,503
PMC3754380,abd-88-0438-g03.jpg,600,460
PMC3752501,IDOJ-4-262-g002.jpg,579,486
PMC3752501,IDOJ-4-262-g001.jpg,580,428
PMC3481819,IDOJ-2-94-g005.jpg,743,558
PMC3481819,IDOJ-2-94-g003.jpg,743,582
PMC3481819,IDOJ-2-94-g002.jpg,780,577
PMC3481819,IDOJ-2-94-g001.jpg,558,782
PMC3481819,IDOJ-2-94-g006.jpg,744,558
PMC3481819,IDOJ-2-94-g004.jpg,743,558
PMC3827519,IJD-58-461-g002.jpg,672,538
PMC3827519,IJD-58-461-g003.jpg,324,538
PMC3827519,IJD-58-461-g001.jpg,262,538
PMC3760943,abd-88-0623-g03.jpg,600,799
PMC3760943,abd-88-0623-g04.jpg,600,406
PMC3760943,abd-88-0623-g01.jpg,600,399
PMC3760943,abd-88-0623-g02.jpg,600,807
PMC3760943,abd-88-0623-g05.jpg,600,391
PMC3760943,abd-88-0623-g06.jpg,600,341
PMC3876017,abd-88-06-s1-0179-g04.jpg,600,445
PMC3876017,abd-88-06-s1-0179-g01.jpg,771,272
PMC3876017,abd-88-06-s1-0179-g02.jpg,600,521
PMC3876017,abd-88-06-s1-0179-g05.jpg,771,581
PMC3876017,abd-88-06-s1-0179-g03.jpg,600,1050
