pmid,pmcid,title,journal,insert_time,has_targz,disease
22010069,PMC3189536,Interventional radiography in management of high-flow arteriovenous malformation of maxilla: report of a case.,Imaging Sci Dent,2023-12-17-22-16-28,True,NotMatch
22028579,PMC3199429,Treatment using a long pulsed nd:yag laser with a pulsed dye laser for four cases of blebbed port wine stains.,Ann Dermatol,2023-12-17-22-16-28,True,NotMatch
22114413,PMC3220108,Sturge - Weber syndrome: A case report.,Contemp Clin Dent,2023-12-17-22-16-28,True,NotMatch
22363148,PMC3283854,Utility of Dermoscopy before and after Laser Irradiation in Port Wine Stains.,Ann Dermatol,2023-12-17-22-16-28,True,NotMatch
22408657,PMC3296402,Sturge-Weber syndrome with bilateral facial nevus and early cerebral calcification.,J Pediatr Neurosci,2023-12-17-22-16-28,True,NotMatch
22606496,PMC3350223,Presumed sturge weber syndrome in a haitian boy: a case of delayed diagnosis.,Case Rep Ophthalmol Med,2023-12-17-22-16-28,True,NotMatch
23130257,PMC3481928,Co-occurrence of intraoral hemangioma and port wine stain: A rare case.,Indian Dermatol Online J,2023-12-17-22-16-28,True,NotMatch
23762644,PMC3671523,Periodontal management of sturge-weber syndrome.,Case Rep Dent,2023-12-17-22-16-28,True,NotMatch
23819093,PMC3681312,Sturge-weber syndrome with osteohypertrophy of maxilla.,Case Rep Pediatr,2023-12-17-22-16-28,True,NotMatch
23869133,PMC3713758,Periodontal management of gingival enlargement associated with Sturge-Weber syndrome.,J Indian Soc Periodontol,2023-12-17-22-16-28,True,NotMatch
24027717,PMC3762015,Klippel - trenaunay - weber syndrome.,J Clin Neonatol,2023-12-17-22-16-28,True,NotMatch
24044498,PMC3853550,Tufted angioma (Angioblastoma) of eyelid in adults-report of two cases.,Diagn Pathol,2023-12-17-22-16-28,True,NotMatch
24077274,PMC4508742,Intramedullary and retroperitoneal melanocytic tumor associated with congenital blue nevus and nevus flammeus: an uncommon combination of neurocutaneous melanosis and phacomatosis pigmentovascularis--case report.,Neurol Med Chir (Tokyo),2023-12-17-22-16-28,True,Match
24207015,PMC3835185,Sturge-Weber syndrome coexisting with episodes of rhabdomyolysis.,BMC Neurol,2023-12-17-22-16-28,True,NotMatch
24761097,PMC3996788,Treatment of port-wine stains with flash lamp pumped pulsed dye laser on Indian skin: a six year study.,J Cutan Aesthet Surg,2023-12-17-22-16-28,True,Match
25024575,PMC4090850,Unusual presentation of Sturge-Weber syndrome: Progressive megalencephaly with bilateral cutaneous and cortical involvement.,Ann Indian Acad Neurol,2023-12-17-22-16-28,True,NotMatch
25054762,PMC4148289,Cutaneous New World Leishmaniasis on a Port-wine stain birthmark.,An Bras Dermatol,2023-12-17-22-16-28,True,Match
25276803,PMC4167959,Unconventional use of intense pulsed light.,Biomed Res Int,2023-12-17-22-16-28,True,NotMatch
25593433,PMC4292125,Primary intra osseous venous malformation of nasal bone: A rare case report.,Indian J Plast Surg,2023-12-17-22-16-28,True,NotMatch
25593797,PMC4290170,Angiokeratoma circumscriptum naeviforme with soft tissue hypertrophy and deep venous malformation: A variant of Klippel-Trenaunay syndrome?,Indian Dermatol Online J,2023-12-17-22-16-28,True,NotMatch
25602354,PMC4975081,Heredity of port-wine stains: investigation of families without a RASA1 mutation.,J Cosmet Laser Ther,2023-12-17-22-16-28,True,Match
25624768,PMC4296879,Laser treatment of port-wine stains.,Clin Cosmet Investig Dermatol,2023-12-17-22-16-28,True,Match
25657402,PMC4318068,Phakomatosis pigmentovascularis presenting with sturge-weber syndrome and klippel-trenaunay syndrome.,Indian J Dermatol,2023-12-17-22-16-28,True,NotMatch
25657428,PMC4318034,Acquired Port-wine Stain in an Adult Male: First Reported Case from India with Review of Literature.,Indian J Dermatol,2023-12-17-22-16-28,True,Match
25814757,PMC4372961,Juvenile localized scleroderma with port wine stain: coincidental or possible common pathogenetic association.,Indian J Dermatol,2023-12-17-22-16-28,True,NotMatch
25821431,PMC4360004,Sturge-Weber syndrome type II treated with PDL 595 nm laser.,Postepy Dermatol Alergol,2023-12-17-22-16-28,True,NotMatch
26131807,PMC4504628,"Phakomatosis Pigmentovascularis Associated With Sturge-Weber Syndrome, Ota Nevus, and Congenital Glaucoma.",Medicine (Baltimore),2023-12-17-22-16-28,True,NotMatch
26451379,PMC4588354,"Ophthalmic Alterations in the Sturge-Weber Syndrome, Klippel-Trenaunay Syndrome, and the Phakomatosis Pigmentovascularis: An Independent Group of Conditions?",Biomed Res Int,2023-12-17-22-16-28,True,NotMatch
26798522,PMC4698533,Pregnancy Tumor in a 31-Year-Old Female with a Facial Port-Wine Stain.,Case Rep Dent,2023-12-17-22-16-28,True,Match
27006845,PMC4783561,Diffuse Venous Malformation of the Uterus in a Pregnant Woman with Klippel-Trénaunay Syndrome Diagnosed by DCE-MRI.,Case Rep Obstet Gynecol,2023-12-17-22-16-28,True,NotMatch
27227544,PMC4881994,Hemoporfin Photodynamic Therapy for Port-Wine Stain: A Randomized Controlled Trial.,PLoS One,2023-12-17-22-16-28,True,Match
27257371,PMC4874637,"Ocular manifestations of Sturge-Weber syndrome: pathogenesis, diagnosis, and management.",Clin Ophthalmol,2023-12-17-22-16-28,True,NotMatch
27275244,PMC4877876,Klippel Trenaunay Syndrome: A Case Report in an Adolescent Nigerian Boy.,Open Access Maced J Med Sci,2023-12-17-22-16-28,True,NotMatch
27555719,PMC4968156,Unilateral Glaucoma Associated with Conjunctival Angioma and Choroidal Thickening without Facial Angioma.,Middle East Afr J Ophthalmol,2023-12-17-22-16-28,True,NotMatch
27795889,PMC5055513,Sturge-Weber syndrome with intracerebral hemorrhage: a case report.,Springerplus,2023-12-17-22-16-28,True,NotMatch
28030367,PMC5478501,Activation of PKCα and PI3K Kinases in Hypertrophic and Nodular Port Wine Stain Lesions.,Am J Dermatopathol,2023-12-17-22-16-28,True,NotMatch
28406466,PMC5491995,Artificial Red Blood Cells as Potential Photosensitizers in Dye Laser Treatment Against Port-Wine Stains.,J Funct Biomater,2023-12-17-22-16-28,True,Match
28724825,PMC5549420,A rare case of overlapping Sturge-Weber syndrome and Klippel-Trenaunay syndrome associated with bilateral refractory childhood glaucoma.,Indian J Ophthalmol,2023-12-17-22-16-28,True,NotMatch
28954113,PMC5595611,Hemoporfin-mediated photodynamic therapy for the treatment of port-wine stain birthmarks in pediatric patients.,An Bras Dermatol,2023-12-17-22-16-28,True,Match
29226252,PMC5722630,Hemoporfin-mediated photodynamic therapy on normal vasculature: implications for phototherapy of port-wine stain birthmarks.,J Clin Transl Res,2023-12-17-22-16-28,True,Match
29237924,PMC5742919,Glaucoma in Patients with Eyes Close to Areas Affected by Port-wine Stain has Lateral and Gender Predilection.,Chin Med J (Engl),2023-12-17-22-16-28,True,Match
29541691,PMC5849786,Acute primary angle-closure in Sturge-Weber syndrome.,Am J Ophthalmol Case Rep,2023-12-17-22-16-28,True,NotMatch
29872239,PMC5975454,Vascular Malformation of the Face: a Rare Case with Follow-up of 18 Years.,Acta Stomatol Croat,2023-12-17-22-16-28,True,NotMatch
30224889,PMC6137699,Combined cilioretinal artery and hemi-retinal vein occlusion in Sturge Weber syndrome: Expanding the clinical spectrum.,Saudi J Ophthalmol,2023-12-17-22-16-28,True,NotMatch
30284993,PMC6180221,Outcome with topical sirolimus for port wine stain malformations after unsatisfactory results with pulse dye laser treatment alone.,Ann Saudi Med,2023-12-17-22-16-28,True,NotMatch
30473605,PMC6236123,Bilateral Phacomatosis Pigmentovascularis in a Young Male with Developmental Glaucoma and Varicose Veins.,J Curr Glaucoma Pract,2023-12-17-22-16-28,True,NotMatch
30745960,PMC6364725,Anatomical Evaluation for Successful Dye Laser Treatment of Port Wine Stain in Vietnamese Patients.,Open Access Maced J Med Sci,2023-12-17-22-16-28,True,NotMatch
30908756,PMC6618082,Port wine stain treatment outcomes have not improved over the past three decades.,J Eur Acad Dermatol Venereol,2023-12-17-22-16-28,True,NotMatch
30954069,PMC6451243,An atypical case of Klippel-Trénaunay syndrome presenting with crossed-bilateral limb hypertrophy and postaxial polydactyly: a case report.,BMC Pediatr,2023-12-17-22-16-28,True,NotMatch
31053110,PMC6500033,Idiopathic inflammatory myopathy comorbid with Sturge-Weber syndrome: a case report.,BMC Neurol,2023-12-17-22-16-28,True,NotMatch
31067686,PMC6539103,The Pathogenesis of Port Wine Stain and Sturge Weber Syndrome: Complex Interactions between Genetic Alterations and Aberrant MAPK and PI3K Activation.,Int J Mol Sci,2023-12-17-22-16-28,True,NotMatch
31148861,PMC6537679,Phakomatosis Pigmentovascularis: A Clinical Profile of 11 Indian Patients.,Indian J Dermatol,2023-12-17-22-16-28,True,NotMatch
31334061,PMC6615402,Effectiveness of Dual Sequential Wavelength Laser in the Treatment of Portwine Stains - A Retrospective Study.,Indian Dermatol Online J,2023-12-17-22-16-28,True,NotMatch
31579838,PMC6765152,Site-specific pharmaco-laser therapy: A novel treatment modality for refractory port wine stains.,J Clin Transl Res,2023-12-17-22-16-28,True,NotMatch
31749841,PMC6848451,Capillary Malformation-Arteriovenous Malformation Combined Alagille Syndrome in a Patient With Double Gene Variations of RASA1 and NOTCH2.,Front Genet,2023-12-17-22-16-28,True,NotMatch
31988883,PMC6966219,Newly Diagnosed Klippel-Trenaunay Syndrome Presenting with Rectal Polyposis in a Male Pediatric Patient: A Case Report.,Pediatr Gastroenterol Hepatol Nutr,2023-12-17-22-16-28,True,NotMatch
32320629,PMC7480730,Societal-Perceived Health Utility of Hypertrophic Facial Port-Wine Stain and Laser Treatment.,Facial Plast Surg Aesthet Med,2023-12-17-22-16-28,True,Match
32343786,PMC7401860,Optical Coherence Tomography Angiography of Perilimbal Vasculature in Port-Wine Stain and Sturge-Weber Syndrome Patients.,Invest Ophthalmol Vis Sci,2023-12-17-22-16-28,True,Match
32454832,PMC7238321,Peripheral Ameloblastoma of Upper Gingiva in a Patient with Port-Wine Stain.,Case Rep Med,2023-12-17-22-16-28,True,Match
32518855,PMC7270543,Bilateral optic disc pits in a pediatric patient with Cobb syndrome.,Am J Ophthalmol Case Rep,2023-12-17-22-16-28,True,NotMatch
32528762,PMC7282379,Presentation and Management of Klippel-Trenaunay Syndrome: A Review of Available Data.,Cureus,2023-12-17-22-16-28,True,NotMatch
32614899,PMC7332045,Clinical outcome measures and scoring systems used in prospective studies of port wine stains: A systematic review.,PLoS One,2023-12-17-22-16-28,True,NotMatch
32635943,PMC7341638,Unilateral and segmental distribution of facial erythema: is it a real port-wine stain?,Hereditas,2023-12-17-22-16-28,True,Match
32695703,PMC7367591,Klippel-Trenaunay Syndrome with Arterio-veno-lymphatic Malformation: A Rare Presentation.,Indian Dermatol Online J,2023-12-17-22-16-28,True,NotMatch
32884550,PMC7443686,Spherophakia and Ectopia Lentis in a Sturge-Weber Patient: A Case Report.,Case Rep Ophthalmol,2023-12-17-22-16-28,True,NotMatch
32994781,PMC7507166,Usefulness of three-dimensional digital image analysis for objective evaluation of the efficacy of non-facial port-wine stain treatment with large spot 532 nm laser.,Postepy Dermatol Alergol,2023-12-17-22-16-28,True,Match
33287757,PMC7720598,Choroidal alterations of Sturge-Weber syndrome secondary glaucoma and non-glaucoma port-wine stain patients distinguished by enhanced depth imaging optical coherence tomography.,BMC Ophthalmol,2023-12-17-22-16-28,True,Match
33481216,PMC8019004,The Cost-Effectiveness of Pulsed-Dye Laser Therapy Among Thai Patients with Facial Port-Wine Stain: A Retrospective Study and Economic Evaluation.,Dermatol Ther (Heidelb),2023-12-17-22-16-28,True,Match
33487708,PMC7810065,Truncal Varicosities and Bilateral Port-wine Stain with Spinal Deformities Associated with Klippel-Trenaunay-Weber Syndrome.,Indian J Dermatol,2023-12-17-22-16-28,True,Match
33492467,PMC8263457,Chiari I malformation with Klippel-Trenaunay syndrome: case report and review of the literature.,Childs Nerv Syst,2023-12-17-22-16-28,True,NotMatch
33564515,PMC7861056,An Uncommon Presentation of Pyogenic Granuloma.,Cureus,2023-12-17-22-16-28,True,NotMatch
33585124,PMC7872872,Surgical Management of Facial Port-Wine Stain in Sturge Weber Syndrome.,Cureus,2023-12-17-22-16-28,True,Match
33842296,PMC8025953,Encephalotrigeminal Angiomatosis with Facial Lobular Capillary Hemangioma: An Unusual Case Report.,Int J Appl Basic Med Res,2023-12-17-22-16-28,True,NotMatch
33911677,PMC7997062,Acquired Port-Wine Stain Following Minor Trauma: Fegeler Syndrome.,Ann Dermatol,2023-12-17-22-16-28,True,Match
33937279,PMC8085301,A Deep Learning Based Framework for Diagnosing Multiple Skin Diseases in a Clinical Environment.,Front Med (Lausanne),2023-12-17-22-16-28,True,NotMatch
34113214,PMC7968948,A Giant Arteriovenous Malformation and Fistula in a Newborn with Parkes Weber Syndrome. Case Report.,Acta Med Litu,2023-12-17-22-16-28,True,NotMatch
34188511,PMC8235992,Quality of Life and Psychological Effects of Port-Wine Stain: A Review of Literature.,Clin Cosmet Investig Dermatol,2023-12-17-22-16-28,True,Match
34263327,PMC9413813,Influence of Port-wine Stains on Quality of Life of Children and Their Parents.,Acta Derm Venereol,2023-12-17-22-16-28,True,Match
34269014,PMC8280363,Irradiance uniformity optimization for a photodynamic therapy treatment device with 3D scanner.,J Biomed Opt,2023-12-17-22-16-28,True,NotMatch
34488883,PMC8422675,A neonate with Klippel-Trénaunay syndrome: a case report.,J Med Case Rep,2023-12-17-22-16-28,True,NotMatch
34497700,PMC8404425,Pyogenic granuloma arising within capillary malformations in children: A case report and literature review.,Dermatol Reports,2023-12-17-22-16-28,True,NotMatch
34522767,PMC8426603,"Occurrence of Klinefelter Syndrome Mosaic 45,X/46,XY/47,XXY/48,XXYY/48,XXXY and Primary Hyperparathyroidism.",AACE Clin Case Rep,2023-12-17-22-16-28,True,NotMatch
34658718,PMC8501447,A case of early localized scleroderma that was manifested as a port-wine stain.,Postepy Dermatol Alergol,2023-12-17-22-16-28,True,Match
34692608,PMC8529251,Vascular Birthmarks as a Clue for Complex and Syndromic Vascular Anomalies.,Front Pediatr,2023-12-17-22-16-28,True,NotMatch
34847393,PMC8639421,Choroidal hemangioma in Sturge Weber syndrome: Case series with confirmed tissue diagnosis.,Int J Surg Case Rep,2023-12-17-22-16-28,True,NotMatch
34899259,PMC8613549,The Effectiveness of Propranolol in Managing Hemorrhagic Choroidal and Exudative Retinal Detachment following Ahmed Glaucoma Valve Implantation in Sturge-Weber Syndrome: Case Report and Literature Review.,Case Rep Ophthalmol,2023-12-17-22-16-28,True,NotMatch
34909735,PMC8659408,Seeing through the Skin: Photoacoustic Tomography of Skin Vasculature and Beyond.,JID Innov,2023-12-17-22-16-28,True,NotMatch
34950554,PMC8687695,Klipple-Trenaunay Syndrome: A Rare Disorder With Multisystemic Clinical Attributes.,Cureus,2023-12-17-22-16-28,True,NotMatch
35127181,PMC8808235,The Use of Neodymium-Doped Yttrium Aluminum Garnet Laser for Treatment of Hypertrophic Port-Wine Stain.,Case Rep Dermatol Med,2023-12-17-22-16-28,True,Match
35244881,PMC9021340,The Efficacy of Hematoporphyrin Monomethyl Ether Photodynamic Therapy in Adult Patients with Port-Wine Stains: A Retrospective Study.,Dermatol Ther (Heidelb),2023-12-17-22-16-28,True,Match
35405516,PMC9006318,A rare case of persistent lateral marginal vein of Servelle in Klippel Trenaunay Syndrome: A successful surgical management.,Int J Surg Case Rep,2023-12-17-22-16-28,True,NotMatch
