pmcid,figure_name,width,height
PMC3199429,ad-23-S75-g001.jpg,469,329
PMC3199429,ad-23-S75-g002.jpg,469,186
PMC3189536,isd-41-123-g002.jpg,475,499
PMC3189536,isd-41-123-g004.jpg,495,422
PMC3189536,isd-41-123-g003.jpg,473,441
PMC3189536,isd-41-123-g001.jpg,496,1161
PMC3220108,CCD-1-183-g003.jpg,712,475
PMC3220108,CCD-1-183-g005.jpg,737,491
PMC3220108,CCD-1-183-g004.jpg,744,488
PMC3220108,CCD-1-183-g002.jpg,641,428
PMC3220108,CCD-1-183-g001.jpg,648,487
PMC3296402,JPN-6-114-g001.jpg,446,586
PMC3296402,JPN-6-114-g002.jpg,468,587
PMC3350223,CRIM.OPHMED2012-509693.001.jpg,600,594
PMC3350223,CRIM.OPHMED2012-509693.003.jpg,600,459
PMC3350223,CRIM.OPHMED2012-509693.002.jpg,600,602
PMC3283854,ad-24-7-g002.jpg,469,414
PMC3283854,ad-24-7-i001.jpg,427,177
PMC3283854,ad-24-7-g001.jpg,469,630
PMC3283854,ad-24-7-i002.jpg,425,249
PMC3481928,IDOJ-3-28-g003.jpg,562,394
PMC3481928,IDOJ-3-28-g002.jpg,675,288
PMC3481928,IDOJ-3-28-g001.jpg,507,833
PMC3481928,IDOJ-3-28-g004.jpg,744,775
PMC3681312,CRIM.PEDIATRICS2013-964596.002.jpg,600,413
PMC3681312,CRIM.PEDIATRICS2013-964596.004.jpg,600,413
PMC3681312,CRIM.PEDIATRICS2013-964596.003.jpg,600,413
PMC3681312,CRIM.PEDIATRICS2013-964596.001.jpg,588,867
PMC3713758,JISP-17-235-g003.jpg,617,459
PMC3713758,JISP-17-235-g002.jpg,741,406
PMC3713758,JISP-17-235-g007.jpg,741,349
PMC3713758,JISP-17-235-g006.jpg,677,610
PMC3713758,JISP-17-235-g008.jpg,742,430
PMC3713758,JISP-17-235-g004.jpg,741,407
PMC3713758,JISP-17-235-g001.jpg,459,688
PMC3713758,JISP-17-235-g005.jpg,566,688
PMC3762015,JCN-1-160-g002.jpg,742,440
PMC3762015,JCN-1-160-g001.jpg,742,444
PMC3853550,1746-1596-8-153-5.jpg,600,516
PMC3853550,1746-1596-8-153-4.jpg,600,451
PMC3853550,1746-1596-8-153-1.jpg,600,449
PMC3853550,1746-1596-8-153-3.jpg,600,520
PMC3853550,1746-1596-8-153-2.jpg,600,472
PMC4508742,nmc-53-730-g1.jpg,725,410
PMC4508742,nmc-53-730-g3.jpg,562,349
PMC4508742,nmc-53-730-g5.jpg,594,912
PMC4508742,nmc-53-730-g4.jpg,534,551
PMC4508742,nmc-53-730-g2.jpg,560,422
PMC3996788,JCAS-7-32-g006.jpg,677,326
PMC3996788,JCAS-7-32-g007.jpg,507,165
PMC3996788,JCAS-7-32-g003.jpg,636,238
PMC3996788,JCAS-7-32-g008.jpg,507,163
PMC3996788,JCAS-7-32-g002.jpg,506,137
PMC3996788,JCAS-7-32-g004.jpg,677,338
PMC3996788,JCAS-7-32-g005.jpg,677,321
PMC3996788,JCAS-7-32-g001.jpg,506,136
PMC3671523,CRIM.DENTISTRY2013-517145.005.jpg,600,523
PMC3671523,CRIM.DENTISTRY2013-517145.011.jpg,600,459
PMC3671523,CRIM.DENTISTRY2013-517145.007.jpg,600,593
PMC3671523,CRIM.DENTISTRY2013-517145.006.jpg,600,455
PMC3671523,CRIM.DENTISTRY2013-517145.008.jpg,600,497
PMC3671523,CRIM.DENTISTRY2013-517145.009.jpg,600,425
PMC3671523,CRIM.DENTISTRY2013-517145.004.jpg,600,431
PMC3671523,CRIM.DENTISTRY2013-517145.001.jpg,600,452
PMC3671523,CRIM.DENTISTRY2013-517145.010.jpg,600,410
PMC3671523,CRIM.DENTISTRY2013-517145.003.jpg,600,414
PMC3671523,CRIM.DENTISTRY2013-517145.002.jpg,600,429
PMC3835185,1471-2377-13-169-2.jpg,600,670
PMC3835185,1471-2377-13-169-1.jpg,600,364
PMC3835185,1471-2377-13-169-3.jpg,600,223
PMC4090850,AIAN-17-207-g001.jpg,737,341
PMC4090850,AIAN-17-207-g002.jpg,308,522
PMC4148289,abd-89-04-0669-g02.jpg,771,293
PMC4148289,abd-89-04-0669-g01.jpg,715,903
PMC4292125,IJPS-47-423-g005.jpg,373,522
PMC4292125,IJPS-47-423-g004.jpg,504,522
PMC4292125,IJPS-47-423-g002.jpg,739,355
PMC4292125,IJPS-47-423-g001.jpg,385,522
PMC4292125,IJPS-47-423-g003.jpg,581,520
PMC4975081,ijcl_a_1007060_f0001_b.jpg,700,1257
PMC4290170,IDOJ-5-109-g006.jpg,539,462
PMC4290170,IDOJ-5-109-g005.jpg,539,131
PMC4290170,IDOJ-5-109-g001.jpg,539,917
PMC4290170,IDOJ-5-109-g003.jpg,539,670
PMC4290170,IDOJ-5-109-g007.jpg,538,508
PMC4290170,IDOJ-5-109-g004.jpg,539,654
PMC4290170,IDOJ-5-109-g002.jpg,539,526
PMC4290170,IDOJ-5-109-g008.jpg,539,466
PMC4167959,BMRI2014-618206.003.jpg,600,296
PMC4167959,BMRI2014-618206.006.jpg,600,438
PMC4167959,BMRI2014-618206.008.jpg,600,246
PMC4167959,BMRI2014-618206.005.jpg,600,266
PMC4167959,BMRI2014-618206.002.jpg,600,222
PMC4167959,BMRI2014-618206.010.jpg,600,413
PMC4167959,BMRI2014-618206.004.jpg,600,362
PMC4167959,BMRI2014-618206.007.jpg,600,226
PMC4167959,BMRI2014-618206.009.jpg,600,241
PMC4167959,BMRI2014-618206.001.jpg,600,224
PMC4318034,IJD-60-104e-g003.jpg,539,406
PMC4318034,IJD-60-104e-g001.jpg,441,587
PMC4318034,IJD-60-104e-g004.jpg,487,497
PMC4318034,IJD-60-104e-g002.jpg,782,587
PMC4318068,IJD-60-77-g001.jpg,564,587
PMC4318068,IJD-60-77-g003.jpg,785,586
PMC4318068,IJD-60-77-g002.jpg,260,587
PMC4318068,IJD-60-77-g004.jpg,772,587
PMC4296879,ccid-8-027Fig3.jpg,634,1285
PMC4296879,ccid-8-027Fig2.jpg,634,1207
PMC4296879,ccid-8-027Fig1.jpg,616,575
PMC4372961,IJD-60-216e-g001.jpg,556,151
PMC4372961,IJD-60-216e-g002.jpg,534,404
PMC4372961,IJD-60-216e-g003.jpg,536,403
PMC4504628,medi-94-e1025-g004.jpg,800,413
PMC4504628,medi-94-e1025-g003.jpg,800,519
PMC4504628,medi-94-e1025-g001.jpg,1200,221
PMC4504628,medi-94-e1025-g002.jpg,800,363
PMC4360004,PDIA-32-22354-g001.jpg,750,848
PMC4360004,PDIA-32-22354-g005.jpg,750,564
PMC4360004,PDIA-32-22354-g003.jpg,767,592
PMC4360004,PDIA-32-22354-g002.jpg,750,563
PMC4360004,PDIA-32-22354-g004.jpg,768,592
