pmcid,label,caption,graphic
PMC3179007,Figure 1,"A single, indurate nodular and inflammatory mass of 4 × 3 cm in diameter in perianal area",IJD-56-418-g001
PMC3179007,Figure 2,Remission and cicatrizing of the perianal lesion after 2 years of HAART alone,IJD-56-418-g002
PMC3161667,Figure 1,"Multiple skin lesions on the neck, trunk and upper arms, consisting of infiltrated deep red violaceus nodules measuring 1–1,5 cm.",cmo-2-2008-153f1
PMC3161667,Figure 2,(a) Diffuse infiltrate sparing the epidermis mainly composed of small lymphocytes. (b) The same Figure—higher magnification.,cmo-2-2008-153f2
PMC3161667,Figure 3,Small CD20+ B cells.,cmo-2-2008-153f3
PMC3161667,Figure 4,CD10 antigen stain.,cmo-2-2008-153f4
PMC3161667,Figure 5,The skin lesions disappeared leaving a slight hyperpigmentation.,cmo-2-2008-153f5
PMC3702489,Figure 1,A 56-year old male patient with numerous erythematous and livid infiltrates before superficial radiotherapy.,1748-717X-8-147-1
PMC3702489,Figure 2,A 56-year old male patient with numerous erythematous and livid infiltrates before superficial radiotherapy.,1748-717X-8-147-2
PMC3702489,Figure 3,"The epidermis is preserved, with diffuse and nodular infiltrates of lymphoid cells. (H&E, magnification 40×).",1748-717X-8-147-3
PMC3702489,Figure 4,"The infiltrate is composed of atypical, medium-sized and focally large lymphatic cells. (H&E, magnification 400×).",1748-717X-8-147-4
PMC3702489,Figure 5,"Immunohistochemical staining for CD20 demonstrates diffusely positive reaction in tumour cells (A: IHC, CD20, magnification 20×), coexpressing BCL6 (B: IHC, BCL6, magnification 400×).",1748-717X-8-147-5
PMC3702489,Figure 6,Post-radiotherapy appearance.,1748-717X-8-147-6
PMC3702489,Figure 7,Post-radiotherapy appearance.,1748-717X-8-147-7
PMC3385281,Figure 1,Clinical photograph (after biopsy) of case 1 showing residual ulcerated light red plaque on medial aspect of left leg,IJMPO-33-54-g001
PMC3385281,Figure 2,"Photomicrograph (low power) showing diffuse nonepidermotropic infiltrates of tumor cells in the papillary and reticular dermis (Hematoxylin and Eosin, ×100)",IJMPO-33-54-g002
PMC3385281,Figure 3,Photomicrograph showing CD20 positivity (cytoplasmic membrane) by tumor cells (×400),IJMPO-33-54-g003
PMC3385281,Figure 4,Photomicrograph showing Bcl-6 positivity (nuclear) by tumor cells (×100),IJMPO-33-54-g004
PMC3385281,Figure 5,"Photomicrograph (high power) showing monomorphic large cells arranged in diffuse sheets. The cells have the high nuclearcytoplasmic ratio and prominent single to multiple nucleoli (Hematoxylin and Eosin, ×400)",IJMPO-33-54-g005
PMC3401135,Figure 1,"A) Eritematous nodular and partially ulcerated lesion, with a central escoriated zone and well defined edges; B) plaque lesion, partially necrotic in its central part, with eritematous and well defined edges.",hr-2012-2-e6-g001
PMC3401135,Figure 2,A) The tumor cells have large and polymorphic vescicular nuclei and often show prominent nuclolei; B) the lymphocytes express CD20.,hr-2012-2-e6-g002
PMC4241639,Fig. 1,"a A 55-year-old female presented for a routine craniocaudal (A) and mediolateral oblique (B) screening mammogram, which found a new 18-mm mass (arrows) in the posterior third of the right breast at approximately 2 o'clock on a background of scattered fibroglandular tissue. There were no suspicious microcalcifications, architectural distortion or mammographic signs of skin changes. Note that there is no mole marker over the mass to indicate skin findings. Small, non-enlarged right axillary lymph nodes were present (asterisk). b The 55-year-old female presented for a high resolution targeted ultrasound of the right breast. A physical exam prior to the breast ultrasound found no skin changes in the upper inner right breast. Targeted ultrasound of the right breast in the transverse (A) and longitudinal (B) planes showed a heterogeneously hypoechoic 13 × 15 × 6 mm mass with ill-defined, angulated margins located approximately 6–7 mm below the skin surface. The mass did not extend to the skin surface on ultrasound. Because the margins of the mass caused concern for a breast malignancy, an ultrasound-guided biopsy was recommended.",cro-0007-0685-g01
PMC4241639,Fig. 2,Histopathologic features of CMZL. a Hematoxylin-eosin staining shows nodular to diffuse lymphocytic infiltrate (white asterisk) involving fibroadipose tissue (black asterisk). b The diffuse lymphocytic infiltrate is composed primarily of small mature-appearing lymphocytes.,cro-0007-0685-g02
PMC4241639,Fig. 3,"The 55-year-old female with CBCL, originally involving the face, presented for an FDG-PET/CT. a Fused PET/CT images showed a 16 × 12 mm mass in the upper inner right breast, anterior depth, with an SUVmax of 3.1 g/ml. There was no overlying skin thickening or hypermetabolic activity. b A hypermetabolic 16 × 24 mm left axillary lymph node was also present with an SUVmax of 8.1 g/ml. There were no hypermetabolic right axillary lymph nodes. c A hypermetabolic right external iliac lymph node was present, measuring 15 × 24 mm with an SUVmax of 3.9 g/ml. d Several right inguinal lymph nodes were also seen, the largest measuring 12 × 17 mm with an SUVmax of 3.7 g/ml.",cro-0007-0685-g03
PMC3833476,Figure 1,"Cellular lymphoid tumor. The pattern is largely diffuse with focal nodular areas (H&E ×10). Image courtesy of Dr Ghada Bashat, Pathology, Aberdeen Royal Infirmary.",gahmj.1.1.006.g001
PMC3833476,Figure 2,"Cellular lymphoid tumor. The pattern is largely diffuse with focal nodular areas (H&E ×20). Image courtesy of Dr Ghada Bashat, Pathology, Aberdeen Royal Infirmary.",gahmj.1.1.006.g002
PMC3833476,Figure 3,Primary cutaneous B-cell lymphoma in July 2008. Posterior lesion left lower leg.,gahmj.1.1.006.g003
PMC3833476,Figure 4,Primary cutaneous B-cell lymphoma in July 2008. Anterior lesion left lower leg; surrounding satellites not showing clearly.,gahmj.1.1.006.g004
PMC3833476,Figure 5,Primary cutaneous B-cell lymphoma in May 2010. Posterior left lower leg; posttreatment pigmentation and depression.,gahmj.1.1.006.g005
PMC3833476,Figure 6,Primary cutaneous B-cell lymphoma in May 2010. Anterior left lower leg showing pigmentation changes.,gahmj.1.1.006.g006
PMC3833476,Figure 7,Primary cutaneous B-cell lymphoma in June 2011. Posterior left lower leg.,gahmj.1.1.006.g007
PMC3833476,Figure 8,Primary cutaneous B-cell lymphoma in June 2011. Anterior left lower leg.,gahmj.1.1.006.g008
PMC3833476,Figure 9,"Nodular marginal zone lymphoma. The architecture of the node is diffusely effaced by a population of lymphoid, plasmacytic, and histiocytic cells (H&E ×10). Image courtesy of Dr Ghada Bashat, Pathology, Aberdeen Royal Infirmary.",gahmj.1.1.006.g009
PMC3890503,Figure 1,"Case 17, dermatopathic lymphadenopathy. A: FNC smear of dermatopathic lymphadenopathy: the smear shows a polymorphous dispersed cell population represented by small lymphocytes, scattered histiocytes and occasional eosinophils (Diff Quik stain 430X). B: Small lymphocytes with compact chromatin and histiocytes with vesicular nuclei (Papanicolaou stain 430X). C: FC showing balanced CD4/CD8 ratio, and CD2/3/7 co-expression assessing the polyclonality of the T-cell population. D: DHPLC chromatogram of the TCRγ amplification product showing multiple peaks, in a shape similar to a Gaussian curve, assessing the polyclonal status.",1471-2407-14-8-1
PMC3890503,Figure 2,"Case14, lymph nodal involvement by MF. A: FNC smear of lymph nodal involvement by MF showing an atypical cell population of medium sized cells with dense coarse chromatin. In the background there are mature lymphocytes and numerous eosinophils (Diff Quik stain 270X). B: Atypical lymphoid cells with nuclear irregularities, with lymphocytes and eosinophils in the background. C: FC showing the complete absence of CD8 cells and loss of CD7 in the same CD3/CD2 positive cells. D: DHPLC Chromatogram of the TCRγ amplification product showing a single peak assessing the monoclonal status. Sanger electropherogram of the TCRγ amplification product from the same case showing one type of sequence. Blast analysis indicated the homology between this sequence and the germline Vg4-Jg1/2 rearrangement as in the IMGT® databases.",1471-2407-14-8-2
PMC3890503,Figure 3,"Case 15, lymph nodal involvement from cutaneous B-cell lymphoma. A: FNC smear of lymph nodal involvement from cutaneous B-cell lymphoma showing monomorphous large lymphoid cells with immature chromatin and two or more large nucleoli (Diff-Quik stain 430 X). B: FC showing CD10/19 co-expression and the kappa light chain restriction.",1471-2407-14-8-3
PMC5445424,Figure 1,Clinical aspect of the larger leg ulcer at presentation. The net and hypertrophic margins of the injury are indicated by arrows.,edmcr-2017-170032-g001
PMC5445424,Figure 2,"Incisional biopsy of the leg ulcer. Panel A: Histological findings of a primary cutaneous diffuse large B-cell lymphoma, leg type. Panel B: Immunohistochemical analysis of Ki67 shows a high cell proliferation (>90%). Panel C: Immunohistochemical analysis of CD20. Panel D: Immunohistochemical analysis of Bcl-2.",edmcr-2017-170032-g002
PMC5363138,Figure 1,Clinical presentation of primary cutaneous marginal zone B-cell lymphoma with an erythematous plaque (right arm) and nodular lesion with shiny surface and no desquamation (left arm),IJD-62-146-g003
PMC5363138,Figure 2,"Histological aspect of primary cutaneous marginal zone B-cell lymphoma, “class-switched.” (a) Dense nodular periadnexial and perivascular infiltrate throughout dermis ad subcutis, surrounding and partially colonizing reactive lymphoid germinal centers. (b) The infiltrate consists of small B-cells, with lymphoplasmacytoid and plasma cells appearance. Primary cutaneous marginal zone B-cell lymphoma, “class-switched” tumor strongly express IgM, are CD20+ CD79+, BCL-2+, but BCL-6",IJD-62-146-g004
PMC5363138,Figure 3,"(a) Usual clinical presentation of primary cutaneous follicle center lymphoma: Solitary plaques or nodules typically red to violet with a smooth, shiny mamillated surface. (b) The presence of erythematous slightly indurated arciform plaques surrounding tumor is a characteristic finding in primary cutaneous follicle center lymphoma. (c) In a small minority of patients, primary cutaneous follicle center lymphoma presents with multifocal skin lesions",IJD-62-146-g007
PMC5363138,Figure 4,(a-c) Dermic and subcutaneous infiltrates composed of neoplastic follicle center cells that are a mixture of centrocytes and centroblasts. Neoplastic cells are BCL-6 (d) and CD20 (e) positives,IJD-62-146-g008
PMC5363138,Figure 5,"Typical aspect of primary cutaneous diffuse large B-cell lymphoma, leg type: (a) Multiple, rapidly growing, red, firm tumors on the leg. (b) Tumor lesion of facen",IJD-62-146-g009
PMC5363138,Figure 6,"Histological aspect of primary cutaneous diffuse large B-cell lymphoma, leg type. (a) Diffuse and dense infiltrate throughout the dermis ad subcutis separated from the epidermis by a Grenz zone. (b) The infiltrate is mainly consisting of confluent sheets of large B-cells with roundish nuclei, prominent nucleoli, and open chromatin resembling centroblasts and immunoblasts. (c and d) Primary cutaneous diffuse large B-cell lymphoma, leg type is usually characterized by strong CD20 positivity and a high proliferation rate (Ki-67 > 70%) and BCL-6, CD5, CD10, CD30, CD138, and cyclin D1 negativity",IJD-62-146-g010
PMC5637003,Fig. 1,a Pachyderma on the right arm. b Three weeks after treatment with oral steroids. c CD4+ rich and dense dermal infiltrate of atypical lymphocytes. d Pachyderma on the arm. e Bilateral pachyderma on the thighs.,cde-0009-0151-g01
PMC5637003,Fig. 2,a Pachydermic infiltration of the forehead of the patient with myeloid leukemia cutis. b Pachyderma on the neck and in the shoulder area of the same patient. c Dense myeloid infiltrate extending over the entire dermis and infiltrating the hypodermis. d High-power view of leukemic cells in the dermis.,cde-0009-0151-g02
PMC6434743,Figure 1,"Red, indurated plaque on the left frontal scalp. Subtle vessels are seen clinically",IDOJ-10-208-g001
PMC6434743,Figure 2,"Dermoscopy (DermLite DL200 Hybrid; 3Gen; polarized mode, ×10 magnification) showing branching vessels (blue arrow), white circles/lines (white arrows), scale (yellow arrow) with perifollicular component (red arrows), circle hairs (black arrows), and salmon-colored background (orange arrow)",IDOJ-10-208-g002
PMC6434743,Figure 3,"Histopathology of primary cutaneous B-cell lymphoma, follicle cell type. (a) Dense, diffuse lymphocytic infiltrate involving the dermis (hematoxylin-eosin, original magnification ×10). (b) The infiltrate was strongly positive for CD-20 immunostain (original magnification ×10). Bcl-2 and Bcl-6 immunostains were also positive (not shown)",IDOJ-10-208-g003
PMC7166262,Figure 1,(a) Photograph of right lower extremity anterior view taken 4 days prior to admission following 10 days of cephalexin therapy. (b) Photograph of bilateral lower extremities anterior view taken on hospital day 4; on day 4 of cefazolin therapy prior to biopsy and diagnosis. (c) Photograph taken on hospital day 10 after 3 failed treatments of antibiotic therapy and after diagnosis of DLBCL.,CRIDM2020-8310602.001
PMC6447722,Fig 1,"A, Patient at her initial visit with ill-defined erythematous macules and reticular patches with areas of blanchable telangiectasias over frontoparietal forehead. B, Patient at the 6-month follow-up visit after 4 cycles of systemic rituximab.",gr1
PMC6447722,Fig 2,Hematoxylin–eosin staining of a punch biopsy specimen at ×5 magnification showing dense nodular lymphocytic infiltrates in the dermis and superficial subcutaneous fat.,gr2
