pmcid,figure_name,width,height
PMC3179007,IJD-56-418-g001.jpg,670,503
PMC3179007,IJD-56-418-g002.jpg,670,503
PMC3161667,cmo-2-2008-153f4.jpg,540,360
PMC3161667,cmo-2-2008-153f2.jpg,632,480
PMC3161667,cmo-2-2008-153f1.jpg,569,494
PMC3161667,cmo-2-2008-153f3.jpg,416,620
PMC3161667,cmo-2-2008-153f5.jpg,555,374
PMC3702489,1748-717X-8-147-3.jpg,600,797
PMC3702489,1748-717X-8-147-1.jpg,600,451
PMC3702489,1748-717X-8-147-6.jpg,600,451
PMC3702489,1748-717X-8-147-2.jpg,600,451
PMC3702489,1748-717X-8-147-7.jpg,600,451
PMC3702489,1748-717X-8-147-5.jpg,600,297
PMC3702489,1748-717X-8-147-4.jpg,600,453
PMC3385281,IJMPO-33-54-g002.jpg,540,398
PMC3385281,IJMPO-33-54-g004.jpg,540,405
PMC3385281,IJMPO-33-54-g005.jpg,796,598
PMC3385281,IJMPO-33-54-g001.jpg,713,556
PMC3385281,IJMPO-33-54-g003.jpg,540,405
PMC3890503,1471-2407-14-8-3.jpg,600,727
PMC3890503,1471-2407-14-8-1.jpg,600,471
PMC3890503,1471-2407-14-8-2.jpg,600,492
PMC3833476,gahmj.1.1.006.g009.jpg,652,393
PMC3833476,gahmj.1.1.006.g003.jpg,753,563
PMC3833476,gahmj.1.1.006.g006.jpg,770,577
PMC3833476,gahmj.1.1.006.g005.jpg,772,579
PMC3833476,gahmj.1.1.006.g004.jpg,775,579
PMC3833476,gahmj.1.1.006.g002.jpg,653,394
PMC3833476,gahmj.1.1.006.g001.jpg,658,403
PMC3833476,gahmj.1.1.006.g007.jpg,798,599
PMC3833476,gahmj.1.1.006.g008.jpg,798,599
PMC4241639,cro-0007-0685-g01.jpg,786,701
PMC4241639,cro-0007-0685-g03.jpg,758,462
PMC4241639,cro-0007-0685-g02.jpg,743,269
PMC3401135,hr-2012-2-e6-g001.jpg,500,205
PMC3401135,hr-2012-2-e6-g002.jpg,500,202
PMC5363138,IJD-62-146-g004.jpg,539,338
PMC5363138,IJD-62-146-g007.jpg,539,398
PMC5363138,IJD-62-146-g003.jpg,539,205
PMC5363138,IJD-62-146-g002.jpg,487,266
PMC5363138,IJD-62-146-g005.jpg,488,414
PMC5363138,IJD-62-146-g009.jpg,539,190
PMC5363138,IJD-62-146-g001.jpg,1010,1137
PMC5363138,IJD-62-146-g010.jpg,539,408
PMC5363138,IJD-62-146-g008.jpg,539,360
PMC5363138,IJD-62-146-g006.jpg,487,677
PMC5637003,cde-0009-0151-g01.jpg,703,527
PMC5637003,cde-0009-0151-g02.jpg,777,831
PMC5445424,edmcr-2017-170032-g002.jpg,661,326
PMC5445424,edmcr-2017-170032-g001.jpg,661,362
PMC5445424,88x31.jpg,88,31
PMC6434743,IDOJ-10-208-g002.jpg,600,463
PMC6434743,IDOJ-10-208-g001.jpg,599,596
PMC6434743,IDOJ-10-208-g003.jpg,539,618
PMC7166262,CRIDM2020-8310602.001.jpg,686,397
PMC6447722,gr2.jpg,747,440
PMC6447722,gr4.jpg,747,306
PMC6447722,gr3.jpg,722,566
PMC6447722,gr1.jpg,747,483
PMC5083727,CAM4-5-2740-g003.jpg,709,732
PMC5083727,CAM4-5-2740-g002.jpg,709,1082
PMC5083727,CAM4-5-2740-g001.jpg,709,534
PMC7366024,JCB-12-41151-g004.jpg,756,402
PMC7366024,JCB-12-41151-g001.jpg,749,353
PMC7366024,JCB-12-41151-g002.jpg,775,592
PMC7366024,JCB-12-41151-g003.jpg,756,401
PMC7301429,cureus-0012-00000008651-i02.jpg,800,638
PMC7301429,cureus-0012-00000008651-i01.jpg,800,1130
PMC7372591,fonc-10-01133-g0001.jpg,669,645
PMC7649191,13555_2020_445_Fig1_HTML.jpg,767,899
PMC7649191,13555_2020_445_Fig2_HTML.jpg,767,384
PMC7685021,omaa110f2.jpg,475,381
PMC7685021,omaa110f3.jpg,475,289
PMC7685021,omaa110f1.jpg,475,415
PMC9366677,ActaDV-101-2-1030-g001.jpg,660,677
PMC8484730,gr2.jpg,602,572
PMC8484730,gr4.jpg,602,376
PMC8484730,gr3.jpg,602,336
PMC8484730,gr1.jpg,602,538
PMC7954031,CCID-14-231-g0003.jpg,669,380
PMC7954031,CCID-14-231-g0002.jpg,750,276
PMC7954031,CCID-14-231-g0004.jpg,752,353
PMC7954031,CCID-14-231-g0001.jpg,750,550
PMC8784178,rjab605f1.jpg,500,280
PMC8784178,rjab605f2.jpg,500,278
PMC8784178,rjab605f3.jpg,500,281
PMC8784178,rjab605f4.jpg,500,371
PMC8784178,rjab605f5.jpg,500,277
PMC8824672,dp1201a06g002.jpg,711,403
PMC8824672,dp1201a06g001.jpg,708,405
PMC9631274,ActaDV-102-348-g001.jpg,663,468
PMC9631274,ActaDV-102-348-g002.jpg,678,851
PMC9073262,gr6.jpg,716,480
PMC9073262,gr2.jpg,716,435
PMC9073262,gr4.jpg,716,480
PMC9073262,gr3.jpg,716,504
PMC9073262,gr5.jpg,716,480
PMC9073262,gr1.jpg,716,535
PMC9633320,cureus-0014-00000029922-i03.jpg,750,1000
PMC9633320,cureus-0014-00000029922-i02.jpg,750,1000
PMC9633320,cureus-0014-00000029922-i04.jpg,750,999
PMC9633320,cureus-0014-00000029922-i01.jpg,750,999
PMC9729973,10.1177_12034754221126119-fig2.jpg,736,834
PMC9729973,10.1177_12034754221126119-fig1.jpg,738,553
PMC9729973,10.1177_12034754221126119-table1.jpg,726,882
PMC9729973,10.1177_12034754221126119-fig3.jpg,725,490
PMC9729973,10.1177_12034754221126119-table2.jpg,682,472
PMC9654082,cancers-14-05274-g001.jpg,742,758
PMC9654082,cancers-14-05274-g002.jpg,723,427
PMC9361210,gr2.jpg,602,747
PMC9361210,gr4.jpg,714,403
PMC9361210,gr3.jpg,759,430
PMC9361210,gr1.jpg,602,802
PMC9785996,life-12-02067-g003a.jpg,738,1006
PMC9785996,life-12-02067-g006a.jpg,751,594
PMC9785996,life-12-02067-g003b.jpg,720,972
PMC9785996,life-12-02067-g006b.jpg,754,594
PMC9785996,life-12-02067-g004.jpg,692,503
PMC9785996,life-12-02067-g002.jpg,677,782
PMC9785996,life-12-02067-g001.jpg,722,494
PMC9785996,life-12-02067-g005.jpg,787,595
PMC9969199,gr2.jpg,714,303
PMC9969199,gr4.jpg,714,437
PMC9969199,gr3.jpg,714,455
PMC9969199,gr1.jpg,714,580
PMC10436132,cureus-0015-00000042109-i03.jpg,750,533
PMC10436132,cureus-0015-00000042109-i05.jpg,750,533
PMC10436132,cureus-0015-00000042109-i01.jpg,750,563
PMC10436132,cureus-0015-00000042109-i04.jpg,750,533
PMC10436132,cureus-0015-00000042109-i07.jpg,750,440
PMC10436132,cureus-0015-00000042109-i06.jpg,750,533
PMC10436132,cureus-0015-00000042109-i02.jpg,750,533
