pmid,pmcid,title,journal,insert_time,has_targz
20808598,PMC2918348,"Primary cutaneous anaplastic large cell lymphoma arising from lymphomatoid papulosis, responding to low dose methotrexate.",J Cutan Aesthet Surg,2023-12-17-22-07-50,True
21552770,PMC5720019,Perils and pitfalls regarding differential diagnosis and treatment of primary cutaneous anaplastic large-cell lymphoma.,ScientificWorldJournal,2023-12-17-22-07-50,True
22768181,PMC3386999,Quantitative analysis of viral load per haploid genome revealed the different biological features of Merkel cell polyomavirus infection in skin tumor.,PLoS One,2023-12-17-22-07-50,True
23326035,PMC3543600,Imprint cytology facilitating the diagnosis of primary cutaneous anaplastic large cell lymphoma of iliac fossa.,J Cytol,2023-12-17-22-07-50,True
23938065,PMC3765467,Concurrent malignant melanoma and cutaneous involvement by classical Hodgkin lymphoma (CHL) in a 63 year-old man.,Diagn Pathol,2023-12-17-22-07-50,True
24099147,PMC3852251,Detection of Chlamydophila pneumoniae and human herpesvirus 8 in primary cutaneous anaplastic large-cell lymphoma: a case report.,Infect Agent Cancer,2023-12-17-22-07-50,True
24346900,PMC3875977,Primary cutaneous anaplastic large-cell lymphoma--case report.,An Bras Dermatol,2023-12-17-22-07-50,True
25405042,PMC4227362,Hemophagocytic lymphohistiocytosis in association with primary cutaneous anaplastic large cell lymphoma.,Case Rep Hematol,2023-12-17-22-07-50,True
25918620,PMC4387335,Treatment of primary cutaneous anaplastic large cell lymphoma with superficial x-rays.,Dermatol Reports,2023-12-17-22-07-50,True
26288406,PMC4533536,Primary Cutaneous CD8(+) CD30(+) Anaplastic Large Cell Lymphoma: An Unusual Case with a High Ki-67 index-A Short Review.,Indian J Dermatol,2023-12-17-22-07-50,True
27051683,PMC4802551,Primary cutaneous anaplastic large cell lymphoma in a patient receiving adalimumab.,JAAD Case Rep,2023-12-17-22-07-50,True
27382410,PMC4932675,Relapses of primary cutaneous anaplastic large-cell lymphoma in a female immunocompetent patient with persistent chlamydophila pneumoniae and human herpesvirus 8 infection.,Infect Agent Cancer,2023-12-17-22-07-50,True
27489433,PMC4969480,Synchronous Occurrence of Primary Cutaneous Anaplastic Large Cell Lymphoma and Squamous Cell Carcinoma.,Ann Dermatol,2023-12-17-22-07-50,True
27990392,PMC5134171,Primary cutaneous anaplastic large cell lymphoma masquerading as large pyogenic granuloma.,Indian Dermatol Online J,2023-12-17-22-07-50,True
28405495,PMC5384345,Biological and clinical significance of tryptophan-catabolizing enzymes in cutaneous T-cell lymphomas.,Oncoimmunology,2023-12-17-22-07-50,True
28975123,PMC5615884,"Systemic and primary cutaneous anaplastic large cell lymphoma: Clinical features, morphological spectrum, and immunohistochemical profile.",South Asian J Cancer,2023-12-17-22-07-50,True
29114604,PMC5605318,Effectiveness of low-dose radiation for primary cutaneous anaplastic large cell lymphoma.,Adv Radiat Oncol,2023-12-17-22-07-50,True
29296637,PMC5728491,Primary cutaneous anaplastic large-cell lymphoma: Complete remission for 13 years after denileukin diftitox.,JAAD Case Rep,2023-12-17-22-07-50,True
29369180,PMC5794364,Primary cutaneous anaplastic large-cell lymphoma: A case report.,Medicine (Baltimore),2023-12-17-22-07-50,True
30008645,PMC6041706,Presence of Chlamydophila pneumoniae DNA in blood cells is a frequent event in patients with the late stage of primary cutaneous lymphomas and with atopic dermatitis.,Postepy Dermatol Alergol,2023-12-17-22-07-50,True
30454071,PMC6245809,Kaposi's varicelliform eruption in a patient with metastatic melanoma and primary cutaneous anaplastic large cell lymphoma treated with talimogene laherparepvec and nivolumab.,J Immunother Cancer,2023-12-17-22-07-50,True
30544379,PMC6310586,Primary cutaneous anaplastic large cell lymphoma arising from a long-standing erythema nodosum: A case report.,Medicine (Baltimore),2023-12-17-22-07-50,True
30630983,PMC6355473,CD30-positive primary cutaneous lymphoproliferative disorders: molecular alterations and targeted therapies.,Haematologica,2023-12-17-22-07-50,True
31086652,PMC6507588,Non-implant associated primary cutaneous anaplastic large cell lymphoma of the breast.,J Surg Case Rep,2023-12-17-22-07-50,True
31256561,PMC6615420,Treatment of primary cutaneous anaplastic large cell lymphoma.,Arch Craniofac Surg,2023-12-17-22-07-50,True
31637066,PMC6766127,Primary Cutaneous Anaplastic Large Cell Lymphoma of the Oral Cavity Successfully Treated with Brentuximab Vedotin.,Case Rep Hematol,2023-12-17-22-07-50,True
31640798,PMC6805531,Clinicopathologic and microenvironmental analysis of primary cutaneous CD30-positive lymphoproliferative disorders: a 26 year experience from an academic medical center in Brazil.,Diagn Pathol,2023-12-17-22-07-50,True
31646165,PMC6804442,Ulcerated nodules in a sporotrichoid distribution.,JAAD Case Rep,2023-12-17-22-07-50,True
31687467,PMC6820271,Corresponding anaplastic lymphoma kinase-tropomyosin 3 (ALK-TPM3) fusion in a patient with a primary cutaneous anaplastic large-cell lymphoma and a Spitz nevus.,JAAD Case Rep,2023-12-17-22-07-50,True
31700858,PMC6827451,Primary Cutaneous Anaplastic Large-Cell Lymphoma.,Dermatopathology (Basel),2023-12-17-22-07-50,True
31996929,PMC9128961,Low-dose Methotrexate Treatment for Solitary or Localized Primary Cutaneous Anaplastic Large Cell Lymphoma: A Long-term Follow-up Study.,Acta Derm Venereol,2023-12-17-22-07-50,True
32013101,PMC7037068,Primary Cutaneous Anaplastic Large Cell Lymphoma (pcALCL) in the Elderly and the Importance of Sport Activity Training.,Int J Environ Res Public Health,2023-12-17-22-07-50,True
32049976,PMC7015403,"Evidence linking atopy and staphylococcal superantigens to the pathogenesis of lymphomatoid papulosis, a recurrent CD30+ cutaneous lymphoproliferative disorder.",PLoS One,2023-12-17-22-07-50,True
32207075,PMC7688836,Brentuximab Vedotin for Treating Relapsed or Refractory CD30-Positive Cutaneous T-Cell Lymphoma: An Evidence Review Group Perspective of a NICE Single Technology Appraisal.,Pharmacoecon Open,2023-12-17-22-07-50,True
32300458,PMC7153663,Combined Modality Treatment With Brentuximab Vedotin and Radiation Therapy for Primary Cutaneous Anaplastic Large Cell Lymphoma: A Case Report.,J Hematol,2023-12-17-22-07-50,True
32509362,PMC7201522,Aggressive Disease Course of Multiple Myeloma with Concomitant ALK-Negative Anaplastic Large Cell Lymphoma: A Case Report with an Unusual Presentation.,Case Rep Hematol,2023-12-17-22-07-50,True
33269156,PMC7704163,Primary Cutaneous CD30+ Anaplastic Large Cell Lymphoma: A Rare Association With Large Plaque Parapsoriasis.,Cureus,2023-12-17-22-07-50,True
33389922,PMC7927440,Evaluation of Associated Lymphomas and Their Risk Factors in Patients with Lymphomatoid Papulosis: A Retrospective Single-Center Study from Turkey.,Turk J Haematol,2023-12-17-22-07-50,True
33728366,PMC7935685,Aggressive tumors in a patient with HIV-induced immunosuppression.,JAAD Case Rep,2023-12-17-22-07-50,True
33950967,PMC8104231,A case report of aggressive course of CD30+ primary cutaneous anaplastic large cell lymphoma.,Medicine (Baltimore),2023-12-17-22-07-50,True
33968499,PMC8096624,Recurrent Primary Cutaneous Anaplastic Large Cell Lymphoma With Systemic Involvement: A Case Report and Literature Review.,Cureus,2023-12-17-22-07-50,True
34228815,PMC8444914,Primary cutaneous anaplastic large-cell lymphoma with marked spontaneous regression of organ manifestation after SARS-CoV-2 vaccination.,Br J Dermatol,2023-12-17-22-07-50,True
34235215,PMC8216793,Primary Cutaneous Lymphomas in Thailand: A 10-Year Retrospective Study.,Biomed Res Int,2023-12-17-22-07-50,True
34382383,PMC9244823,Whole-genome profiling of primary cutaneous anaplastic large cell lymphoma.,Haematologica,2023-12-17-22-07-50,True
34422530,PMC8376388,Cutaneous Anaplastic Large Cell Lymphoma: A Case Report about Masking Effect of Facial Masks in the COVID-19 Pandemic.,Plast Reconstr Surg Glob Open,2023-12-17-22-07-50,True
34434478,PMC8383590,Lymphomatoid Papulosis Development in Acute Lymphoblastic Leukemia.,J Med Cases,2023-12-17-22-07-50,True
34507350,PMC9153035,Randomized phase 3 ALCANZA study of brentuximab vedotin vs physician's choice in cutaneous T-cell lymphoma: final data.,Blood Adv,2023-12-17-22-07-50,True
34541271,PMC8435984,Stenotrophomonas maltophilia-associated primary cutaneous anaplastic large-cell lymphoma.,JAAD Case Rep,2023-12-17-22-07-50,True
34622970,PMC9297975,Primary cutaneous anaplastic large-cell lymphoma with DUSP22-IRF4 rearrangement following insect bites.,J Cutan Pathol,2023-12-17-22-07-50,True
34692965,PMC8517715,Aggressive primary cutaneous anaplastic large cell lymphoma with massive bilateral upper limb involvement at relapse.,JAAD Case Rep,2023-12-17-22-07-50,True
34977845,PMC8688881,Genomic Analysis of Cutaneous CD30-Positive Lymphoproliferative Disorders.,JID Innov,2023-12-17-22-07-50,True
35203244,PMC8870189,"Understanding Cell Lines, Patient-Derived Xenograft and Genetically Engineered Mouse Models Used to Study Cutaneous T-Cell Lymphoma.",Cells,2023-12-17-22-07-50,True
35330161,PMC8954173,Genetic Landscape of Peripheral T-Cell Lymphoma.,Life (Basel),2023-12-17-22-07-50,True
35345106,PMC8257094,Reniform ulcers: Unique presentation of multifocal primary cutaneous anaplastic large cell lymphoma.,Indian J Med Res,2023-12-17-22-07-50,True
35466174,PMC9036212,Aggressive Primary Cutaneous Anaplastic T-Cell Lymphoma Successfully Treated with Autologous Stem Cell Transplant and Brentuximab Vedotin Consolidation: Case Report and Review of the Literature.,Hematol Rep,2023-12-17-22-07-50,True
35530829,PMC9067410,Primary Cutaneous Anaplastic Large Cell Lymphoma of the Nasal Dorsum and Nasal Tip.,Cureus,2023-12-17-22-07-50,True
35658304,PMC9077532,Master of mimicry: Rare primary cutaneous anaplastic large cell lymphoma presenting as fungating parotid tumor-case report and review.,Int J Surg Case Rep,2023-12-17-22-07-50,True
35669086,PMC9166399,Primary Cutaneous Anaplastic Large Cell Lymphoma Arising in a Patient with Rhupus Syndrome and Sjogren's Syndrome.,Clin Cosmet Investig Dermatol,2023-12-17-22-07-50,True
36157690,PMC9459557,Successful Treatment of Primary Cutaneous Anaplastic Large Cell Lymphoma with Denileukin Diftitox.,Case Rep Oncol,2023-12-17-22-07-50,True
36291756,PMC9599538,Genetics Abnormalities with Clinical Impact in Primary Cutaneous Lymphomas.,Cancers (Basel),2023-12-17-22-07-50,True
36676781,PMC9861188,Non-Hodgkin Lymphoma Developed Shortly after mRNA COVID-19 Vaccination: Report of a Case and Review of the Literature.,Medicina (Kaunas),2023-12-17-22-07-50,True
36699770,PMC9872566,Primary Cutaneous Anaplastic Large Cell Lymphoma With Gastric Metastasis.,Cureus,2023-12-17-22-07-50,True
36920744,PMC10129955,Cost-Effectiveness of Brentuximab Vedotin Versus Physician's Choice of Methotrexate or Bexarotene for the Treatment of Cutaneous T-cell Lymphoma in Canada.,Adv Ther,2023-12-17-22-07-50,True
37627126,PMC10452173,"Primary Cutaneous Anaplastic Large Cell Lymphoma-A Review of Clinical, Morphological, Immunohistochemical, and Molecular Features.",Cancers (Basel),2023-12-17-22-07-50,True
37799372,PMC10549867,Vegetative plaque on the left superior eyelid.,Skin Health Dis,2023-12-17-22-07-50,False
37901027,PMC10600844,Primary cutaneous anaplastic large cell lymphoma with over-expressed Ki-67 transitioning into systemic anaplastic large cell lymphoma: A case report.,World J Clin Cases,2023-12-17-22-07-50,False
37999132,PMC10670225,"Characteristics of Primary Cutaneous Lymphoma in Italy: A Tertiary Care, Single-Center Study.",Curr Oncol,2023-12-17-22-07-50,False
