pmcid,figure_name,width,height
PMC3543600,JCytol-29-267-g001.jpg,694,594
PMC3543600,JCytol-29-267-g002.jpg,691,537
PMC2918348,JCAS-2-97-g002.jpg,669,469
PMC2918348,JCAS-2-97-g006.jpg,669,469
PMC2918348,JCAS-2-97-g007.jpg,669,467
PMC2918348,JCAS-2-97-g005.jpg,669,469
PMC2918348,JCAS-2-97-g004.jpg,669,469
PMC2918348,JCAS-2-97-g008.jpg,669,467
PMC2918348,JCAS-2-97-g009.jpg,743,520
PMC2918348,JCAS-2-97-g003.jpg,669,468
PMC2918348,JCAS-2-97-g001.jpg,669,469
PMC3386999,pone.0039954.t002.jpg,746,505
PMC3386999,pone.0039954.g001.jpg,683,358
PMC3386999,pone.0039954.g002.jpg,672,771
PMC3386999,pone.0039954.t001.jpg,746,666
PMC3386999,pone.0039954.g003.jpg,660,1030
PMC3765467,1746-1596-8-135-1.jpg,600,679
PMC3765467,1746-1596-8-135-3.jpg,600,678
PMC3765467,1746-1596-8-135-2.jpg,600,912
PMC3875977,abd-88-06-s1-0132-g02.jpg,600,504
PMC3875977,abd-88-06-s1-0132-g03.jpg,600,402
PMC3875977,abd-88-06-s1-0132-g01.jpg,600,946
PMC3875977,abd-88-06-s1-0132-g04.jpg,600,497
PMC3852251,1750-9378-8-41-4.jpg,600,841
PMC3852251,1750-9378-8-41-3.jpg,600,84
PMC3852251,1750-9378-8-41-2.jpg,600,425
PMC3852251,1750-9378-8-41-1.jpg,600,316
PMC4533536,IJD-60-373-g003.jpg,539,270
PMC4533536,IJD-60-373-g001.jpg,382,586
PMC4533536,IJD-60-373-g002.jpg,782,586
PMC4932675,13027_2016_79_Fig1_HTML.jpg,472,317
PMC4932675,13027_2016_79_Tab1_HTML.jpg,778,541
PMC4802551,gr2.jpg,722,511
PMC4802551,gr4.jpg,722,511
PMC4802551,gr3.jpg,722,511
PMC4802551,gr1.jpg,722,585
PMC4969480,ad-28-491-g002.jpg,784,864
PMC4969480,ad-28-491-g001.jpg,622,465
PMC5134171,IDOJ-7-526-g001.jpg,539,404
