pmcid,figure_name,width,height
PMC4531700,kjim-16-1-40-8f1.jpg,464,567
PMC4531700,kjim-16-1-40-8f4.jpg,591,358
PMC4531700,kjim-16-1-40-8f2.jpg,591,358
PMC4531700,kjim-16-1-40-8f5.jpg,591,358
PMC4531700,kjim-16-1-40-8f3.jpg,591,358
PMC3483585,JCAS-5-213-g003.jpg,633,488
PMC3483585,JCAS-5-213-g004.jpg,412,733
PMC3483585,JCAS-5-213-g001.jpg,794,733
PMC3483585,JCAS-5-213-g002.jpg,650,489
PMC3312659,IJD-57-50-g005.jpg,520,538
PMC3312659,IJD-57-50-g003.jpg,585,807
PMC3312659,IJD-57-50-g002.jpg,604,531
PMC3312659,IJD-57-50-g001.jpg,484,538
PMC3312659,IJD-57-50-g004.jpg,477,537
PMC3699925,abd-87-0914-g02.jpg,771,315
PMC3699925,abd-87-0914-g01.jpg,600,464
PMC3699925,abd-87-0914-g03.jpg,771,310
PMC3724014,aps-40-458-g001.jpg,653,813
PMC3724014,aps-40-458-g002.jpg,794,563
PMC3724014,aps-40-458-g004.jpg,719,445
PMC3724014,aps-40-458-g003.jpg,765,852
PMC3724015,aps-40-461-g001.jpg,669,495
PMC3724015,aps-40-461-g003.jpg,751,544
PMC3724015,aps-40-461-g005.jpg,759,585
PMC3724015,aps-40-461-g004.jpg,751,544
PMC3724015,aps-40-461-g002.jpg,668,493
PMC3927166,IJT-5-115-g003.jpg,303,404
PMC3927166,IJT-5-115-g001.jpg,557,370
PMC3927166,IJT-5-115-g002.jpg,537,403
PMC3806685,cde-0005-0248-g06.jpg,636,847
PMC3806685,cde-0005-0248-g01.jpg,723,964
PMC3806685,cde-0005-0248-g05.jpg,736,551
PMC3806685,cde-0005-0248-g04.jpg,736,552
PMC3806685,cde-0005-0248-g03.jpg,736,553
PMC3806685,cde-0005-0248-g02.jpg,751,564
PMC3806685,cde-0005-0248-g07.jpg,795,1059
PMC4434212,CRIM2015-742920.001.jpg,750,574
PMC4434212,CRIM2015-742920.002.jpg,751,575
PMC4777905,cde-0007-0352-g02.jpg,703,531
PMC4777905,cde-0007-0352-g01.jpg,520,705
PMC4777905,cde-0007-0352-g03.jpg,703,527
PMC5325745,cureus-0009-00000000999-i02.jpg,672,480
PMC5325745,cureus-0009-00000000999-i01.jpg,768,1186
PMC5697991,PAMJ-28-45-g001.jpg,574,374
PMC4923530,CRIONM2016-7481569.002.jpg,748,573
PMC4923530,CRIONM2016-7481569.001.jpg,748,571
PMC4923530,CRIONM2016-7481569.005.jpg,748,838
PMC4923530,CRIONM2016-7481569.003.jpg,748,802
PMC4923530,CRIONM2016-7481569.004.jpg,748,807
PMC6207842,rjy290f01.jpg,643,454
PMC6207842,rjy290f02.jpg,700,997
PMC6714204,IJD-64-339b-g001.jpg,330,586
PMC6714204,IJD-64-339b-g002.jpg,539,216
PMC6714204,IJD-64-339b-g003.jpg,539,206
PMC8448674,cureus-0013-00000017289-i02.jpg,750,558
PMC8448674,cureus-0013-00000017289-i01.jpg,750,563
PMC7269623,IJHS-14-18-g004.jpg,785,332
PMC7269623,IJHS-14-18-g006.jpg,567,325
PMC7269623,IJHS-14-18-g007.jpg,565,338
PMC7269623,IJHS-14-18-g005.jpg,565,305
PMC7269623,IJHS-14-18-g001.jpg,568,285
PMC7269623,IJHS-14-18-g008.jpg,567,333
PMC7269623,IJHS-14-18-g002.jpg,568,222
PMC7269623,IJHS-14-18-g003.jpg,570,153
PMC8742517,CCR3-10-e05259-g003.jpg,120,80
PMC8742517,CCR3-10-e05259-g001.jpg,709,989
PMC8742517,CCR3-10-e05259-g002.jpg,709,473
PMC8924508,gr2.jpg,750,229
PMC8924508,gr4.jpg,750,281
PMC8924508,gr3.jpg,750,296
PMC8924508,gr5.jpg,750,338
PMC8924508,gr1.jpg,750,308
PMC9132464,ICRP_A_2077208_F0001_C.jpg,780,586
PMC9132464,ICRP_A_2077208_F0008_C.jpg,780,1002
PMC9132464,ICRP_A_2077208_F0003_C.jpg,780,585
PMC9132464,ICRP_A_2077208_F0002_C.jpg,780,586
PMC9132464,ICRP_A_2077208_F0004_C.jpg,780,856
PMC9132464,ICRP_A_2077208_F0005_C.jpg,780,585
PMC9132464,ICRP_A_2077208_F0007_C.jpg,780,585
PMC9132464,ICRP_A_2077208_F0009_C.jpg,780,585
PMC9132464,ICRP_A_2077208_F0006_C.jpg,780,634
PMC9647022,fonc-12-1005206-g002.jpg,630,929
PMC9647022,fonc-12-1005206-g003.jpg,630,840
PMC9647022,fonc-12-1005206-g001.jpg,630,821
PMC8161811,dermatopathology-08-00021-g003.jpg,782,1197
PMC8161811,dermatopathology-08-00021-g001.jpg,725,545
PMC8161811,dermatopathology-08-00021-g004.jpg,783,425
PMC8161811,dermatopathology-08-00021-g005.jpg,758,702
PMC8161811,dermatopathology-08-00021-g002.jpg,709,516
PMC9805312,PAMJ-43-89-g006.jpg,800,600
PMC9805312,PAMJ-43-89-g007.jpg,631,1199
PMC9805312,PAMJ-43-89-g004.jpg,800,600
PMC9805312,PAMJ-43-89-g001.jpg,632,683
PMC9805312,PAMJ-43-89-g003.jpg,640,853
PMC9805312,PAMJ-43-89-g002.jpg,800,1067
PMC9805312,PAMJ-43-89-g005.jpg,800,600
