pmid,pmcid,title,journal,insert_time,has_targz,disease
18377654,PMC2329656,Giant pyogenic granuloma of the thigh: a case report.,J Med Case Rep,2023-12-17-22-16-30,True,Match
18513426,PMC2426672,Intravascular lesions of the hand.,Diagn Pathol,2023-12-17-22-16-30,True,NotMatch
18655700,PMC2526984,Histological variants of cutaneous Kaposi sarcoma.,Diagn Pathol,2023-12-17-22-16-30,True,NotMatch
19055747,PMC2614954,Extragingival pyogenic granuloma: a case report.,Cases J,2023-12-17-22-16-30,True,Match
19082393,PMC4327705,Epidemiological and oral manifestations of HIV-positive patients in a specialized service in Brazil.,J Appl Oral Sci,2023-12-17-22-16-30,True,NotMatch
19212524,PMC2633169,Peripheral cemento-ossifying fibroma in child. A follow-up of 4 years. Report of a case.,Eur J Dent,2023-12-17-22-16-30,True,NotMatch
19672335,PMC2724667,Benign oral masses in a Northern Jordanian population-a retrospective study.,Open Dent J,2023-12-17-22-16-30,True,NotMatch
19881033,PMC2772288,Angiosarcoma of the scalp.,Indian J Plast Surg,2023-12-17-22-16-30,True,NotMatch
19882031,PMC2763759,Efficacy of pulsed dye laser in cosmetically distressing facial dermatoses in skin types IV and V.,Indian J Dermatol,2023-12-17-22-16-30,True,NotMatch
19918487,PMC2769377,Multiple pyogenic granuloma of the penis in a four-year-old child: a case report.,Cases J,2023-12-17-22-16-30,True,Match
19918522,PMC2769352,Pyogenic granuloma as a surrogate indicator of deep seated foreign bodies: a case report.,Cases J,2023-12-17-22-16-30,True,Match
21063528,PMC2965922,Desmoplastic melanoma presenting as pyogenic granuloma: report of a case with review of literature.,Indian J Dermatol,2023-12-17-22-16-30,True,Match
21063532,PMC2965926,Polypoid Basal cell carcinoma masquerading as pyogenic granuloma.,Indian J Dermatol,2023-12-17-22-16-30,True,Match
21085814,PMC4246389,Pyogenic granuloma on the upper lip: an unusual location.,J Appl Oral Sci,2023-12-17-22-16-30,True,Match
21103239,PMC2988909,Intraabdominal Intravascular Papillary Endothelial Hyperplasia (Masson's Tumor): A Rare and Novel Cause of Gastrointestinal Bleeding.,Case Rep Gastroenterol,2023-12-17-22-16-30,True,NotMatch
21731281,PMC3125660,Peripheral ossifying fibroma.,J Oral Maxillofac Pathol,2023-12-17-22-16-30,True,NotMatch
21912553,PMC3170811,Vulvar pyogenic granuloma in a postmenopausal woman: case report and review of the literature.,Case Rep Med,2023-12-17-22-16-30,True,Match
21968923,PMC3180751,Focal Reactive lesions of the Gingiva: An Analysis of 314 cases at a tertiary Health Institution in Nigeria.,Niger Med J,2023-12-17-22-16-30,True,NotMatch
21976910,PMC3183723,Laser: a powerful tool for treatment of pyogenic granuloma.,J Cutan Aesthet Surg,2023-12-17-22-16-30,True,Match
22028552,PMC3199402,Acral angioosteoma cutis.,Ann Dermatol,2023-12-17-22-16-30,True,NotMatch
22028553,PMC3199403,Concurrent occurrence of mucocele and pyogenic granuloma.,Ann Dermatol,2023-12-17-22-16-30,True,Match
22090773,PMC3214537,Pyogenic granuloma associated with periodontal abscess and bone loss - A rare case report.,Contemp Clin Dent,2023-12-17-22-16-30,True,Match
22114397,PMC3220083,Capillary hemangioma or pyogenic granuloma: A diagnostic dilemma.,Contemp Clin Dent,2023-12-17-22-16-30,True,Match
22114415,PMC3220110,Oral pregnancy tumor.,Contemp Clin Dent,2023-12-17-22-16-30,True,NotMatch
22114437,PMC3220153,Focal fibrous overgrowths: a case series and review of literature.,Contemp Clin Dent,2023-12-17-22-16-30,True,NotMatch
22216076,PMC3249641,Presumed pyogenic granuloma associated with intravitreal anti-vascular endothelial growth factor therapy.,Open Ophthalmol J,2023-12-17-22-16-30,True,Match
22276062,PMC3223953,Management of dermatologic toxicities related to epidermal growth factor receptor inhibitor therapy across Europe: can we get a consensus?,Ecancermedicalscience,2023-12-17-22-16-30,True,NotMatch
