pmcid,figure_name,width,height
PMC2329656,1752-1947-2-95-1.jpg,600,334
PMC2329656,1752-1947-2-95-2.jpg,600,449
PMC2329656,1752-1947-2-95-3.jpg,600,450
PMC2614954,1757-1626-1-371-1.jpg,472,323
PMC2614954,1757-1626-1-371-3.jpg,443,354
PMC2614954,1757-1626-1-371-2.jpg,472,482
PMC4327705,1678-7757-jaos-16-06-0369-gf01.jpg,766,457
PMC4327705,1678-7757-jaos-16-06-0369-gf02.jpg,785,449
PMC4327705,1678-7757-jaos-16-06-0369-gf04.jpg,788,448
PMC4327705,1678-7757-jaos-16-06-0369-gf03.jpg,743,255
PMC2526984,1746-1596-3-31-4.jpg,600,443
PMC2526984,1746-1596-3-31-2.jpg,600,451
PMC2526984,1746-1596-3-31-9.jpg,600,581
PMC2526984,1746-1596-3-31-3.jpg,600,450
PMC2526984,1746-1596-3-31-1.jpg,600,600
PMC2526984,1746-1596-3-31-8.jpg,600,450
PMC2526984,1746-1596-3-31-18.jpg,600,446
PMC2526984,1746-1596-3-31-12.jpg,600,445
PMC2526984,1746-1596-3-31-14.jpg,600,343
PMC2526984,1746-1596-3-31-19.jpg,600,446
PMC2526984,1746-1596-3-31-17.jpg,600,540
PMC2526984,1746-1596-3-31-7.jpg,600,600
PMC2526984,1746-1596-3-31-21.jpg,600,450
PMC2526984,1746-1596-3-31-16.jpg,391,667
PMC2526984,1746-1596-3-31-11.jpg,600,445
PMC2526984,1746-1596-3-31-13.jpg,600,343
PMC2526984,1746-1596-3-31-10.jpg,600,626
PMC2526984,1746-1596-3-31-6.jpg,600,446
PMC2526984,1746-1596-3-31-15.jpg,600,450
PMC2526984,1746-1596-3-31-20.jpg,600,446
PMC2526984,1746-1596-3-31-5.jpg,600,450
PMC2724667,TODENTJ-3-147_F1.jpg,426,517
PMC2772288,IJPS-42-118-g002.jpg,424,521
PMC2772288,IJPS-42-118-g003.jpg,440,521
PMC2772288,IJPS-42-118-g001.jpg,498,782
PMC2633169,135_fig1.jpg,510,401
PMC2633169,136_fig3.jpg,510,468
PMC2633169,136_fig5.jpg,511,400
PMC2633169,136_fig4.jpg,511,465
PMC2633169,135_fig2.jpg,510,546
PMC2633169,136_fig7.jpg,510,398
PMC2633169,136_fig6.jpg,510,395
PMC2763759,IJD-53-186-g001.jpg,730,511
PMC2763759,IJD-53-186-g002.jpg,730,511
PMC2763759,IJD-53-186-g004.jpg,605,173
PMC2763759,IJD-53-186-g003.jpg,731,511
PMC2769377,1757-1626-0002-0000007831-002.jpg,502,377
PMC2769377,1757-1626-0002-0000007831-001.jpg,502,374
PMC2965926,IJD-55-296-g001.jpg,445,782
PMC2965926,IJD-55-296-g002.jpg,745,522
PMC2965922,IJD-55-284-g011.jpg,648,521
PMC2965922,IJD-55-284-g002.jpg,695,521
PMC2965922,IJD-55-284-g006.jpg,694,521
PMC2965922,IJD-55-284-g005.jpg,695,521
PMC2965922,IJD-55-284-g008.jpg,693,521
PMC2965922,IJD-55-284-g004.jpg,694,521
PMC2965922,IJD-55-284-g001.jpg,695,521
PMC2965922,IJD-55-284-g010.jpg,726,521
PMC2965922,IJD-55-284-g012.jpg,672,521
PMC2965922,IJD-55-284-g003.jpg,695,521
PMC2965922,IJD-55-284-g009.jpg,744,521
PMC2965922,IJD-55-284-g007.jpg,675,521
PMC2426672,1746-1596-3-24-2.jpg,600,600
PMC2426672,1746-1596-3-24-6.jpg,600,600
PMC2426672,1746-1596-3-24-5.jpg,600,600
PMC2426672,1746-1596-3-24-4.jpg,600,600
PMC2426672,1746-1596-3-24-1.jpg,571,403
PMC2426672,1746-1596-3-24-7.jpg,600,600
PMC2426672,1746-1596-3-24-8.jpg,600,600
PMC2426672,1746-1596-3-24-9.jpg,600,600
PMC2426672,1746-1596-3-24-3.jpg,600,600
PMC2988909,crg0004-0124-f03.jpg,446,1004
PMC2988909,crg0004-0124-f02.jpg,474,355
PMC2988909,crg0004-0124-f01.jpg,474,355
PMC3125660,JOMFP-15-65-g001.jpg,744,537
PMC3125660,JOMFP-15-65-g005.jpg,743,537
PMC3125660,JOMFP-15-65-g002.jpg,743,537
PMC3125660,JOMFP-15-65-g003.jpg,449,604
PMC3125660,JOMFP-15-65-g004.jpg,743,537
PMC4246389,jaos-18-05-0538-g02.jpg,600,451
PMC4246389,jaos-18-05-0538-g01.jpg,600,383
PMC4246389,jaos-18-05-0538-g04.jpg,771,474
PMC4246389,jaos-18-05-0538-g03.jpg,600,854
PMC3170811,CRIM2011-201901.001.jpg,600,678
PMC3170811,CRIM2011-201901.003.jpg,600,460
PMC3170811,CRIM2011-201901.002.jpg,527,749
PMC3183723,JCAS-4-144-g005.jpg,760,570
PMC3183723,JCAS-4-144-g003.jpg,567,378
PMC3183723,JCAS-4-144-g002.jpg,523,570
PMC3183723,JCAS-4-144-g004.jpg,553,854
PMC3183723,JCAS-4-144-g001.jpg,760,505
PMC3199402,ad-23-S105-g002.jpg,632,231
PMC3199402,ad-23-S105-g001.jpg,469,250
PMC3180751,NMJ-52-35-g007.jpg,438,146
PMC3180751,NMJ-52-35-g006.jpg,437,208
PMC3180751,NMJ-52-35-g003.jpg,439,168
PMC3180751,NMJ-52-35-g005.jpg,437,249
PMC3180751,NMJ-52-35-g004.jpg,671,479
PMC3180751,NMJ-52-35-g002.jpg,671,477
PMC3180751,NMJ-52-35-g001.jpg,665,574
PMC3199403,ad-23-S108-g002.jpg,632,466
PMC3199403,ad-23-S108-g003.jpg,475,282
PMC3199403,ad-23-S108-g001.jpg,467,320
