pmcid,label,caption,graphic,disease,modality
PMC2926582,Figure 1,A dome-shaped faintly pinkish nodule. The surface of the tumor was covered with yellow papules. ,DRP2010-140486.001,NotMatch,NotMatch
PMC2926582,Figure 2,Yellowish homogeneous ovoid areas and arborizing vessels at the periphery of the nodule. ,DRP2010-140486.002,NotMatch,NotMatch
PMC2926582,Figure 3,"A well-circumscribed, smooth-bordered, and deeply basophilic tumor in the dermis. ",DRP2010-140486.003,NotMatch,NotMatch
PMC2926582,Figure 4,The tumor is composed of basaloid cells with deeply basophilic oval nuclei showing a typical rippled pattern. ,DRP2010-140486.004,NotMatch,NotMatch
PMC2926582,Figure 5,The cells simulating Verocay bodies are positive for AE1/AE3. ,DRP2010-140486.005,NotMatch,NotMatch
PMC2926582,Figure 6,A few sebocytes are seen at the periphery of the tumor nests. ,DRP2010-140486.006,NotMatch,NotMatch
PMC2926582,Figure 7,Sebocytes seen at the periphery of the tumor nests are positive with adipophilin. ,DRP2010-140486.007,NotMatch,NotMatch
PMC4171935,Figure 1,(a) Swelling of the lid with madarosis and prominent vessels (b) Image of the everted lid showing swelling with mild vascularization along the lid margin,IJD-59-521-g001,NotMatch,NotMatch
PMC4171935,Figure 2,"Basaloid cells exhibiting cytoplasmic vacuolation (H and E, ×40) (a) (Inset)-sections showing proliferative activity of <10% more concentrated on the periphery of the image (immunohistochemistry, DiAminoBenzidine stain, ×40) (b) tumor proper comprising predominantly basaloid cells with a focus on mature sebaceous differentiation (H and E, ×10)",IJD-59-521-g002,NotMatch,Match
PMC3161692,Figure 1,Original leasion.,cmo-2-2008-389f1,NotMatch,NotMatch
PMC3161692,Figure 2,"(A, B). A) Low power, B) High power Slide showed masses of basaloid cells. Some of the masses are attached to the undersurface of the epithelium. These masses show sebaceous differentiation. The lobules of sebaceous glands show Irregular growth pattern. Germinative epitheloid cells predominate and haphazardly arranged. There are multiple keratinous microcysts and few mitotic figures.",cmo-2-2008-389f2,NotMatch,NotMatch
PMC3161692,Figure 3,Recurrence of lesion after Moh’s surgery.,cmo-2-2008-389f3,NotMatch,NotMatch
PMC3161692,Figure 4,"(A, B). A) Low power, B) High power The biopsy specimen showed marked proliferation of irregular sebaceous lobules of different sizes and shapes in the dermis. The cells of the lobules are mostly undifferentiated and demonstrated marked cylologic atypia with considerable nuclear pleomorphism and few mitotic activities. Some of the sebaceous lobules showed areas composed of atypical keratinizing cells. The overlying epidermis is normal with marked dermal fibrosis. Immunoperoxidase staining showed positive reaction for cytokeratin (CK), focal positive for epithelial membrane antigen (EMA) and negative reaction for carcino-embryonic antigen (CEA).",cmo-2-2008-389f4,NotMatch,NotMatch
PMC3161692,Figure 5,"MRI study showed a 3.25 × 2.25 × 4.5 cm mass extending to the Masseter muscle and petrous bone medially, the cartilaginous part of the external auditory meatus posteriorly and the upper border of the right parotid gland inferiorly.",cmo-2-2008-389f5,NotMatch,NotMatch
PMC3161692,Figure 6,"(A, B). A) Large defect created after wide local excision, B) reconstructed by a cervico-fascial flap extending down to the supra-clavicular area.",cmo-2-2008-389f6,NotMatch,NotMatch
