pmcid,figure_name,width,height
PMC3887160,kjpathol-47-569-g005.jpg,793,194
PMC3887160,kjpathol-47-569-g003.jpg,794,572
PMC3887160,kjpathol-47-569-g004.jpg,756,529
PMC3887160,kjpathol-47-569-g001.jpg,756,529
PMC3887160,kjpathol-47-569-g002.jpg,794,572
PMC4171935,IJD-59-521-g001.jpg,556,397
PMC4171935,IJD-59-521-g002.jpg,540,403
PMC2926582,DRP2010-140486.004.jpg,444,354
PMC2926582,DRP2010-140486.002.jpg,459,339
PMC2926582,DRP2010-140486.003.jpg,453,321
PMC2926582,DRP2010-140486.005.jpg,441,331
PMC2926582,DRP2010-140486.001.jpg,447,333
PMC2926582,DRP2010-140486.007.jpg,447,340
PMC2926582,DRP2010-140486.006.jpg,453,339
PMC3161692,cmo-2-2008-389f6.jpg,422,527
PMC3161692,cmo-2-2008-389f4.jpg,420,564
PMC3161692,cmo-2-2008-389f5.jpg,420,420
PMC3161692,cmo-2-2008-389f2.jpg,420,678
PMC3161692,cmo-2-2008-389f1.jpg,421,319
PMC3161692,cmo-2-2008-389f3.jpg,420,318
PMC4894790,ajd-37-0885-g002.jpg,1200,668
PMC4894790,ajd-37-0885-g003.jpg,706,288
PMC4894790,ajd-37-0885-g005.jpg,705,286
PMC4894790,ajd-37-0885-g001.jpg,705,286
PMC4894790,ajd-37-0885-g004.jpg,1200,440
PMC4488995,NAJMS-7-275-g002.jpg,574,895
PMC4488995,NAJMS-7-275-g001.jpg,841,1355
PMC4868937,cde-0008-0075-g02.jpg,554,591
PMC4868937,cde-0008-0075-g01.jpg,622,167
PMC4809399,gr2.jpg,722,671
PMC4809399,gr3.jpg,747,354
PMC4809399,gr1.jpg,722,533
PMC4943302,cde-0008-0107-g01.jpg,576,256
PMC4943302,cde-0008-0107-g02.jpg,754,197
PMC4943302,cde-0008-0107-g03.jpg,754,402
PMC5795733,JCytol-35-60-g002.jpg,720,586
PMC5795733,JCytol-35-60-g001.jpg,730,586
PMC6625139,MGG3-7-e00781-g002.jpg,709,264
PMC6625139,MGG3-7-e00781-g001.jpg,709,694
PMC5556879,acfs-17-93-g004.jpg,706,543
PMC5556879,acfs-17-93-g001.jpg,686,901
PMC5556879,acfs-17-93-g003.jpg,706,544
PMC5556879,acfs-17-93-g005.jpg,704,557
PMC5556879,acfs-17-93-g002.jpg,724,890
PMC7822779,gr2.jpg,759,570
PMC7822779,gr4.jpg,711,424
PMC7822779,gr3.jpg,759,570
PMC7822779,gr1.jpg,602,467
PMC6857578,gr2.jpg,603,500
PMC6857578,gr4.jpg,603,452
PMC6857578,gr3.jpg,603,278
PMC6857578,gr5.jpg,603,452
PMC6857578,gr1.jpg,603,458
PMC7553803,mrms-19-282-g1.jpg,692,344
PMC7553803,mrms-19-282-g2.jpg,692,346
PMC8107457,acfs-2021-00059f1.jpg,568,527
PMC8107457,acfs-2021-00059f2.jpg,758,560
PMC8215995,cde-0013-0271-g05.jpg,788,524
PMC8215995,cde-0013-0271-g02.jpg,704,470
PMC8215995,cde-0013-0271-g04.jpg,787,524
PMC8215995,cde-0013-0271-g01.jpg,787,983
PMC8215995,cde-0013-0271-g06.jpg,788,524
PMC8215995,cde-0013-0271-g03.jpg,788,525
PMC7992712,ad-31-14-g002.jpg,733,556
PMC7992712,ad-31-14-i002.jpg,790,317
PMC7992712,ad-31-14-i001.jpg,751,1600
PMC7992712,ad-31-14-i004.jpg,752,752
PMC7992712,ad-31-14-g001.jpg,733,261
PMC7992712,ad-31-14-i003.jpg,749,643
PMC8379813,13053_2021_192_Fig1_HTML.jpg,706,993
PMC8379813,13053_2021_192_Fig2_HTML.jpg,709,1068
PMC8293182,dermatopathology-08-00031-g002.jpg,795,319
PMC8293182,dermatopathology-08-00031-g003.jpg,714,289
PMC8293182,dermatopathology-08-00031-g001.jpg,765,324
PMC8293182,dermatopathology-08-00031-g004.jpg,763,307
PMC8564211,ACP2021-7866471.002.jpg,730,308
PMC8564211,ACP2021-7866471.001.jpg,686,175
PMC8564211,ACP2021-7866471.003.jpg,730,623
PMC8564211,ACP2021-7866471.004.jpg,730,1261
PMC9455101,IJD-67-209b-g003.jpg,539,404
PMC9455101,IJD-67-209b-g006.jpg,781,586
PMC9455101,IJD-67-209b-g002.jpg,539,318
PMC9455101,IJD-67-209b-g004.jpg,556,586
PMC9455101,IJD-67-209b-g001.jpg,438,587
PMC9455101,IJD-67-209b-g005.jpg,706,586
PMC9455101,IJD-67-209b-g007.jpg,702,586
PMC9081419,acfs-2022-00101f8.jpg,757,497
PMC9081419,acfs-2022-00101f1.jpg,759,500
PMC9081419,acfs-2022-00101f7.jpg,759,498
PMC9081419,acfs-2022-00101f5.jpg,758,497
PMC9081419,acfs-2022-00101f4.jpg,759,497
PMC9081419,acfs-2022-00101f3.jpg,763,500
PMC9081419,acfs-2022-00101f2.jpg,761,497
PMC9081419,acfs-2022-00101f6.jpg,761,495
PMC8580110,cureus-0013-00000018632-i02.jpg,750,1000
PMC8580110,cureus-0013-00000018632-i03.jpg,750,670
PMC8580110,cureus-0013-00000018632-i04.jpg,750,694
PMC8580110,cureus-0013-00000018632-i01.jpg,750,1000
PMC9907611,SRT-28-886-g002.jpg,600,185
PMC9907611,SRT-28-886-g001.jpg,600,452
PMC9907611,SRT-28-886-g003.jpg,560,185
PMC10217338,diagnostics-13-01676-g001.jpg,759,423
PMC10217338,diagnostics-13-01676-g003.jpg,776,588
PMC10217338,diagnostics-13-01676-g004.jpg,785,593
PMC10217338,diagnostics-13-01676-g002.jpg,757,512
PMC10510334,acc-10-03-10255-g003.jpg,626,503
PMC10510334,acc-10-03-10255-g002.jpg,652,646
PMC10510334,acc-10-03-10255-g001.jpg,696,521
PMC10405381,13000_2023_1378_Fig3_HTML.jpg,744,268
PMC10405381,13000_2023_1378_Fig6_HTML.jpg,669,244
PMC10405381,13000_2023_1378_Figa_HTML.jpg,744,581
PMC10405381,13000_2023_1378_Fig9_HTML.jpg,669,377
PMC10405381,13000_2023_1378_Fig7_HTML.jpg,669,246
PMC10405381,13000_2023_1378_Fig1_HTML.jpg,744,270
PMC10405381,13000_2023_1378_Fig5_HTML.jpg,669,244
