pmid,pmcid,title,journal,insert_time,label,caption,graphic
20811481,PMC2926582,Dermoscopy of rippled pattern sebaceoma.,Dermatol Res Pract,2023-12-17-22-15-43,Figure 1,A dome-shaped faintly pinkish nodule. The surface of the tumor was covered with yellow papules. ,DRP2010-140486.001
20811481,PMC2926582,Dermoscopy of rippled pattern sebaceoma.,Dermatol Res Pract,2023-12-17-22-15-43,Figure 2,Yellowish homogeneous ovoid areas and arborizing vessels at the periphery of the nodule. ,DRP2010-140486.002
20811481,PMC2926582,Dermoscopy of rippled pattern sebaceoma.,Dermatol Res Pract,2023-12-17-22-15-43,Figure 3,"A well-circumscribed, smooth-bordered, and deeply basophilic tumor in the dermis. ",DRP2010-140486.003
20811481,PMC2926582,Dermoscopy of rippled pattern sebaceoma.,Dermatol Res Pract,2023-12-17-22-15-43,Figure 4,The tumor is composed of basaloid cells with deeply basophilic oval nuclei showing a typical rippled pattern. ,DRP2010-140486.004
20811481,PMC2926582,Dermoscopy of rippled pattern sebaceoma.,Dermatol Res Pract,2023-12-17-22-15-43,Figure 5,The cells simulating Verocay bodies are positive for AE1/AE3. ,DRP2010-140486.005
20811481,PMC2926582,Dermoscopy of rippled pattern sebaceoma.,Dermatol Res Pract,2023-12-17-22-15-43,Figure 6,A few sebocytes are seen at the periphery of the tumor nests. ,DRP2010-140486.006
20811481,PMC2926582,Dermoscopy of rippled pattern sebaceoma.,Dermatol Res Pract,2023-12-17-22-15-43,Figure 7,Sebocytes seen at the periphery of the tumor nests are positive with adipophilin. ,DRP2010-140486.007
21892304,PMC3161692,Unusual malignant transformation of recurrent sebaceoma. A case report.,Clin Med Oncol,2023-12-17-22-15-43,Figure 1,Original leasion.,cmo-2-2008-389f1
21892304,PMC3161692,Unusual malignant transformation of recurrent sebaceoma. A case report.,Clin Med Oncol,2023-12-17-22-15-43,Figure 2,"(A, B). A) Low power, B) High power Slide showed masses of basaloid cells. Some of the masses are attached to the undersurface of the epithelium. These masses show sebaceous differentiation. The lobules of sebaceous glands show Irregular growth pattern. Germinative epitheloid cells predominate and haphazardly arranged. There are multiple keratinous microcysts and few mitotic figures.",cmo-2-2008-389f2
21892304,PMC3161692,Unusual malignant transformation of recurrent sebaceoma. A case report.,Clin Med Oncol,2023-12-17-22-15-43,Figure 3,Recurrence of lesion after Moh’s surgery.,cmo-2-2008-389f3
21892304,PMC3161692,Unusual malignant transformation of recurrent sebaceoma. A case report.,Clin Med Oncol,2023-12-17-22-15-43,Figure 4,"(A, B). A) Low power, B) High power The biopsy specimen showed marked proliferation of irregular sebaceous lobules of different sizes and shapes in the dermis. The cells of the lobules are mostly undifferentiated and demonstrated marked cylologic atypia with considerable nuclear pleomorphism and few mitotic activities. Some of the sebaceous lobules showed areas composed of atypical keratinizing cells. The overlying epidermis is normal with marked dermal fibrosis. Immunoperoxidase staining showed positive reaction for cytokeratin (CK), focal positive for epithelial membrane antigen (EMA) and negative reaction for carcino-embryonic antigen (CEA).",cmo-2-2008-389f4
21892304,PMC3161692,Unusual malignant transformation of recurrent sebaceoma. A case report.,Clin Med Oncol,2023-12-17-22-15-43,Figure 5,"MRI study showed a 3.25 × 2.25 × 4.5 cm mass extending to the Masseter muscle and petrous bone medially, the cartilaginous part of the external auditory meatus posteriorly and the upper border of the right parotid gland inferiorly.",cmo-2-2008-389f5
21892304,PMC3161692,Unusual malignant transformation of recurrent sebaceoma. A case report.,Clin Med Oncol,2023-12-17-22-15-43,Figure 6,"(A, B). A) Large defect created after wide local excision, B) reconstructed by a cervico-fascial flap extending down to the supra-clavicular area.",cmo-2-2008-389f6
24421851,PMC3887160,Development of six tumors in a sebaceus nevus of jadassohn: report of a case.,Korean J Pathol,2023-12-17-22-15-43,Fig. 1,Syringocystadenoma papilliferum in the superficial part of the lesion. Tubular apocrine adenoma and cystic dilate glands in the deeper part.,kjpathol-47-569-g001
24421851,PMC3887160,Development of six tumors in a sebaceus nevus of jadassohn: report of a case.,Korean J Pathol,2023-12-17-22-15-43,Fig. 2,Syringocystadenoma papilliferum in the superficial part of the lesion. (A) Pigmented trichoblastoma and cystic dilate glands in the deeper part. (B) Pigmented trichoblastoma in the deeper part. (C) Typical features of syringocystadenoma papilliferum. (D) Pigmented trichoblastoma; lobules of basaloid aggregates with peripheral palisading.,kjpathol-47-569-g002
24421851,PMC3887160,Development of six tumors in a sebaceus nevus of jadassohn: report of a case.,Korean J Pathol,2023-12-17-22-15-43,Fig. 3,Tumor of follicular infundibulum. Aggregates of small keratinocytes show multiple connections to the epidermis and form a superficial dermal plaque.,kjpathol-47-569-g003
24421851,PMC3887160,Development of six tumors in a sebaceus nevus of jadassohn: report of a case.,Korean J Pathol,2023-12-17-22-15-43,Fig. 4,"Syringocystadenoma papilliferum in the superficial part, pigmented trichoblastoma and sebaceoma in the deeper part.",kjpathol-47-569-g004
24421851,PMC3887160,Development of six tumors in a sebaceus nevus of jadassohn: report of a case.,Korean J Pathol,2023-12-17-22-15-43,Fig. 5,(A) Superficial epithelioma with sebaceus differentiation above the trichoblastoma. (B) Superficial epithelioma with sebaceous differentiation. (C) Sebaceous differentiation in the superficial epithelioma.,kjpathol-47-569-g005
25284872,PMC4171935,Sebaceoma of the conjunctiva presenting as a chalazion.,Indian J Dermatol,2023-12-17-22-15-43,Figure 1,(a) Swelling of the lid with madarosis and prominent vessels (b) Image of the everted lid showing swelling with mild vascularization along the lid margin,IJD-59-521-g001
25284872,PMC4171935,Sebaceoma of the conjunctiva presenting as a chalazion.,Indian J Dermatol,2023-12-17-22-15-43,Figure 2,"Basaloid cells exhibiting cytoplasmic vacuolation (H and E, ×40) (a) (Inset)-sections showing proliferative activity of <10% more concentrated on the periphery of the image (immunohistochemistry, DiAminoBenzidine stain, ×40) (b) tumor proper comprising predominantly basaloid cells with a focus on mature sebaceous differentiation (H and E, ×10)",IJD-59-521-g002
