pmcid,figure_name,width,height
PMC3875983,abd-88-06-s1-0019-g02.jpg,600,419
PMC3875983,abd-88-06-s1-0019-g03.jpg,600,420
PMC3875983,abd-88-06-s1-0019-g04.jpg,600,420
PMC3875983,abd-88-06-s1-0019-g01.jpg,600,423
PMC4772623,cro-0009-0095-g03.jpg,520,391
PMC4772623,cro-0009-0095-g01.jpg,520,391
PMC4772623,cro-0009-0095-g02.jpg,520,371
PMC6360825,autopsy-08-04e2018060-g02.jpg,720,361
PMC6360825,autopsy-08-04e2018060-g01.jpg,786,629
PMC6360825,autopsy-08-04e2018060-g03.jpg,667,668
PMC9371062,ds-48-797-g002.jpg,640,208
PMC9371062,ds-48-797-g001.jpg,641,190
PMC9371062,ds-48-797-g003.jpg,644,191
PMC6920317,gr6.jpg,731,332
PMC6920317,gr2.jpg,731,426
PMC6920317,gr4.jpg,731,339
PMC6920317,gr3.jpg,731,304
PMC6920317,gr5.jpg,794,1447
PMC6920317,gr1.jpg,603,282
PMC5556710,acfs-15-32-g005.jpg,717,648
PMC5556710,acfs-15-32-g008.jpg,744,868
PMC5556710,acfs-15-32-g007.jpg,717,649
PMC5556710,acfs-15-32-g003.jpg,717,538
PMC5556710,acfs-15-32-g002.jpg,717,696
PMC5556710,acfs-15-32-g004.jpg,732,928
PMC5556710,acfs-15-32-g006.jpg,717,648
PMC5556710,acfs-15-32-g001.jpg,717,538
PMC9651249,NJMS-13-176-g003.jpg,539,406
PMC9651249,NJMS-13-176-g002.jpg,358,587
PMC9651249,NJMS-13-176-g001.jpg,591,586
