pmcid,label,caption,graphic
PMC3621651,Figure 1,"Clinical findings at presentation and 2 weeks later. Clinical findings at presentation (A) and 2 weeks later (B). (A) At presentation, a yellowish-pink, warty mass in the right lower eyelid, close to the margin, measuring 18 × 13 × 14 mm was observed. The lesion surface had fine papillary projections with vascularity, crusting, and ulceration. (B) Two weeks later, the mass had enlarged to 20 × 14 × 14 mm.Note: Vascularity and ulceration also expanded.",opth-7-667f1
PMC3621651,Figure 2,"Hematoxylin and eosin staining and Ki-67 immunohistochemical staining of the excised mass. (A) Hematoxylin and eosin staining and (B) Ki-67 immunohistochemical staining of the excised mass. Original magnification ×100. (A) The lobules communicate with the epidermal surface via several openings. Each lobule is composed of a peripheral, mitotically active, basaloid germinative layer, exhibiting no cytologic atypia and maturing to vacuolated sebocytes in the center. Transitional forms are seen. (B) Ki-67 nuclear antigen is positive in 10%–15% of the sebaceous nodular cells located in the basal zone of nodule.",opth-7-667f2
PMC4019922,Figure 1.,Myoepithelioma presenting as a palatal swelling.,cp-2014-1-628-g001
PMC4019922,Figure 2.,"Tumor showing clear cells, eosinophilic cells and hyalinized septae (H&E staining, 100X).",cp-2014-1-628-g002
PMC4019922,Figure 3.,"Tumor cells (H&E staining, 400X).",cp-2014-1-628-g003
PMC4019922,Figure 4.,"Tumor cells (H&E staining, 1000X).",cp-2014-1-628-g004
PMC4019922,Figure 5.,"Tumor mass with the capsule (H&E staining, 400X).",cp-2014-1-628-g005
PMC4019922,Figure 6.,Immunohistochemical stain pan cytokeratin (400X).,cp-2014-1-628-g006
PMC4019922,Figure 7.,Immunohistochemical stain S100 (400X).,cp-2014-1-628-g007
PMC4019922,Figure 8.,Immunohistochemical stain smooth muscle actin (400X).,cp-2014-1-628-g008
PMC3759639,Fig. 1,"Overall findings of the left ovary demonstrate a unilocular cyst filled with keratin-like material. A luminally-protruding (arrow head) and outer, expanding mass measuring 6.0 cm is noted. The cut surface of the mass is relatively grayish-white and firm in the luminal portion and was tan-colored and friable with hemorrhagic necrosis in the outer, expanding region.",kjpathol-47-383-g001
PMC3759639,Fig. 2,"Microscopically, the luminally-protruding portion exhibits a nodular arrangement of germinative cells with a pushing border that is abruptly connected to a stratified squamous epithelium of a mature cystic teratoma. Beneath the nodular portion, sheets or nests of infiltrating atypical cells are noted.",kjpathol-47-383-g002
PMC3759639,Fig. 3,"(A) Infiltrating cells arranged in trabeculae or nests that are focally contiguous to the inner, nodular portion with similar cytologic features. (B) Infiltrating cells show conspicuous vacuoles in the cytoplasm along with remarkable nuclear pleomorphism, prominent nucleoli, and frequent abnormal mitoses.",kjpathol-47-383-g003
PMC3759639,Fig. 4,"Cytoplasm of tumor cells reveals immunohistochemically-positive reaction for cytokeratin 7 (A), epithelial membrane antigen (B), carcinoembryonic antigen (C), and nuclear positive reaction for p63 (D).",kjpathol-47-383-g004
PMC4540540,FIGURE 1,Sebaceous adenomas on the face of patient with Muir-Torre Syndrome,abd-90-03-s1-0168-g01
PMC4540540,FIGURE 2,Detail of papular lesions on the face,abd-90-03-s1-0168-g02
PMC4540540,FIGURE 3,Anatomopathological examination: sebaceous adenoma,abd-90-03-s1-0168-g03
PMC4540540,FIGURE 4,"Immunohistochemical examination: sebaceous adenoma revealing nuclear negativity
for repair enzyme MSH2",abd-90-03-s1-0168-g04
PMC4540540,FIGURE 5,"Immunohistochemical examination: sebaceous adenoma in a positive control patient
showing preserved nuclear reactivity for repair enzyme MLH1",abd-90-03-s1-0168-g05
PMC4205983,Figure 1,,jrip-1-33-g001
PMC4205983,Figure 2,,jrip-1-33-g002
PMC4205983,Figure 3,,jrip-1-33-g003
PMC4205983,Figure 4,,jrip-1-33-g004
PMC4898341,Fig. 1.,"Sebaceous carcinoma. (A) The tumour shows a lobular pattern, with predominantly peripheral basaloid cells. Centrally sebocytes are also seen (×40). (B) High-power view demonstrating basaloid cells with numerous mitoses (arrows) (×600).",sft06801
PMC4898341,Fig. 2.,Pedigree. We were unable to ascertain cases in her grandparents.,sft06802
PMC4894790,FIGURE 1,"GATA3 expression in normal skin. Epidermis (×200): positive staining for GATA3 is present in the basal and spinous layers of the epidermis but is absent in the granular cell layer. Pilosebaceous unit (×100): positive staining for GATA3 is seen in both the outer root sheath of the hair follicle and in the sebaceous glands. Hair bulb and root sheath (×100): strong positive staining for GATA3 is present in some layers of the inner root sheath, with less intense staining also present in the outer root sheath, whereas the matrix cells of the hair bulb are negative for GATA3. Sweat glands (×200): apocrine glands (left) exhibit positive staining for GATA3, whereas eccrine glands (right) are negative for GATA3.",ajd-37-0885-g001
PMC4894790,FIGURE 2,"GATA3 expression in benign cutaneous epithelial neoplasms. Positive staining for GATA3 is demonstrated in these examples of trichofolliculoma (×200), sebaceous adenoma (×200), and hidradenoma papilliferum (×200), whereas the spiradenoma (×200) is negative for GATA3.",ajd-37-0885-g003
PMC4894790,FIGURE 3,"GATA3 expression in malignant cutaneous epithelial neoplasms. Positive staining for GATA3 is demonstrated in these examples of basal cell carcinoma (×200), apocrine carcinoma (×200), and mucinous carcinoma (×200), whereas the adenoid cystic carcinoma (×200) is negative for GATA3.",ajd-37-0885-g005
PMC4965540,Fig. 1,"Lrig1, CD44v3 and Ki67 staining in human sebaceous tumors. Serial slides of SH (a-d), SA (e-h), Se (i-l) and SC (m-p); Lrig1 is in green (immunostaining), CD44v3 in red (immunostaining), Ki67 in black (immunostaining) and DAPI in blue (indicates DNA). Bar = 200 µm.",dpa-0003-0044-g01
PMC5429559,Fig. 1,MLH1 protein expression in squamous cell carcinoma by IHC,13053_2017_66_Fig1_HTML
PMC5429559,Fig. 2,Partial loss of MSH2 protein expression in squamous cell carcinoma by IHC,13053_2017_66_Fig2_HTML
PMC5429559,Fig. 3,Partial loss of MSH6 protein expression in squamous cell carcinoma by IHC,13053_2017_66_Fig3_HTML
PMC5429559,Fig. 4,PMS2 protein expression in squamous cell carcinoma by IHC,13053_2017_66_Fig4_HTML
PMC6299912,Fig. 1.,US of the right kidney shows several hyperechoic nodular lesions (arrows) suspicious for angiomyolipomas.,10.1177_2058460118806328-fig1
