pmcid,figure_name,width,height
PMC3621651,opth-7-667f1.jpg,669,271
PMC3621651,opth-7-667f2.jpg,676,416
PMC4019922,cp-2014-1-628-g008.jpg,500,362
PMC4019922,cp-2014-1-628-g006.jpg,500,337
PMC4019922,cp-2014-1-628-g002.jpg,500,324
PMC4019922,cp-2014-1-628-g003.jpg,500,354
PMC4019922,cp-2014-1-628-g007.jpg,500,309
PMC4019922,cp-2014-1-628-g005.jpg,500,354
PMC4019922,cp-2014-1-628-g004.jpg,500,310
PMC4019922,cp-2014-1-628-g001.jpg,500,343
PMC4540540,abd-90-03-s1-0168-g01.jpg,600,462
PMC4540540,abd-90-03-s1-0168-g02.jpg,600,362
PMC4540540,abd-90-03-s1-0168-g03.jpg,600,450
PMC4540540,abd-90-03-s1-0168-g04.jpg,771,577
PMC4540540,abd-90-03-s1-0168-g05.jpg,771,577
PMC3759639,kjpathol-47-383-g001.jpg,756,530
PMC3759639,kjpathol-47-383-g003.jpg,793,283
PMC3759639,kjpathol-47-383-g004.jpg,793,571
PMC3759639,kjpathol-47-383-g002.jpg,755,529
PMC4205983,jrip-1-33-g001.jpg,348,354
PMC4205983,jrip-1-33-g003.jpg,665,473
PMC4205983,jrip-1-33-g004.jpg,800,600
PMC4205983,jrip-1-33-g002.jpg,584,600
PMC4894790,ajd-37-0885-g002.jpg,1200,668
PMC4894790,ajd-37-0885-g003.jpg,706,288
PMC4894790,ajd-37-0885-g005.jpg,705,286
PMC4894790,ajd-37-0885-g001.jpg,705,286
PMC4894790,ajd-37-0885-g004.jpg,1200,440
PMC4898341,sft06801.jpg,609,899
PMC4898341,sft06802.jpg,720,498
PMC5429559,13053_2017_66_Fig3_HTML.jpg,358,275
PMC5429559,13053_2017_66_Fig1_HTML.jpg,358,275
PMC5429559,13053_2017_66_Fig2_HTML.jpg,358,275
PMC5429559,13053_2017_66_Fig4_HTML.jpg,358,275
PMC4965540,dpa-0003-0044-g01.jpg,709,824
PMC6299912,10.1177_2058460118806328-fig1.jpg,688,566
PMC6299912,10.1177_2058460118806328-fig3.jpg,688,735
PMC6299912,10.1177_2058460118806328-fig2.jpg,760,274
PMC6625139,MGG3-7-e00781-g002.jpg,709,264
PMC6625139,MGG3-7-e00781-g001.jpg,709,694
PMC5932521,CRID2018-1370184.004.jpg,780,229
PMC5932521,CRID2018-1370184.001.jpg,782,283
PMC5932521,CRID2018-1370184.002.jpg,790,227
PMC5932521,CRID2018-1370184.005.jpg,785,207
PMC5932521,CRID2018-1370184.003.jpg,784,256
PMC5839087,raon-52-098-g009.jpg,591,788
PMC5839087,raon-52-098-g004.jpg,591,443
PMC5839087,raon-52-098-g005.jpg,591,738
PMC5839087,raon-52-098-g007.jpg,591,634
PMC5839087,raon-52-098-g002.jpg,591,443
PMC5839087,raon-52-098-g006.jpg,591,443
PMC5839087,raon-52-098-g008.jpg,591,444
PMC5839087,raon-52-098-g001.jpg,591,442
PMC5839087,raon-52-098-g010.jpg,591,787
PMC5839087,raon-52-098-g003.jpg,591,442
PMC6726862,gr2.jpg,602,524
PMC6726862,gr3.jpg,602,428
PMC6726862,gr1.jpg,602,556
PMC6822986,12325_2019_1007_Fig1_HTML.jpg,797,1174
