pmid,pmcid,title,journal,insert_time,label,caption,graphic
23579539,PMC3621651,A case of sebaceous adenoma of the eyelid showing excessively rapid growth.,Clin Ophthalmol,2023-12-17-22-15-44,Figure 1,"Clinical findings at presentation and 2 weeks later. Clinical findings at presentation (A) and 2 weeks later (B). (A) At presentation, a yellowish-pink, warty mass in the right lower eyelid, close to the margin, measuring 18 × 13 × 14 mm was observed. The lesion surface had fine papillary projections with vascularity, crusting, and ulceration. (B) Two weeks later, the mass had enlarged to 20 × 14 × 14 mm.Note: Vascularity and ulceration also expanded.",opth-7-667f1
23579539,PMC3621651,A case of sebaceous adenoma of the eyelid showing excessively rapid growth.,Clin Ophthalmol,2023-12-17-22-15-44,Figure 2,"Hematoxylin and eosin staining and Ki-67 immunohistochemical staining of the excised mass. (A) Hematoxylin and eosin staining and (B) Ki-67 immunohistochemical staining of the excised mass. Original magnification ×100. (A) The lobules communicate with the epidermal surface via several openings. Each lobule is composed of a peripheral, mitotically active, basaloid germinative layer, exhibiting no cytologic atypia and maturing to vacuolated sebocytes in the center. Transitional forms are seen. (B) Ki-67 nuclear antigen is positive in 10%–15% of the sebaceous nodular cells located in the basal zone of nodule.",opth-7-667f2
24009635,PMC3759639,Sebaceous carcinoma arising in mature cystic teratoma of ovary.,Korean J Pathol,2023-12-17-22-15-44,Fig. 1,"Overall findings of the left ovary demonstrate a unilocular cyst filled with keratin-like material. A luminally-protruding (arrow head) and outer, expanding mass measuring 6.0 cm is noted. The cut surface of the mass is relatively grayish-white and firm in the luminal portion and was tan-colored and friable with hemorrhagic necrosis in the outer, expanding region.",kjpathol-47-383-g001
24009635,PMC3759639,Sebaceous carcinoma arising in mature cystic teratoma of ovary.,Korean J Pathol,2023-12-17-22-15-44,Fig. 2,"Microscopically, the luminally-protruding portion exhibits a nodular arrangement of germinative cells with a pushing border that is abruptly connected to a stratified squamous epithelium of a mature cystic teratoma. Beneath the nodular portion, sheets or nests of infiltrating atypical cells are noted.",kjpathol-47-383-g002
24009635,PMC3759639,Sebaceous carcinoma arising in mature cystic teratoma of ovary.,Korean J Pathol,2023-12-17-22-15-44,Fig. 3,"(A) Infiltrating cells arranged in trabeculae or nests that are focally contiguous to the inner, nodular portion with similar cytologic features. (B) Infiltrating cells show conspicuous vacuoles in the cytoplasm along with remarkable nuclear pleomorphism, prominent nucleoli, and frequent abnormal mitoses.",kjpathol-47-383-g003
24009635,PMC3759639,Sebaceous carcinoma arising in mature cystic teratoma of ovary.,Korean J Pathol,2023-12-17-22-15-44,Fig. 4,"Cytoplasm of tumor cells reveals immunohistochemically-positive reaction for cytokeratin 7 (A), epithelial membrane antigen (B), carcinoembryonic antigen (C), and nuclear positive reaction for p63 (D).",kjpathol-47-383-g004
24847433,PMC4019922,Clear cell myoepithelioma of palate with emphasis on clinical and histological differential diagnosis.,Clin Pract,2023-12-17-22-15-44,Figure 1.,Myoepithelioma presenting as a palatal swelling.,cp-2014-1-628-g001
24847433,PMC4019922,Clear cell myoepithelioma of palate with emphasis on clinical and histological differential diagnosis.,Clin Pract,2023-12-17-22-15-44,Figure 2.,"Tumor showing clear cells, eosinophilic cells and hyalinized septae (H&E staining, 100X).",cp-2014-1-628-g002
24847433,PMC4019922,Clear cell myoepithelioma of palate with emphasis on clinical and histological differential diagnosis.,Clin Pract,2023-12-17-22-15-44,Figure 3.,"Tumor cells (H&E staining, 400X).",cp-2014-1-628-g003
24847433,PMC4019922,Clear cell myoepithelioma of palate with emphasis on clinical and histological differential diagnosis.,Clin Pract,2023-12-17-22-15-44,Figure 4.,"Tumor cells (H&E staining, 1000X).",cp-2014-1-628-g004
