pmid,pmcid,title,journal,insert_time
22346273,PMC3276792,Sebaceous hyperplasia of the scrotum and penile shaft.,Ann Dermatol,2023-12-17-22-15-45
23717028,PMC3662930,Sebaceous hyperplasia effectively improved by the pin-hole technique with squeezing.,Ann Dermatol,2023-12-17-22-15-45
23738097,PMC3658601,"Neoplastic and nonneoplastic cutaneous tumors of dogs in grenada, west indies.",ISRN Vet Sci,2023-12-17-22-15-45
24520522,PMC3919849,Linear sebaceous hyperplasia on the chest.,Dermatol Pract Concept,2023-12-17-22-15-45
24578916,PMC3921764,Normal variants in patients consulted in the Dermatology Clinic for lesions of the male external genitalia.,Cent European J Urol,2023-12-17-22-15-45
24778841,PMC3945259,The treatment of giant rhinophyma - Case Report.,Curr Health Sci J,2023-12-17-22-15-45
25830991,PMC4371670,Sebaceous hyperplasia: systemic treatment with isotretinoin.,An Bras Dermatol,2023-12-17-22-15-45
25964088,PMC5029778,Pathological characterization of pachydermia in pachydermoperiostosis.,J Dermatol,2023-12-17-22-15-45
26903746,PMC4738484,Sebaceous Hyperplasia Mimicking Linear Wart over Ear.,Int J Trichology,2023-12-17-22-15-45
26955332,PMC4777908,Hair Follicle Nevus with Sebaceous Hyperplasia: A Dermoscopic Observation.,Case Rep Dermatol,2023-12-17-22-15-45
27081287,PMC4828403,A Case of Cyclosporine-Induced Sebaceous Hyperplasia in a Renal Transplant Patient Successfully Treated with Isotretinoin.,Ann Dermatol,2023-12-17-22-15-45
27504445,PMC4965540,Lrig1 Expression in Human Sebaceous Gland Tumors.,Dermatopathology (Basel),2023-12-17-22-15-45
27990417,PMC5157115,Multiple Eruptive Sebaceous Hyperplasia Secondary to Cyclosporin in a Patient with Bone Marrow Transplantation.,Dermatopathology (Basel),2023-12-17-22-15-45
29200704,PMC5686997,Fibroepithelial Polyp with Sebaceous Hyperplasia: A Case Report.,Indian J Med Paediatr Oncol,2023-12-17-22-15-45
31166467,PMC6868561,"DERMATOSES IN THE EARLY NEONATAL PERIOD: THEIR ASSOCIATION WITH NEONATAL, OBSTETRIC AND DEMOGRAPHIC VARIABLES.",Rev Paul Pediatr,2023-12-17-22-15-45
31338755,PMC6704206,Atrophic Dermatofibroma: A Comprehensive Literature Review.,Dermatol Ther (Heidelb),2023-12-17-22-15-45
32283901,PMC7379409,"Are clinicians successful in diagnosing cutaneous adnexal tumors? a retrospective, clinicopathological study.",Turk J Med Sci,2023-12-17-22-15-45
33381706,PMC7754860,Systemic isotretinoin treatment in a renal transplant patient developing sebaceous hyperplasia due to cyclosporine.,North Clin Istanb,2023-12-17-22-15-45
34008877,PMC9291480,"Safety and Efficacy of Nano-Pulse Stimulation Treatment of Non-Genital, Cutaneous Warts (Verrucae).",Lasers Surg Med,2023-12-17-22-15-45
34287324,PMC8293182,GLUT1 Expression in Cutaneous Sebaceous Lesions Determined by Immunohistochemical Staining Patterns.,Dermatopathology (Basel),2023-12-17-22-15-45
34745849,PMC8564211,Expression and Significance of AQP3 in Cutaneous Lesions.,Anal Cell Pathol (Amst),2023-12-17-22-15-45
36386053,PMC9664338,Widespread sebaceous neoplasms in the setting of chronic immunosuppression with near-complete clearance on isotretinoin.,JAAD Case Rep,2023-12-17-22-15-45
36534521,PMC9681170,Challenges for New Adopters in Pre-Surgical Margin Assessment by Handheld Reflectance Confocal Microscope of Basal Cell Carcinoma; A Prospective Single-center Study.,Dermatol Pract Concept,2023-12-17-22-15-45
36545498,PMC9762267,Atypical Nevus Sebaceus at an Unusual Location Treated with Carbon Dioxide Laser: A Case Report.,Clin Cosmet Investig Dermatol,2023-12-17-22-15-45
37172615,PMC10594010,What the skin of 341 premature newborns says - a transversal study.,J Pediatr (Rio J),2023-12-17-22-15-45
37238164,PMC10217338,Sebaceous Neoplasms.,Diagnostics (Basel),2023-12-17-22-15-45
37550731,PMC10405381,Machine learning for classification of cutaneous sebaceous neoplasms: implementing decision tree model using cytological and architectural features.,Diagn Pathol,2023-12-17-22-15-45
38099107,PMC10718248,Efficacy and Safety of Erbium-YAG Laser Ablation Therapy in Superficial Dermatoses: The Workhorse of Dermatology.,Indian J Dermatol,2023-12-17-22-15-45
