pmcid,figure_name,width,height
PMC3662930,ad-25-257-g001.jpg,734,485
PMC3276792,ad-23-S341-g001.jpg,467,370
PMC3276792,ad-23-S341-g002.jpg,467,352
PMC3919849,dp0401a16g001a.jpg,800,600
PMC3919849,dp0401a16g002a.jpg,800,600
PMC3919849,dp0401a16g001d.jpg,800,640
PMC3919849,dp0401a16g001c.jpg,800,600
PMC3919849,dp0401a16g002c.jpg,800,600
PMC3919849,dp0401a16g002b.jpg,666,500
PMC3919849,dp0401a16g001b.jpg,800,600
PMC3921764,CEJU-65-00148-g011.jpg,753,873
PMC3921764,CEJU-65-00148-g010.jpg,753,873
PMC3921764,CEJU-65-00148-g008.jpg,753,874
PMC3921764,CEJU-65-00148-g013.jpg,684,524
PMC3921764,CEJU-65-00148-g006.jpg,753,874
PMC3921764,CEJU-65-00148-g004.jpg,763,437
PMC3921764,CEJU-65-00148-g009.jpg,753,873
PMC3921764,CEJU-65-00148-g001.jpg,753,873
PMC3921764,CEJU-65-00148-g002.jpg,752,873
PMC3921764,CEJU-65-00148-g005.jpg,753,873
PMC3921764,CEJU-65-00148-g007.jpg,753,874
PMC3921764,CEJU-65-00148-g012.jpg,684,524
PMC3921764,CEJU-65-00148-g003.jpg,753,873
PMC3945259,CHSJ-38-1-041-fig1a.jpg,660,888
PMC3945259,CHSJ-38-1-041-fig3.jpg,770,750
PMC3945259,CHSJ-38-1-041-fig2.jpg,573,842
PMC3945259,CHSJ-38-1-041-fig7.jpg,644,480
PMC3945259,CHSJ-38-1-041-fig4.jpg,682,361
PMC3945259,CHSJ-38-1-041-fig6.jpg,644,480
PMC3945259,CHSJ-38-1-041-fig8a.jpg,633,899
PMC3945259,CHSJ-38-1-041-fig1b.jpg,467,598
PMC3945259,CHSJ-38-1-041-fig5.jpg,644,476
PMC3945259,CHSJ-38-1-041-fig8b.jpg,467,598
PMC4371670,abd-90-02-0211-g06.jpg,600,569
PMC4371670,abd-90-02-0211-g05.jpg,600,725
PMC4371670,abd-90-02-0211-g04.jpg,600,721
PMC4371670,abd-90-02-0211-g01.jpg,600,713
PMC4371670,abd-90-02-0211-g03.jpg,600,537
PMC4371670,abd-90-02-0211-g02.jpg,600,693
PMC4738484,IJT-7-170-g001.jpg,782,587
PMC4738484,IJT-7-170-g002.jpg,539,203
PMC4777908,cde-0007-0358-g03.jpg,565,211
PMC4777908,cde-0007-0358-g01.jpg,520,480
PMC4777908,cde-0007-0358-g02.jpg,520,408
PMC4965540,dpa-0003-0044-g01.jpg,709,824
PMC4828403,ad-28-271-i001.jpg,778,110
PMC4828403,ad-28-271-g001.jpg,733,332
PMC5157115,dpa-0003-0079-g02.jpg,739,200
PMC5157115,dpa-0003-0079-g01.jpg,744,542
PMC5686997,IJMPO-38-404-g001.jpg,539,430
PMC5686997,IJMPO-38-404-g002.jpg,796,587
PMC6868561,0103-0582-rpp-2019-37-3-00012-gf1.jpg,665,441
PMC5029778,JDE-42-710-g001.jpg,642,722
PMC7754860,NCI-7-628-g002.jpg,596,473
PMC7754860,NCI-7-628-g001.jpg,596,441
PMC7379409,turkjmedsci-50-832-fig001.jpg,764,764
PMC7379409,turkjmedsci-50-832-fig004.jpg,752,1153
PMC7379409,turkjmedsci-50-832-fig003.jpg,764,564
PMC7379409,turkjmedsci-50-832-fig005.jpg,800,1153
PMC7379409,turkjmedsci-50-832-fig002.jpg,764,764
PMC6704206,13555_2019_309_Fig4_HTML.jpg,708,257
PMC6704206,13555_2019_309_Fig3_HTML.jpg,708,481
PMC6704206,13555_2019_309_Fig5_HTML.jpg,770,426
PMC6704206,13555_2019_309_Fig1_HTML.jpg,708,261
PMC6704206,13555_2019_309_Fig6_HTML.jpg,770,427
PMC6704206,13555_2019_309_Fig2_HTML.jpg,708,465
PMC8293182,dermatopathology-08-00031-g002.jpg,795,319
PMC8293182,dermatopathology-08-00031-g003.jpg,714,289
PMC8293182,dermatopathology-08-00031-g001.jpg,765,324
PMC8293182,dermatopathology-08-00031-g004.jpg,763,307
PMC8564211,ACP2021-7866471.002.jpg,730,308
PMC8564211,ACP2021-7866471.001.jpg,686,175
PMC8564211,ACP2021-7866471.003.jpg,730,623
PMC8564211,ACP2021-7866471.004.jpg,730,1261
PMC9681170,dp1204a162g001.jpg,418,547
PMC9681170,dp1204a162g002.jpg,614,370
PMC9762267,CCID-15-2745-g0001.jpg,750,428
PMC9762267,CCID-15-2745-g0003.jpg,750,428
PMC9762267,CCID-15-2745-g0002.jpg,750,210
PMC9664338,gr2.jpg,764,1092
PMC9664338,gr3.jpg,714,534
PMC9664338,gr1.jpg,714,539
PMC10217338,diagnostics-13-01676-g001.jpg,759,423
PMC10217338,diagnostics-13-01676-g003.jpg,776,588
PMC10217338,diagnostics-13-01676-g004.jpg,785,593
PMC10217338,diagnostics-13-01676-g002.jpg,757,512
PMC10405381,13000_2023_1378_Fig3_HTML.jpg,744,268
PMC10405381,13000_2023_1378_Fig6_HTML.jpg,669,244
PMC10405381,13000_2023_1378_Figa_HTML.jpg,744,581
PMC10405381,13000_2023_1378_Fig9_HTML.jpg,669,377
PMC10405381,13000_2023_1378_Fig7_HTML.jpg,669,246
PMC10405381,13000_2023_1378_Fig1_HTML.jpg,744,270
PMC10405381,13000_2023_1378_Fig5_HTML.jpg,669,244
PMC9291480,LSM-53-1301-g005.jpg,502,213
PMC9291480,LSM-53-1301-g006.jpg,502,306
PMC9291480,LSM-53-1301-g002.jpg,502,155
PMC9291480,LSM-53-1301-g003.jpg,325,229
PMC9291480,LSM-53-1301-g001.jpg,325,408
PMC9291480,LSM-53-1301-g004.jpg,502,484
