pmid,pmcid,title,journal,insert_time,label,caption,graphic
22346273,PMC3276792,Sebaceous hyperplasia of the scrotum and penile shaft.,Ann Dermatol,2023-12-17-22-15-45,Fig. 1,"Numerous, 1~2 mm-sized yellowish papules scattered on the scrotum and proximal half of the penile shaft. Note the perifollicular distribution of the lesions.",ad-23-S341-g001
22346273,PMC3276792,Sebaceous hyperplasia of the scrotum and penile shaft.,Ann Dermatol,2023-12-17-22-15-45,Fig. 2,"Histology shows a lobulated lesion composed of enlarged sebaceous glands (>4 around each pilosebaceous unit) extending down into the dermis. The cells are predominantly mature sebocytes with a peripheral germinative layer. No cytological atypia were present (H&E, ×100).",ad-23-S341-g002
23717028,PMC3662930,Sebaceous hyperplasia effectively improved by the pin-hole technique with squeezing.,Ann Dermatol,2023-12-17-22-15-45,Fig. 1,(A) Multiple yellow or flesh-toned papules on both cheeks and lateral canthus. (B) Most lesions disappeared after 10 days of treatment.,ad-25-257-g001
23738097,PMC3658601,"Neoplastic and nonneoplastic cutaneous tumors of dogs in grenada, west indies.",ISRN Vet Sci,2023-12-17-22-15-45,,,
24520522,PMC3919849,Linear sebaceous hyperplasia on the chest.,Dermatol Pract Concept,2023-12-17-22-15-45,Figure 1.,"Case 1. (A) A group of papules on the chest with linear distribution pattern. (B) Dermoscopy of sebaceous gland hyperplasia. Note the aggregation of yellowish-white clods with linear vessels between or above the clods. (C) Dermoscopy of sebaceous gland hyperplasia followed by HDR image conversion. Note the multi-lobulated clods with central openings. (D) Hematoxylin and eosin staining of biopsied lesion of sebaceous gland hyperplasia: Note the multiple, mature sebaceous lobules attached to the central dilated duct in the upper dermis. Original magnification ×25. [Copyright: ©2014 Sato et al.]",dp0401a16g001a
24520522,PMC3919849,Linear sebaceous hyperplasia on the chest.,Dermatol Pract Concept,2023-12-17-22-15-45,Figure 2.,Case 2. (A) Multiple papules on the chest showing linear arrangement. (B) Dermoscopy of sebaceous gland hyperplasia. Note the aggregation of yellowish-white clods with vague linear vessels surrounding the clods. (C) Dermoscopy of sebaceous gland hyperplasia followed by HDR image conversion. Note the multi-lobulated clods with central openings and surrounding vessels. [Copyright: ©2014 Sato et al.],dp0401a16g002a
24578916,PMC3921764,Normal variants in patients consulted in the Dermatology Clinic for lesions of the male external genitalia.,Cent European J Urol,2023-12-17-22-15-45,Fig. 1,Hyperpigmentation of the median raphe of the penis.,CEJU-65-00148-g001
24578916,PMC3921764,Normal variants in patients consulted in the Dermatology Clinic for lesions of the male external genitalia.,Cent European J Urol,2023-12-17-22-15-45,Fig. 2,Hyperpigmentation of the median raphe of the scrotum.,CEJU-65-00148-g002
24578916,PMC3921764,Normal variants in patients consulted in the Dermatology Clinic for lesions of the male external genitalia.,Cent European J Urol,2023-12-17-22-15-45,Fig. 3,Prominent veins of the penis.,CEJU-65-00148-g003
24578916,PMC3921764,Normal variants in patients consulted in the Dermatology Clinic for lesions of the male external genitalia.,Cent European J Urol,2023-12-17-22-15-45,"Fig. 4, 5",Multiple pearly penile papules on the coronal margin of the glans.,CEJU-65-00148-g004
24578916,PMC3921764,Normal variants in patients consulted in the Dermatology Clinic for lesions of the male external genitalia.,Cent European J Urol,2023-12-17-22-15-45,Fig. 6,"Several millimeters in diameter, distally directed pearly penile papules resembling genital warts.",CEJU-65-00148-g005
24578916,PMC3921764,Normal variants in patients consulted in the Dermatology Clinic for lesions of the male external genitalia.,Cent European J Urol,2023-12-17-22-15-45,Fig. 7,Single pearly penile papule on the glans penis. Diagnosis is based on the dermatoscopic examination.,CEJU-65-00148-g006
24578916,PMC3921764,Normal variants in patients consulted in the Dermatology Clinic for lesions of the male external genitalia.,Cent European J Urol,2023-12-17-22-15-45,Fig. 8,Sebaceous hyperplasia on the internal lamina of the prepuce.,CEJU-65-00148-g007
24578916,PMC3921764,Normal variants in patients consulted in the Dermatology Clinic for lesions of the male external genitalia.,Cent European J Urol,2023-12-17-22-15-45,Fig. 9,Ectopic sebaceous glands on the glans penis.,CEJU-65-00148-g008
24578916,PMC3921764,Normal variants in patients consulted in the Dermatology Clinic for lesions of the male external genitalia.,Cent European J Urol,2023-12-17-22-15-45,Fig. 10,Typical melanocytic nevus on the shaft of the penis.,CEJU-65-00148-g009
24578916,PMC3921764,Normal variants in patients consulted in the Dermatology Clinic for lesions of the male external genitalia.,Cent European J Urol,2023-12-17-22-15-45,Fig. 11,Hyperpigmented skin tags on the shaft of the penis.,CEJU-65-00148-g010
24578916,PMC3921764,Normal variants in patients consulted in the Dermatology Clinic for lesions of the male external genitalia.,Cent European J Urol,2023-12-17-22-15-45,Fig. 12,Single angioma on the internal lamina of the prepuce.,CEJU-65-00148-g011
24578916,PMC3921764,Normal variants in patients consulted in the Dermatology Clinic for lesions of the male external genitalia.,Cent European J Urol,2023-12-17-22-15-45,Fig. 13,Multiple hemorrhagic keratomas on the scrotum.,CEJU-65-00148-g012
24578916,PMC3921764,Normal variants in patients consulted in the Dermatology Clinic for lesions of the male external genitalia.,Cent European J Urol,2023-12-17-22-15-45,Fig. 14,Bier's spots.,CEJU-65-00148-g013
24778841,PMC3945259,The treatment of giant rhinophyma - Case Report.,Curr Health Sci J,2023-12-17-22-15-45,Fig.1,Preoperative view,CHSJ-38-1-041-fig1a
24778841,PMC3945259,The treatment of giant rhinophyma - Case Report.,Curr Health Sci J,2023-12-17-22-15-45,Fig.2,Preoperator view,CHSJ-38-1-041-fig2
24778841,PMC3945259,The treatment of giant rhinophyma - Case Report.,Curr Health Sci J,2023-12-17-22-15-45,Fig.3,Surgical speciment,CHSJ-38-1-041-fig3
24778841,PMC3945259,The treatment of giant rhinophyma - Case Report.,Curr Health Sci J,2023-12-17-22-15-45,Fig.4,"Rhinophima hyperplasia of sebaceous glands, HE,",CHSJ-38-1-041-fig4
