pmcid,figure_name,width,height
PMC1253716,ehp0113-000096f2.jpg,680,485
PMC1253716,ehp0113-000096f1.jpg,686,485
PMC3981308,cp-2012-3-e63-g005.jpg,500,371
PMC3981308,cp-2012-3-e63-g001.jpg,500,376
PMC3981308,cp-2012-3-e63-g003.jpg,500,379
PMC3981308,cp-2012-3-e63-g002.jpg,500,374
PMC3981308,cp-2012-3-e63-g004.jpg,500,441
PMC3637079,1756-0500-6-147-2.jpg,600,809
PMC3637079,1756-0500-6-147-4.jpg,600,401
PMC3637079,1756-0500-6-147-1.jpg,600,815
PMC3637079,1756-0500-6-147-3.jpg,600,401
PMC4061685,IJO-62-361-g002.jpg,704,521
PMC4061685,IJO-62-361-g003.jpg,704,521
PMC4061685,IJO-62-361-g004.jpg,480,521
PMC4061685,IJO-62-361-g001.jpg,704,521
PMC4325691,dp0501a08g003a.jpg,666,499
PMC4325691,dp0501a08g003c.jpg,600,449
PMC4325691,dp0501a08g001.jpg,666,444
PMC4325691,dp0501a08g003b.jpg,666,499
PMC4325691,dp0501a08g002c.jpg,666,499
PMC4325691,dp0501a08g002b.jpg,666,499
PMC4325691,dp0501a08g002a.jpg,666,499
PMC4632697,ijms-16-23259-g003.jpg,652,826
PMC4632697,ijms-16-23259-g001.jpg,751,343
PMC4632697,ijms-16-23259-g002.jpg,674,1004
PMC4397111,nihms-634344-f0002.jpg,498,599
PMC4397111,nihms-634344-f0004.jpg,599,601
PMC4397111,nihms-634344-f0003.jpg,569,600
PMC4397111,nihms-634344-f0001.jpg,600,575
PMC4397111,nihms-634344-f0006.jpg,600,566
PMC4397111,nihms-634344-f0005.jpg,601,564
PMC4581440,13000_2015_396_Fig3_HTML.jpg,778,400
PMC4581440,13000_2015_396_Fig2_HTML.jpg,567,436
PMC4581440,13000_2015_396_Fig1_HTML.jpg,567,437
PMC4581440,13000_2015_396_Fig4_HTML.jpg,567,433
PMC5111310,IJSTD-37-201-g003.jpg,486,330
PMC5111310,IJSTD-37-201-g001.jpg,486,315
PMC5111310,IJSTD-37-201-g005.jpg,198,352
PMC5111310,IJSTD-37-201-g002.jpg,486,318
PMC5111310,IJSTD-37-201-g004.jpg,369,352
PMC5006557,dp0603a14g001a.jpg,666,442
PMC5006557,dp0603a14g001b.jpg,666,442
PMC5006557,dp0603a14g004.jpg,700,476
PMC5006557,dp0603a14g002.jpg,666,446
PMC5006557,dp0603a14g003.jpg,700,419
PMC5006557,dp0603a14g005.jpg,666,500
PMC6106659,abd-93-05-0737-g02.jpg,771,551
PMC6106659,abd-93-05-0737-g04.jpg,771,770
PMC6106659,abd-93-05-0737-g05.jpg,771,413
PMC6106659,abd-93-05-0737-g03.jpg,771,551
PMC6106659,abd-93-05-0737-g01.jpg,693,970
PMC5647844,acfs-18-191-g001.jpg,796,1011
PMC5647844,acfs-18-191-g005.jpg,762,652
PMC5647844,acfs-18-191-g003.jpg,763,696
PMC5647844,acfs-18-191-g004.jpg,717,551
PMC5647844,acfs-18-191-g002.jpg,790,482
PMC6498964,CMAR-11-2947-g0001.jpg,814,648
PMC6498964,CMAR-11-2947-g0002.jpg,802,684
PMC5372342,13256_2017_1233_Fig2_HTML.jpg,567,462
PMC5372342,13256_2017_1233_Fig1_HTML.jpg,567,220
PMC6896386,IJSTD-40-97-g003.jpg,539,404
PMC6896386,IJSTD-40-97-g001.jpg,440,587
PMC6896386,IJSTD-40-97-g004.jpg,609,587
PMC6896386,IJSTD-40-97-g002.jpg,539,387
PMC7485991,cureus-0012-00000009673-i02.jpg,800,603
PMC7485991,cureus-0012-00000009673-i01.jpg,800,598
PMC7485991,cureus-0012-00000009673-i03.jpg,800,295
PMC7175428,JMedLife-13-107-g002b.jpg,622,578
PMC7175428,JMedLife-13-107-g001a.jpg,622,552
PMC7175428,JMedLife-13-107-g002d.jpg,784,731
PMC7175428,JMedLife-13-107-g001b.jpg,697,584
PMC7175428,JMedLife-13-107-g001c.jpg,697,732
PMC7175428,JMedLife-13-107-g002c.jpg,552,553
PMC7175428,JMedLife-13-107-g003d.jpg,543,557
PMC7175428,JMedLife-13-107-g002a.jpg,611,608
PMC7175428,JMedLife-13-107-g003b.jpg,594,559
PMC7175428,JMedLife-13-107-g003c.jpg,736,752
PMC7175428,JMedLife-13-107-g003a.jpg,594,557
PMC7175428,JMedLife-13-107-g001d.jpg,738,731
PMC9234985,ActaDV-100-16-5876-g004.jpg,614,385
PMC9234985,ActaDV-100-16-5876-g001.jpg,670,481
PMC9234985,ActaDV-100-16-5876-g002.jpg,672,486
PMC9234985,ActaDV-100-16-5876-g003.jpg,612,420
PMC7772859,cro-0013-1410-g01.jpg,735,1177
PMC7772859,cro-0013-1410-g02.jpg,750,638
PMC8989896,ad-34-105-i002.jpg,756,181
PMC8989896,ad-34-105-i001.jpg,760,183
PMC8989896,ad-34-105-i003.jpg,756,264
PMC8575325,cureus-0013-00000018559-i02.jpg,750,422
PMC8575325,cureus-0013-00000018559-i01.jpg,750,405
PMC8899810,10.1177_10600280211031329-table3.jpg,703,505
PMC8899810,10.1177_10600280211031329-fig1.jpg,764,213
PMC8899810,10.1177_10600280211031329-img1.jpg,61,61
PMC8899810,10.1177_10600280211031329-table2.jpg,700,335
PMC8899810,10.1177_10600280211031329-table1.jpg,700,180
PMC8899810,10.1177_10600280211031329-fig2.jpg,764,452
PMC9440736,cureus-0014-00000027679-i01.jpg,750,563
PMC9406543,diagnostics-12-01859-g001.jpg,691,531
PMC9406543,diagnostics-12-01859-g003.jpg,769,406
PMC9406543,diagnostics-12-01859-g002.jpg,712,373
PMC9681945,12672_2022_593_Fig2_HTML.jpg,677,383
PMC9681945,12672_2022_593_Fig1_HTML.jpg,678,329
PMC9588167,cureus-0014-00000029479-i06.jpg,750,422
PMC9588167,cureus-0014-00000029479-i01.jpg,750,422
PMC9588167,cureus-0014-00000029479-i05.jpg,750,422
PMC9588167,cureus-0014-00000029479-i03.jpg,750,422
PMC9588167,cureus-0014-00000029479-i04.jpg,750,422
PMC9588167,cureus-0014-00000029479-i02.jpg,750,422
PMC9305313,gr2.jpg,711,501
PMC9305313,gr4.jpg,711,504
PMC9305313,gr3.jpg,711,265
PMC9305313,gr5.jpg,750,318
PMC9305313,gr1.jpg,602,402
PMC9864074,life-13-00196-g001.jpg,740,741
PMC9883932,12885_2023_10577_Fig1_HTML.jpg,778,724
PMC9836155,JAPTR-13-314-g003.jpg,607,586
PMC9836155,JAPTR-13-314-g006.jpg,538,481
PMC9836155,JAPTR-13-314-g009.jpg,538,439
PMC9836155,JAPTR-13-314-g002.jpg,649,586
PMC9836155,JAPTR-13-314-g008.jpg,538,461
PMC9836155,JAPTR-13-314-g005.jpg,538,489
PMC9836155,JAPTR-13-314-g010.jpg,538,443
PMC9836155,JAPTR-13-314-g007.jpg,538,495
PMC9836155,JAPTR-13-314-g001.jpg,623,586
PMC9836155,JAPTR-13-314-g004.jpg,538,500
