pmid,pmcid,title,journal,insert_time,has_targz
28129609,PMC5266490,Treatment of intimal sarcoma of peripheral veins.,Int J Surg Case Rep,2023-12-17-22-03-19,True
28471957,PMC5419903,Aggressively progressing primary undifferentiated pleomorphic sarcoma in the eyelid: A case report and review of the literature.,Medicine (Baltimore),2023-12-17-22-03-19,True
29031178,PMC5645475,Undifferentiated pleomorphic sarcoma of the neck - A case report.,Int J Surg Case Rep,2023-12-17-22-03-19,True
29085719,PMC5661153,Dermoscopic findings in an early malignant fibrous histiocytoma on the face.,Dermatol Pract Concept,2023-12-17-22-03-19,True
29371905,PMC5783679,Clinical Features and Treatment of Fibrous Histiocytomas of the Tongue: A Systematic Review.,Int Arch Otorhinolaryngol,2023-12-17-22-03-19,True
29641724,PMC5871389,Undifferentiated pleomorphic sarcoma.,An Bras Dermatol,2023-12-17-22-03-19,True
31142349,PMC6542061,Multifocal pleomorphic dermal sarcoma and the role of inflammation and immunosuppression in a lung transplant patient: a case report.,J Med Case Rep,2023-12-17-22-03-19,True
31192988,PMC6510942,Atypical fibroxanthoma associated with differentiated-type vulvar intraepithelial neoplasia: Case report of an unusual entity.,JAAD Case Rep,2023-12-17-22-03-19,True
32046724,PMC7014594,Successful pre-operative local control of skin exposure by sarcoma using combination of systemic chemotherapy and Mohs' chemosurgery.,World J Surg Oncol,2023-12-17-22-03-19,True
32774941,PMC7397415,Giant Protruding High-Grade Undifferentiated Pleomorphic Sarcoma Arising in a Keloid Scar on the Abdominal Wall.,Case Rep Dermatol Med,2023-12-17-22-03-19,True
33463447,PMC8073439,Undifferentiated pleomorphic sarcoma of skin in unusual locations: Report of two cases.,Jt Dis Relat Surg,2023-12-17-22-03-19,True
34276919,PMC8256239,Undifferentiated pleomorphic sarcoma in oropharyngeal mucosa of patients with multiple basal cell carcinomas.,Rare Tumors,2023-12-17-22-03-19,True
34465320,PMC8406958,"Multiple malignant tumors in a patient with familial chordoma, a case report.",BMC Med Genomics,2023-12-17-22-03-19,True
35445150,PMC9014322,Profunda femoris artery perforator flap for lateral knee joint reconstruction: A report of two cases.,JPRAS Open,2023-12-17-22-03-19,True
35501497,PMC10020307,Undifferentiated pleomorphic sarcoma of the breast with neoplastic fever: case report and genomic characterization.,J Cancer Res Clin Oncol,2023-12-17-22-03-19,True
35846910,PMC9280752,Radio-induced simultaneous development of squamous cell carcinoma and undifferentiated pleomorphic sarcoma of scalp.,Clin Case Rep,2023-12-17-22-03-19,True
36181081,PMC9524936,Characterizing inflammatory markers in highly aggressive soft tissue sarcomas.,Medicine (Baltimore),2023-12-17-22-03-19,True
36338647,PMC9633863,Undifferentiated pleomorphic sarcoma of the lateral thigh with KRAS/NF1 co-mutation recurred after repetitive surgical resection: A case report and review of the literature.,Front Surg,2023-12-17-22-03-19,True
36458807,PMC9720795,Undifferentiated Pleomorphic Sarcoma Presenting With Cardiac Tamponade: A Case Report and Review.,J Investig Med High Impact Case Rep,2023-12-17-22-03-19,True
36761964,PMC9902933,"When tissue is not the only issue: Poorly differentiated lung squamous-cell carcinoma with adrenal, costochondral, and cardiac metastases - case report.",Front Oncol,2023-12-17-22-03-19,True
37333040,PMC10276311,Integra® Dermal Regeneration Matrix: A Versatile Solution for Complex Soft Tissue Sarcoma Reconstruction in the Hand.,Cureus,2023-12-17-22-03-19,True
37727209,PMC10505752,"Cross-species evaluation of fibroblast activation protein alpha as potential imaging target for soft tissue sarcoma: a comparative immunohistochemical study in humans, dogs, and cats.",Front Oncol,2023-12-17-22-03-19,True
37791158,PMC10544415,A Rare Presentation of Undifferentiated Pleomorphic Sarcoma in the Subpectoral Space.,Cureus,2023-12-17-22-03-19,False
