pmcid,label,caption,graphic,disease,modality
PMC5419903,Figure 1,"Photographs of a patient with undifferentiated pleomorphic sarcoma of the left lower eyelid at the initial visit (A), 4 weeks after the initial visit (B), 6 weeks after the initial visit (C), and 6 weeks after the operation (D).",medi-96-e6616-g001,NotMatch,NotMatch
PMC5419903,Figure 2,"Computed tomography image of the left lower eyelid lesion at the initial visit (A), and a magnetic resonance image 4 weeks after the initial visit (B).",medi-96-e6616-g002,NotMatch,NotMatch
PMC5419903,Figure 3,"Histopathologic findings. (A) The tumor composed of spindle and pleomorphic cells arranged with fascicular growth pattern. Multinucleated giant cells were observed (Hematoxylin and Eosin). (B) Cytokeratin was negative in the tumor. (C) Smooth muscle actin (SMA) was positive in entrapped normal vessel wall, however, tumor cells were negative for SMA. (D) Immunoreactivity for desmin was not observed.",medi-96-e6616-g003,NotMatch,NotMatch
PMC5645475,Fig. 1,Photograph of the right neck mass.,gr1,NotMatch,NotMatch
PMC5645475,Fig. 2,CT showing the subcutaneous nodule.,gr2,NotMatch,NotMatch
PMC5645475,Fig. 3,US showing the same nodule with internal vascularity.,gr3,NotMatch,NotMatch
PMC5661153,Figure 1,Clinical image. Hypopigmented lesion with discrete erythema and poorly defined limits. [Copyright: ©2017 Salerni et al.],dp0703a09g001,NotMatch,NotMatch
PMC5661153,Figure 2,Dermoscopy image. A white-red structureless area with crystalline structures (short white streaks and rosettes) was observed. Focal superficial linear telangiectasias were also noted. [Copyright: ©2017 Salerni et al.],dp0703a09g002,NotMatch,NotMatch
PMC5661153,Figure 3,"Non-ulcerated, mitotically active dermal fibrohistiocytic proliferation with infiltrative pattern; CD 68 positive, cytokeratin and HMB45 negative. [Copyright: ©2017 Salerni et al.]",dp0703a09g003,NotMatch,NotMatch
PMC5783679,Fig. 1,"
Systematic search and review strategy of the PubMed database. The initial search returned 234 articles. After screening the titles and abstracts, 18 articles were reviewed in full-text for final inclusion. Of these, two articles were excluded for not meeting the inclusion criteria. Two additional articles were included after screening the references of the included cases. A final group of 18 articles describing 20 cases was included in this review.
",10-1055-s-0037-1602819-i0568-1,NotMatch,NotMatch
PMC5783679,Fig. 2,"
Benign fibrous histiocytoma histology (a-b) showing spindle-shaped fibroblasts arranged in a storiform pattern with scattered histiocytes. Malignant fibrous histiocytoma histology (c-d) demonstrates spindle-shaped to pleomorphic cells haphazardly arranged with occasional mitotic figures (Courtesy of Dr. Paul L. Haun, M.D.).
",10-1055-s-0037-1602819-i0568-2,NotMatch,NotMatch
PMC5266490,Fig. 1,"CT scan, where different axial sections are shown, the presence of mass following superficial venous paths corresponding with the cephalic vein in the left forearm. The green arrow indicates the path of the radial artery.",gr1,NotMatch,NotMatch
PMC5266490,Fig. 2,3D reconstruction where observe the presence of infiltration across the path of the cephalic vein.,gr2,NotMatch,NotMatch
PMC5266490,Fig. 3,"Surgical specimen after marginal resección, the proximal edge is left and distal edge at the right. a) Anterior edge, b) surgical bed c) longitudinal section.",gr3,NotMatch,NotMatch
PMC5266490,Fig. 4,Hematoxylin and eosin stained sections (a). Immunohistochemistry (IHC) was positive for vimentin (b) and negative for CD 34 (c).,gr4,NotMatch,NotMatch
PMC5266490,Fig. 5,"a) 3D reconstruction left arm, basilic vein dependent tumor is observed b) CT axial section where tumor is observed between the compartments arm.",gr5,NotMatch,NotMatch
PMC5266490,Fig. 6,"a) Pathological complete piece, b) y c) axial H & E staining 400X, d) immunohistochemistry positive for vimentin and e) CD 34 negative.",gr6,NotMatch,Match
PMC5871389,Figure 1,"A - 6 cm-diameter tumor. B - Immediate
postoperative period",abd-93-01-0154-g01,NotMatch,NotMatch
PMC5871389,Figure 2,"A: Intense proliferation of pleomorphic cells in the dermis
(Hematoxylin & eosin, X200); B: Infiltration of adipose
tissue with neovascularization (Hematoxylin & eosin, X100);
C: Fusiform and polygonal pleomorphic multinucleated cells
with hyperchromasia of the nucleoli and mitotic figures (Hematoxylin &
eosin, X400); D: Immunohistochemistry 90% highly positive for
Ki-67 antibody, a cell proliferation marker, CD-68; E: A
macrophage marker (IHC, X200); and F: Vimentin, a mesenchymal
cell marker, IHC X100).",abd-93-01-0154-g02,NotMatch,Match
PMC6510942,Fig 1,"A, Whole-mount histology of the entire tumor. B, AFX associated with dVIN. C, Histopathologic features of the tumor with striking nuclear pleomorphism and atypical mitoses. D, Heterogeneous immunoreactivity for CD10. (A, B, and C, Hematoxylin-eosin stain; D, Immunohistochemistry stain; original magnifications: A, ×5; B, ×100; C and D, ×200.)",gr1,NotMatch,Match
