pmcid,figure_name,width,height
PMC5419903,medi-96-e6616-g003.jpg,800,557
PMC5419903,medi-96-e6616-g004.jpg,1200,409
PMC5419903,medi-96-e6616-g001.jpg,800,951
PMC5419903,medi-96-e6616-g002.jpg,800,283
PMC5645475,gr2.jpg,714,472
PMC5645475,gr3.jpg,714,428
PMC5645475,gr1.jpg,625,844
PMC5661153,dp0703a09g002.jpg,800,600
PMC5661153,dp0703a09g001.jpg,800,603
PMC5661153,dp0703a09g003.jpg,700,395
PMC5783679,10-1055-s-0037-1602819-i0568-1.jpg,800,718
PMC5783679,10-1055-s-0037-1602819-i0568-2.jpg,800,605
PMC5266490,gr6.jpg,714,775
PMC5266490,gr2.jpg,666,489
PMC5266490,gr4.jpg,708,205
PMC5266490,gr3.jpg,683,700
PMC5266490,gr5.jpg,683,336
PMC5266490,gr1.jpg,683,597
PMC5871389,abd-93-01-0154-g02.jpg,771,513
PMC5871389,abd-93-01-0154-g01.jpg,771,449
PMC6510942,gr1.jpg,750,567
PMC6542061,13256_2019_2093_Fig4_HTML.jpg,709,225
PMC6542061,13256_2019_2093_Fig1_HTML.jpg,709,534
PMC6542061,13256_2019_2093_Fig3_HTML.jpg,787,299
PMC6542061,13256_2019_2093_Fig2_HTML.jpg,709,221
PMC6542061,13256_2019_2093_Fig5_HTML.jpg,778,212
PMC7397415,CRIDM2020-4898965.001.jpg,754,750
PMC7397415,CRIDM2020-4898965.003.jpg,755,560
PMC7397415,CRIDM2020-4898965.002.jpg,752,560
PMC7014594,12957_2020_1815_Fig2_HTML.jpg,597,448
PMC7014594,12957_2020_1815_Fig4_HTML.jpg,709,532
PMC7014594,12957_2020_1815_Fig3_HTML.jpg,597,448
PMC7014594,12957_2020_1815_Fig5_HTML.jpg,597,448
PMC7014594,12957_2020_1815_Fig1_HTML.jpg,597,448
PMC8073439,JDRS-2021-32-1-253-257-F2.jpg,768,485
PMC8073439,JDRS-2021-32-1-253-257-F1.jpg,727,1208
PMC8073439,JDRS-2021-32-1-253-257-F4.jpg,768,361
PMC8073439,JDRS-2021-32-1-253-257-F5.jpg,677,250
PMC8073439,JDRS-2021-32-1-253-257-F3.jpg,770,510
PMC8256239,10.1177_20363613211026483-fig3.jpg,701,353
PMC8256239,10.1177_20363613211026483-fig1.jpg,603,1065
PMC8256239,10.1177_20363613211026483-img1.jpg,61,61
PMC8256239,10.1177_20363613211026483-fig2.jpg,785,783
PMC9014322,gr2.jpg,714,407
PMC9014322,gr4.jpg,694,521
PMC9014322,gr3.jpg,694,521
PMC9014322,gr1.jpg,694,521
PMC10020307,432_2022_4000_Fig1_HTML.jpg,766,575
PMC10020307,432_2022_4000_Fig2_HTML.jpg,723,1311
PMC10020307,432_2022_4000_Fig3_HTML.jpg,644,859
PMC8406958,12920_2021_1064_Fig1_HTML.jpg,896,1579
PMC8406958,12920_2021_1064_Fig4_HTML.jpg,1592,1195
PMC8406958,12920_2021_1064_Fig3_HTML.jpg,896,760
PMC8406958,12920_2021_1064_Fig5_HTML.jpg,1592,595
PMC8406958,12920_2021_1064_Fig6_HTML.jpg,797,697
PMC8406958,12920_2021_1064_Fig2_HTML.jpg,1593,597
PMC9524936,medi-101-e30688-g001.jpg,800,845
PMC9524936,medi-101-e30688-g002.jpg,800,828
PMC9524936,medi-101-e30688-g003.jpg,800,816
PMC9633863,fsurg-09-842054-g002.jpg,600,1060
PMC9633863,fsurg-09-842054-g003.jpg,600,225
PMC9633863,fsurg-09-842054-g004.jpg,700,349
PMC9633863,fsurg-09-842054-g001.jpg,600,397
PMC9280752,CCR3-10-e6058-g003.jpg,680,510
PMC9280752,CCR3-10-e6058-g008.jpg,709,525
PMC9280752,CCR3-10-e6058-g006.jpg,591,788
PMC9280752,CCR3-10-e6058-g010.jpg,709,784
PMC9280752,CCR3-10-e6058-g005.jpg,709,709
PMC9280752,CCR3-10-e6058-g009.jpg,709,710
PMC9280752,CCR3-10-e6058-g002.jpg,709,311
PMC9280752,CCR3-10-e6058-g007.jpg,120,120
PMC9280752,CCR3-10-e6058-g004.jpg,709,532
PMC9280752,CCR3-10-e6058-g001.jpg,683,470
PMC9720795,10.1177_23247096221141190-fig4.jpg,607,495
PMC9720795,10.1177_23247096221141190-table1.jpg,796,501
PMC9720795,10.1177_23247096221141190-fig3.jpg,607,457
PMC9720795,10.1177_23247096221141190-fig2.jpg,608,457
PMC9720795,10.1177_23247096221141190-fig1.jpg,608,457
PMC9720795,10.1177_23247096221141190-img1.jpg,61,62
PMC10276311,cureus-0015-00000040553-i03.jpg,750,602
PMC10276311,cureus-0015-00000040553-i02.jpg,750,317
PMC10276311,cureus-0015-00000040553-i01.jpg,750,662
PMC9902933,fonc-13-1117024-g002.jpg,590,548
PMC9902933,fonc-13-1117024-g004.jpg,696,847
PMC9902933,fonc-13-1117024-g001.jpg,756,352
PMC9902933,fonc-13-1117024-g003.jpg,738,521
PMC10505752,fonc-13-1210004-g002.jpg,711,764
PMC10505752,fonc-13-1210004-g005.jpg,756,665
PMC10505752,fonc-13-1210004-g003.jpg,771,160
PMC10505752,fonc-13-1210004-g004.jpg,787,1183
PMC10505752,fonc-13-1210004-g001.jpg,674,281
PMC10505752,fonc-13-1210004-g006.jpg,761,454
