pmid,pmcid,title,journal,insert_time,has_targz,disease
17449949,PMC2693607,The first Korean case of Beare-Stevenson syndrome with a Tyr375Cys mutation in the fibroblast growth factor receptor 2 gene.,J Korean Med Sci,2023-12-17-22-03-20,True,NotMatch
20101330,PMC2807705,Quantitation of mast cells and collagen fibers in skin tags.,Indian J Dermatol,2023-12-17-22-03-20,True,Match
20632059,PMC2924966,Optimal treatment duration of glyceryl trinitrate for chronic anal fissure: results of a prospective randomized multicenter trial.,Tech Coloproctol,2023-12-17-22-03-20,True,NotMatch
23493098,PMC3586892,An association of human papillomaviruses low risk and high risk subtypes with skin tag.,Iran J Basic Med Sci,2023-12-17-22-03-20,True,Match
23723485,PMC3667297,Skin tags: a link between lesional mast cell count/tryptase expression and obesity and dyslipidemia.,Indian J Dermatol,2023-12-17-22-03-20,True,Match
24470876,PMC3881254,Cutaneous Manifestations in HTLV-I Positive Blood Donors.,Iran J Basic Med Sci,2023-12-17-22-03-20,True,NotMatch
24653863,PMC3936533,Clinical analysis of auricular benign masses.,Korean J Audiol,2023-12-17-22-03-20,True,NotMatch
24741390,PMC3961995,"Pai syndrome: median cleft lip, corpus callosum lipoma, and fibroepithelial skin tag.",Eplasty,2023-12-17-22-03-20,True,Match
24804183,PMC4009752,"A comparison study of lipid profile levels between skin tags affected people and normal population in Tehran, Iran.",Adv Biomed Res,2023-12-17-22-03-20,True,Match
24881613,PMC4065518,Encephalocraniocutaneous lipomatosis: a case report and review of the literature.,Indian J Ophthalmol,2023-12-17-22-03-20,True,NotMatch
25426389,PMC4229265,Occurrence of different external ear deformities in monozygotic twins: report of 2 cases.,Plast Reconstr Surg Glob Open,2023-12-17-22-03-20,True,NotMatch
26450698,PMC4599336,Cloacal reconstruction after a complex treatment of perineal haemangioma in a variant of PELVIS syndrome.,BMC Pediatr,2023-12-17-22-03-20,True,NotMatch
26870678,PMC4737969,"Efficacy of Dragon's blood cream on wound healing: A randomized, double-blind, placebo-controlled clinical trial.",J Tradit Complement Med,2023-12-17-22-03-20,True,NotMatch
27299150,PMC4890107,Rhabdomyomatous mesenchymal hamartoma presenting as a skin tag in a newborn.,JAAD Case Rep,2023-12-17-22-03-20,True,Match
28090468,PMC5234417,Clinical Features and Extraintestinal Manifestations of Crohn Disease in Children.,Pediatr Gastroenterol Hepatol Nutr,2023-12-17-22-03-20,True,NotMatch
28491986,PMC5419766,Giant skin tag on the labium majorum.,Int J Womens Dermatol,2023-12-17-22-03-20,True,Match
28698740,PMC5503720,The Correlation between Body Mass Index with the Occurrence of Skin Tag.,Open Access Maced J Med Sci,2023-12-17-22-03-20,True,Match
28883880,PMC5582363,Semi Lobar Holoprosencephaly with Vertebral Segmentation Defects.,Iran J Child Neurol,2023-12-17-22-03-20,True,NotMatch
28913302,PMC5556742,Eccrine Poroma of the Postauricular Area.,Arch Craniofac Surg,2023-12-17-22-03-20,True,NotMatch
30627168,PMC6304584,Congenital Midline Cervical Cleft and W-Plasty: Our Experience.,Int J Otolaryngol,2023-12-17-22-03-20,True,NotMatch
30685937,PMC6369056,Surgical correction for Tessier number 7 craniofacial cleft using a medially overcorrected design.,Arch Plast Surg,2023-12-17-22-03-20,True,NotMatch
30740160,PMC6352473,Correlation between Serum Leptin Level with Type and Number of Lesion Skin Tag.,Open Access Maced J Med Sci,2023-12-17-22-03-20,True,Match
31015769,PMC6448537,Primary vaginal adenocarcinoma of intestinal type or occult metastatic colon cancer: a diagnostic dilemma from a vaginal skin tag.,Int J Womens Health,2023-12-17-22-03-20,True,Match
31061677,PMC6497326,Investigation of copy number variations on chromosome 21 detected by comparative genomic hybridization (CGH) microarray in patients with congenital anomalies.,Mol Cytogenet,2023-12-17-22-03-20,True,NotMatch
31129433,PMC6535626,"Heterotopic respiratory mucosa in the scalp overlying abnormal bony island in the skull linked to maternal misoprostol use, literature review and surgical experience.",Int J Surg Case Rep,2023-12-17-22-03-20,True,NotMatch
31149572,PMC6536054,Association of Skin Tag with Metabolic Syndrome and its Components: A Case-control Study from Eastern India.,Indian Dermatol Online J,2023-12-17-22-03-20,True,Match
31210737,PMC6552339,Coccygeal Polypoid Eccrine Nevus Presenting as a Skin Tag: Case Report and Review of the Literature.,Clin Med Insights Case Rep,2023-12-17-22-03-20,True,Match
31258578,PMC6572969,External hemorrhoidal disease in child and teenage: Clinical presentations and risk factors.,Pak J Med Sci,2023-12-17-22-03-20,True,NotMatch
31528593,PMC6671882,Preventing misdiagnosis in amniotic band sequence: a case report.,Autops Case Rep,2023-12-17-22-03-20,True,NotMatch
32617069,PMC7326686,Giant Fibroepithelial Polyps: Why do they Grow Excessively?,Sisli Etfal Hastan Tip Bul,2023-12-17-22-03-20,True,Match
32664135,PMC7360197,Bilateral cervical chondrocutaneous branchial remnants: A case report and a review of the literature.,Medicine (Baltimore),2023-12-17-22-03-20,True,NotMatch
32844877,PMC7448859,TRANSANAL HAEMORRHOIDAL DEARTERIALIZATION WITH MUCOPEXY (THD-M) FOR TREATMENT OF HEMORRHOIDS: IS IT APPLICABLE IN ALL GRADES? BRAZILIAN MULTICENTER STUDY.,Arq Bras Cir Dig,2023-12-17-22-03-20,True,NotMatch
33143702,PMC7640457,The role of insulin-like growth factor in Acrochordon Etiopathology.,BMC Dermatol,2023-12-17-22-03-20,True,NotMatch
33248450,PMC7697378,Hemiscrotal agenesis: a novel phenotype of a rare malformation.,BMC Pediatr,2023-12-17-22-03-20,True,NotMatch
33281393,PMC7685256,Apamarga Ksharasutra application and open lateral internal sphincterotomy in the management of Parikartika (chronic fissure‑in‑ano): A randomized controlled clinical trial.,Ayu,2023-12-17-22-03-20,True,NotMatch
33663147,PMC7933722,Congenital midline cervical cleft: An easily misdiagnosed disease.,Arch Craniofac Surg,2023-12-17-22-03-20,True,NotMatch
34019230,PMC8163951,"Efficacy Evaluation of the Pixie(®) Skin Tag Cryogenic Device on Skin Tags in a Prospective, Single-Blinded, Randomized, Comparative Clinical Trial.",Dermatol Ther (Heidelb),2023-12-17-22-03-20,True,Match
34754652,PMC8569653,A Case of Infantile Perianal Pyramidal Protrusion Masquerading As Imperforate Anus at Birth.,Cureus,2023-12-17-22-03-20,True,NotMatch
34818709,PMC8627947,Tessier number 7 cleft with unilateral complete cleft lip and palate: a case report.,Arch Plast Surg,2023-12-17-22-03-20,True,NotMatch
