pmcid,label,caption,graphic
PMC2693607,Fig. 1,Photographs of the patient. (A) Craniofacial anomalies with severe ocular proptosis and depressed nasal bridge. (B) Hypospadia of penis but two normal testicles. (C) Sacral skin tag with sinus tract. (D) Cutis gyrate in deeply furrowed right palm. (E) Cutis gyrate in deeply furrowed right sole. (F) Cutis gyrate in right preauricular furrows.,jkms-22-352-g001
PMC2693607,Fig. 2,"Skull AP view showed typical ""cloverleaf"" skull with severe temporal bulging (white short arrows), lacunar skull (black arrow), poorly developed maxillary bone, and significantly low-set ears with angulated posteriorly (white long arrows).",jkms-22-352-g002
PMC2693607,Fig. 3,"(A) The contrast-enhanced T1-weighted midsagittal image revealed brachycephaly and the findings consistent with Chiari malformation, including shallow posterior fossa, the herniated tonsil, caudally displaced medulla, elongated 4th ventricle, and resultant obstructive hydrocephalus. (B) The left parasagittal image depicted exophthalmos. (C) Contrast-enhanced T1-weighted coronal image showed schizencephaly in the right middle cranial fossa. T1-weighted (D), T2-weighted (E), and FLAIR (F) axial images also show schizencephaly in the right middle cranial fossa, and dilated lateral and third ventricles.",jkms-22-352-g003
PMC2693607,Fig. 4,DNA sequencing revealed heterozygous mutation (A to G) in this infant. This mutation resulted in the amino acid substitution of cysteine (TGC) for tyrosine (TAC) at coden 375 (Tyr375Cys) of the fibroblast growth factor receptor 2 (FGFR2) gene.,jkms-22-352-g004
PMC2807705,Figure 1,"Skin tag in a non diabetic participant showing a brown stained mast cell (arrow) (Bismarck brown, ×1000)",IJD-54-319-g001
PMC2807705,Figure 2,"Skin tag in a diabetic participant showing a brown stained mast cell (arrow) (Bismarck brown, ×1000)",IJD-54-319-g002
PMC2807705,Figure 3,"A copy of display on the monitor's screen of the image analyzer in non diabetic participant showing collagen fibres in green color (Masson's trichrom, ×400)",IJD-54-319-g003
PMC2807705,Figure 4,"A copy of display on the monitor's screen of the image analyzer in diabetic participant showing collagen fibres in green color (Masson's trichrom, ×400)",IJD-54-319-g004
PMC2924966,Fig. 1,Treatment flow chart,10151_2010_604_Fig1_HTML
PMC2924966,Fig. 2,"Change of VAS during GTN treatment. Line represent the mean VAS score, boxes represent standard deviation and 95% confidence intervals. Circles represent single values outside the 95% confidence interval",10151_2010_604_Fig2_HTML
PMC2924966,Fig. 3,Fissure healing at different follow-up visits,10151_2010_604_Fig3_HTML
PMC2924966,Fig. 4,Resolution of defecatory pain at different follow-up visits,10151_2010_604_Fig4_HTML
PMC3586892,Figure 1,"Gel electrophoresis PCR with low risk HPV. Line 1 is positive control (positive band is amplified by HPV DNA of 149 base pairs), line 2 is negative control, line 6 is weight marker (100 bp ladder). Other lines are negative samples.",IJBMS-15-840-g001
PMC3586892,Figure 2,"Gel electrophoresis PCR with high risk HPV. Line 1 is positive control (positive band is amplified by HPV DNA of 450 base pairs), line 2 is negative control, line 6 is weight marker 100 bp ladder. Other lines are negative samples.",IJBMS-15-840-g002
PMC3667297,Figure 1,STs on (a) the neck (b) axilla and (c) under the breast,IJD-58-240a-g001
PMC3667297,Figure 2,"(a) Skin tag with adjacent normal skin (H and E, ×100), (b) Higher magnification showing hyperplastic epidermis and upper dermal chronic inflammatory cellular infiltrate (H and E, ×400), (c) Skin tag with hyperplastic epidermal covering, and many upper dermal mast cells positively stained for tryptase (IHC, ×200), (d) Many mast cells with positively stained cytoplasmic granules (IHC, ×400), (e) Nonlesional normal skin showing: Scarce mast cells in the upper dermis (IHC, ×400), (f) Higher magnification of mast cells showing positively stained cytoplasmic granules (IHC, ×1000)",IJD-58-240a-g004
PMC3961995,Figure 1,"Presentation with median cleft lip, widened nasal tip, and fibroepithelial skin polyps.",eplasty14ic07_fig1
PMC3961995,Figure 2,Magnetic resonance imaging demonstrating dysgenesis and lipoma of the corpus callosum.,eplasty14ic07_fig2
PMC3961995,Figure 3,Good surgical result with straight-line closure.,eplasty14ic07_fig3
PMC4229265,Fig. 1.,"Lateral view of the right microtia (propositus, 8 years old).",gox-2-e206-g001
PMC4229265,Fig. 2.,"Lateral view of deformity of right tragus (patient B, 10 years old).",gox-2-e206-g002
PMC4229265,Fig. 3.,Front view of the monozygotic twins (10 years old).,gox-2-e206-g003
PMC4599336,Fig. 1,"Residuals of hemangiomas of genitals, perineal area and left thigh at 3 years of age",12887_2015_469_Fig1_HTML
PMC4065518,Figure 1,"Mechanical ptosis and proptosis of the right eye, upper eyelid coloboma (black arrow), fullness in eyelids, conjunctival hypertrophy (white arrow), and conjunctival discharge",IJO-62-622-g001
PMC4065518,Figure 2,"(a) Corneal clouding and vascularization, bulbar conjunctival hypertrophy, and nasal limbal dermoid (black arrow) in the right eye (b) Conjunctival congestion and corneal vascularization (white arrow) in the left eye",IJO-62-622-g002
PMC4065518,Figure 3,"Hypoplastic skin lesion at forehead (black asterisk), lipoma in right fronto-temoporal region, (white arrow) and large ipsilateral nevus psiloliparus (arrowhead) and skin tag at right lateral canthus (black arrow)",IJO-62-622-g003
PMC4065518,Figure 4,Large nevus psiloliparus extending from right side of the cheek to the fronto-temporo-parietal area of scalp (black arrows) and focal dermal aplasia in right temporal region of scalp (blue arrows),IJO-62-622-g004
PMC4065518,Figure 5,Multiple punched out lesions (focal dermal aplasia) on occipital region of scalp (blue arrows),IJO-62-622-g005
PMC4065518,Figure 6,Trans-frontal neuro-ultrasonography of an encephalocraniocutaneous lipomatosis patient showing (a) agenesis of corpus callosum (arrow); (b) dilated lateral ventricles suggestive of hydrocephalus,IJO-62-622-g006
PMC4065518,Figure 7,"Axial computed tomography of the brain and orbit showing calcification on posterior sclera of the right eye (double arrow), fatty infiltration in anterior orbit (curved arrow), normal sized eyeballs and absence of orbital cyst, lipomas in right temporal region (white arrows), near right cerebello-pontine angle (white arrowhead) and in the right cerebrum (black arrow) with calcification at margin (black arrowhead)",IJO-62-622-g007
PMC4065518,Figure 8,"Axial CT scan of the brain showing asymmetrically dilated lateral ventricles (white arrows), multiple intracerebral calcification (black arrows), and intracranial cyst in right cerebrum (arrowhead)",IJO-62-622-g008
PMC4737969,,,fx1
PMC4737969,Fig. 1,Tannic acid Standard curve in measurement of total phenolic content using Folin- Ciocaltue method.,gr1
PMC4737969,Fig. 2,Measurement of total phenolic content of C. lechleri using Folin- Ciocaltue method.,gr2
PMC4737969,Fig. 3,Number of wounds in studied population.,gr3
PMC4890107,Fig 1,Smooth midline polypoid papule on the chin at presentation.,gr1
PMC4890107,Fig 2,Hair-bearing skin with bundles of haphazardly arranged skeletal muscle and occasional nerves within the dermis and associated with adnexal structures. (Hematoxylin-eosin stain; original magnification: ×25.),gr2
PMC5419766,Fig 1,(A) Large lesion on the right vulval area. (B) Acanthosis and loosely arranged collagen fibres (hematoxylin-eosin × 40).,gr1
PMC5582363,Fig 1,T2 weighted MRI of the brain showing horse shoe lateral ventricle with fused frontal lobe anteriorly,ijcn-11-061-g001
PMC5582363,Fig 2,Coronal T2 weighted MRI of the brain showing fused frontal lobes of both the cerebral hemisphere,ijcn-11-061-g002
PMC5582363,Fig 3,Sagittal T1 flair MRI image showing missing anterior part of the corpus callosum,ijcn-11-061-g003
PMC5582363,Fig 4,Neck radiograph showing vertebral segmentation defect involving cervical and upper thoracic vertebrae,ijcn-11-061-g004
PMC5556742,Fig. 1,"Photograph showing a solitary, asymptomatic, 1.0×1.0 cm sized, brownish, protruding, soft nodule with central dark crust.",acfs-18-44-g001
PMC5556742,Fig. 2,"Microscopic findings. (A) The tumor arose within the lower portion of the epidermis and extended downward into the dermis as broad anastomosing bands (H&E, ×40). (B) Tumor cells had uniform cuboidal appearance with a round basophilic nucleus (H&E, ×200).",acfs-18-44-g002
PMC6304584,Figure 1,"Clinical criteria of CMCC: superior nipple-like structure, inferior sinus, and atrophic skin in between.",IJOTO2018-5081540.001
PMC6304584,Figure 2,Perioperative view showing the excision of the CMCC.,IJOTO2018-5081540.002
PMC6304584,Figure 3,W-plasty after wound closure.,IJOTO2018-5081540.003
PMC6304584,Figure 4,CMCC in a 2-year-old boy.,IJOTO2018-5081540.004
PMC6304584,Figure 5,Postoperative result in the same patient at 12 months.,IJOTO2018-5081540.005
PMC6304584,Figure 6,18-month postoperative result in the same patient in Figure 4.,IJOTO2018-5081540.006
