pmcid,figure_name,width,height
PMC2807705,IJD-54-319-g004.jpg,744,521
PMC2807705,IJD-54-319-g003.jpg,743,521
PMC2807705,IJD-54-319-g002.jpg,743,521
PMC2807705,IJD-54-319-g001.jpg,744,521
PMC2924966,10151_2010_604_Fig2_HTML.jpg,387,208
PMC2924966,10151_2010_604_Fig3_HTML.jpg,387,215
PMC2924966,10151_2010_604_Fig1_HTML.jpg,605,443
PMC2924966,10151_2010_604_Fig4_HTML.jpg,387,217
PMC2693607,jkms-22-352-g003.jpg,635,393
PMC2693607,jkms-22-352-g001.jpg,635,423
PMC2693607,jkms-22-352-g002.jpg,473,473
PMC2693607,jkms-22-352-g004.jpg,470,409
PMC3586892,IJBMS-15-840-g001.jpg,779,584
PMC3586892,IJBMS-15-840-g002.jpg,778,605
PMC3667297,IJD-58-240a-g002.jpg,560,350
PMC3667297,IJD-58-240a-g004.jpg,556,581
PMC3667297,IJD-58-240a-g003.jpg,562,654
PMC3667297,IJD-58-240a-g001.jpg,771,172
PMC3667297,IJD-58-240a-g005.jpg,1159,568
PMC3961995,eplasty14ic07_fig3.jpg,594,394
PMC3961995,eplasty14ic07_fig1.jpg,388,515
PMC3961995,eplasty14ic07_fig2.jpg,613,541
PMC4009752,ABR-3-109-g002.jpg,558,105
PMC4009752,ABR-3-109-g001.jpg,558,110
PMC4009752,ABR-3-109-g004.jpg,559,186
PMC4009752,ABR-3-109-g003.jpg,559,99
PMC3936533,kja-16-10-i002.jpg,1200,287
PMC3936533,kja-16-10-i001.jpg,1200,2260
PMC3936533,kja-16-10-i004.jpg,1200,192
PMC3936533,kja-16-10-i003.jpg,1200,1086
PMC4599336,12887_2015_469_Fig1_HTML.jpg,358,269
PMC4065518,IJO-62-622-g003.jpg,741,520
PMC4065518,IJO-62-622-g001.jpg,741,485
PMC4065518,IJO-62-622-g007.jpg,742,452
PMC4065518,IJO-62-622-g008.jpg,555,228
PMC4065518,IJO-62-622-g006.jpg,660,440
PMC4065518,IJO-62-622-g004.jpg,741,515
PMC4065518,IJO-62-622-g005.jpg,742,523
PMC4065518,IJO-62-622-g002.jpg,741,491
PMC4065518,IJO-62-622-g010.jpg,1000,522
PMC4065518,IJO-62-622-g009.jpg,998,473
PMC4229265,gox-2-e206-g001.jpg,800,1067
PMC4229265,gox-2-e206-g002.jpg,800,1067
PMC4229265,gox-2-e206-g003.jpg,800,1078
PMC4890107,gr2.jpg,722,542
PMC4890107,gr1.jpg,602,532
PMC4737969,gr2.jpg,783,382
PMC4737969,gr3.jpg,782,401
PMC4737969,gr1.jpg,783,389
PMC4737969,fx1.jpg,756,443
PMC5419766,gr1.jpg,712,264
PMC5234417,pghn-19-236-i002.jpg,1200,730
PMC5234417,pghn-19-236-i003.jpg,1200,480
PMC5234417,pghn-19-236-i001.jpg,1200,362
PMC5582363,ijcn-11-061-g002.jpg,747,723
PMC5582363,ijcn-11-061-g003.jpg,704,645
PMC5582363,ijcn-11-061-g001.jpg,700,728
PMC5582363,ijcn-11-061-g004.jpg,726,968
PMC5556742,acfs-18-44-g001.jpg,717,538
PMC5556742,acfs-18-44-g002.jpg,717,1094
PMC6448537,ijwh-11-223Fig2.jpg,726,233
PMC6448537,ijwh-11-223Fig1.jpg,695,524
PMC6304584,IJOTO2018-5081540.006.jpg,752,525
PMC6304584,IJOTO2018-5081540.001.jpg,752,525
PMC6304584,IJOTO2018-5081540.005.jpg,752,561
PMC6304584,IJOTO2018-5081540.002.jpg,752,540
PMC6304584,IJOTO2018-5081540.003.jpg,752,525
PMC6304584,IJOTO2018-5081540.004.jpg,752,525
PMC6369056,aps-2018-01193f1.jpg,658,150
PMC6369056,aps-2018-01193f5.jpg,584,388
PMC6369056,aps-2018-01193f2.jpg,626,460
PMC6369056,aps-2018-01193f6.jpg,657,215
PMC6369056,aps-2018-01193f4.jpg,585,397
PMC6369056,aps-2018-01193f3.jpg,625,458
PMC6497326,13039_2018_391_Fig1_HTML.jpg,778,334
PMC6497326,13039_2018_391_Fig2_HTML.jpg,778,352
PMC6572969,PJMS-35-696-g001.jpg,741,333
PMC6552339,10.1177_1179547619853534-fig2.jpg,574,432
PMC6552339,10.1177_1179547619853534-fig1.jpg,576,434
PMC6552339,10.1177_1179547619853534-table1.jpg,769,549
PMC6535626,gr2.jpg,717,488
PMC6535626,gr4.jpg,670,505
PMC6535626,gr3.jpg,717,291
PMC6535626,gr5.jpg,717,492
PMC6535626,gr1.jpg,670,638
PMC7326686,MBSEH-54-257-g004.jpg,596,453
PMC7326686,MBSEH-54-257-g002.jpg,596,346
PMC7326686,MBSEH-54-257-g001.jpg,596,346
PMC7326686,MBSEH-54-257-g003.jpg,596,454
PMC7326686,MBSEH-54-257-g005.jpg,596,347
PMC7360197,medi-99-e21114-g001.jpg,800,657
PMC7360197,medi-99-e21114-g003.jpg,800,428
PMC7360197,medi-99-e21114-g002.jpg,800,711
PMC7360197,medi-99-e21114-g004.jpg,800,573
PMC7640457,12895_2020_111_Fig1_HTML.jpg,787,590
PMC7640457,12895_2020_111_Fig2_HTML.jpg,787,590
PMC7697378,12887_2020_2424_Fig4_HTML.jpg,709,275
PMC7697378,12887_2020_2424_Fig1_HTML.jpg,787,436
PMC7697378,12887_2020_2424_Fig2_HTML.jpg,596,552
PMC7697378,12887_2020_2424_Fig3_HTML.jpg,709,365
PMC7933722,acfs-2020-00388f3.jpg,633,453
PMC7933722,acfs-2020-00388f1.jpg,632,416
PMC7933722,acfs-2020-00388f2.jpg,632,453
PMC7933722,acfs-2020-00388f4.jpg,634,1389
PMC7933722,acfs-2020-00388f5.jpg,634,415
PMC8163951,13555_2021_532_Fig2_HTML.jpg,758,418
PMC8163951,13555_2021_532_Fig1_HTML.jpg,758,753
PMC8163951,13555_2021_532_Fig3_HTML.jpg,758,814
PMC8569653,cureus-0013-00000018491-i01.jpg,750,563
PMC8627947,aps-2021-00857f2.jpg,731,314
PMC8627947,aps-2021-00857f5.jpg,733,643
PMC8627947,aps-2021-00857f1.jpg,737,644
PMC8627947,aps-2021-00857f3.jpg,733,311
PMC8627947,aps-2021-00857f4.jpg,734,312
PMC9116092,SJO-35-276-g001.jpg,497,586
PMC9116092,SJO-35-276-g002.jpg,510,945
PMC8778723,stlr-16-179-g002.jpg,706,480
PMC8778723,stlr-16-179-g007.jpg,700,250
PMC8778723,stlr-16-179-g005.jpg,794,271
PMC8778723,stlr-16-179-g006.jpg,677,250
PMC8778723,stlr-16-179-g001.jpg,700,237
PMC8778723,stlr-16-179-g004.jpg,718,750
PMC8778723,stlr-16-179-g003.jpg,700,233
PMC9516751,JWACS-11-33-g001.jpg,662,679
PMC9516751,JWACS-11-33-g004.jpg,787,340
PMC9516751,JWACS-11-33-g002.jpg,666,823
PMC9516751,JWACS-11-33-g003.jpg,666,367
PMC10335281,CCID-16-1765-g0001.jpg,750,566
PMC10335281,CCID-16-1765-g0002.jpg,750,657
PMC9272223,CCR3-10-e6000-g005.jpg,709,702
PMC9272223,CCR3-10-e6000-g001.jpg,120,120
PMC9272223,CCR3-10-e6000-g002.jpg,709,399
PMC9272223,CCR3-10-e6000-g004.jpg,709,279
PMC9272223,CCR3-10-e6000-g003.jpg,709,459
PMC6671882,autopsy-03-01015-g04.jpg,764,614
PMC6671882,autopsy-03-01015-g03.jpg,765,616
PMC6671882,autopsy-03-01015-g01.jpg,764,291
PMC6671882,autopsy-03-01015-g06.jpg,767,614
PMC6671882,autopsy-03-01015-g05.jpg,766,292
PMC6671882,autopsy-03-01015-g02.jpg,765,617
