pmid,pmcid,title,journal,insert_time
23407590,PMC3570222,An uncommon malignant cutaneous squamomelanocytic tumor.,Exp Ther Med,2023-12-17-22-14-23
23431466,PMC3574755,Dermoscopic features of facial pigmented skin lesions.,ISRN Dermatol,2023-12-17-22-14-23
23785596,PMC3663342,Extensive regression in pigmented skin lesions: a dangerous confounding feature.,Dermatol Pract Concept,2023-12-17-22-14-23
23785635,PMC3663380,Reflectance confocal microscopy: a useful and non-invasive tool in the in vivo differentiation of benign pigmented skin lesions from malignant melanoma. Report of a case.,Dermatol Pract Concept,2023-12-17-22-14-23
24282663,PMC3839831,The importance of gray color as a dermoscopic clue in facial pigmented lesion evaluation: a case report.,Dermatol Pract Concept,2023-12-17-22-14-23
24520512,PMC3919838,Large cell acanthoma: a debate throughout the decades.,Dermatol Pract Concept,2023-12-17-22-14-23
25184929,PMC4155968,Pigmented Bowen's disease.,An Bras Dermatol,2023-12-17-22-14-23
26082593,PMC4466289,Objective Evaluation of the Effect of Q-Switched Nd:YAG (532 nm) Laser on Solar Lentigo by Using a Colorimeter.,Ann Dermatol,2023-12-17-22-14-23
27182482,PMC4837936,Reviewing Challenges in the Diagnosis and Treatment of Lentigo Maligna and Lentigo-Maligna Melanoma.,Rare Cancers Ther,2023-12-17-22-14-23
27222769,PMC4866624,Chronology of lichen planus-like keratosis features by dermoscopy: a summary of 17 cases.,Dermatol Pract Concept,2023-12-17-22-14-23
27274625,PMC4884703,Skin Pigmentation and Pigmentary Disorders: Focus on Epidermal/Dermal Cross-Talk.,Ann Dermatol,2023-12-17-22-14-23
27314341,PMC4926481,The Effect of MCP-1/CCR2 on the Proliferation and Senescence of Epidermal Constituent Cells in Solar Lentigo.,Int J Mol Sci,2023-12-17-22-14-23
29201325,PMC5686313,The association between Solar Lentigines and Type-2 Diabetes.,Caspian J Intern Med,2023-12-17-22-14-23
29642438,PMC5979541,Sesamol Inhibited Melanogenesis by Regulating Melanin-Related Signal Transduction in B16F10 Cells.,Int J Mol Sci,2023-12-17-22-14-23
30214780,PMC6132099,Treatment of solar lentigines using a combination of picosecond laser and biophotonic treatment.,Clin Case Rep,2023-12-17-22-14-23
30479865,PMC6246060,A tiny facial pigmented macule: overcoming the diagnostic challenge.,Dermatol Pract Concept,2023-12-17-22-14-23
30800656,PMC6381907,Keratinocytic Malfunction as a Trigger for the Development of Solar Lentigines.,Dermatopathology (Basel),2023-12-17-22-14-23
31042723,PMC6493707,Efficacy of D-pigment dermocosmetic lightening product for solar lentigo lesions of the hand: A randomized controlled trial.,PLoS One,2023-12-17-22-14-23
31080677,PMC6475553,"Desmoplastic Melanoma Arising after 1,064 nm q-Switched Nd:YAG Laser of a Suspected Solar Lentigo.",Case Rep Dermatol Med,2023-12-17-22-14-23
31089372,PMC6487394,The Anti-melanogenesis Activities of Some Selected Red Macroalgae from Northern Coasts of the Persian Gulf.,Iran J Pharm Res,2023-12-17-22-14-23
31208110,PMC6631054,Identification of Risk Factors for Multiple Non-Melanoma Skin Cancers in Italian Kidney Transplant Recipients.,Medicina (Kaunas),2023-12-17-22-14-23
31357457,PMC6695993,Melanocyte Activation Mechanisms and Rational Therapeutic Treatments of Solar Lentigos.,Int J Mol Sci,2023-12-17-22-14-23
32314966,PMC7201316,Benefits of Teledermatology for Geriatric Patients: Population-Based Cross-Sectional Study.,J Med Internet Res,2023-12-17-22-14-23
32962063,PMC7551477,Jeju Magma-Seawater Inhibits α-MSH-Induced Melanogenesis via CaMKKβ-AMPK Signaling Pathways in B16F10 Melanoma Cells.,Mar Drugs,2023-12-17-22-14-23
33437950,PMC7788431,Teledermatology reduces dermatology referrals and improves access to specialists.,EClinicalMedicine,2023-12-17-22-14-23
34068076,PMC8152484,Citral-Containing Essential Oils as Potential Tyrosinase Inhibitors: A Bio-Guided Fractionation Approach.,Plants (Basel),2023-12-17-22-14-23
34123568,PMC8172037,Langerhans Cells as Morphologic Mimickers of Atypical Melanocytes on Reflectance Confocal Microscopy: A Case Report and Review of the Literature.,Dermatol Pract Concept,2023-12-17-22-14-23
34402537,PMC9291180,Treatment of facial and non-facial lentigines with a 730 nm picosecond titanium: Sapphire laser is safe and effective.,Lasers Surg Med,2023-12-17-22-14-23
34658136,PMC9297970,An Open-Label Study Assessing the Efficacy and Tolerability of a Skincare Regimen in Subjects of Different Ethnicities with Moderate-to-Severe Hyperpigmentation.,J Cosmet Dermatol,2023-12-17-22-14-23
34675579,PMC8504470,Diagnosis and Management of Melanoma of the Scalp: A Review of the Literature.,Clin Cosmet Investig Dermatol,2023-12-17-22-14-23
34698132,PMC8544362,Nanosecond Q-Switched 1064/532 nm Laser to Treat Hyperpigmentations: A Double Center Retrospective Study.,Clin Pract,2023-12-17-22-14-23
35024222,PMC8648420,Variability in the Histopathological Diagnosis of Non-Melanocytic Lesions Excised to Exclude Melanoma.,Dermatol Pract Concept,2023-12-17-22-14-23
35125879,PMC8808045,Treatment of Seborrheic Keratosis by High Frequency Focused Ultrasound - An Early Experience with 11 Consecutive Cases.,Clin Cosmet Investig Dermatol,2023-12-17-22-14-23
35322133,PMC8943071,Real-time high-resolution millimeter-wave imaging for in-vivo skin cancer diagnosis.,Sci Rep,2023-12-17-22-14-23
35898782,PMC9313960,A Machine Vision Approach for Classification of Skin Cancer Using Hybrid Texture Features.,Comput Intell Neurosci,2023-12-17-22-14-23
36062379,PMC10087502,Targeting SDF-1 as an efficient strategy to resolve skin hyperpigmentation issues with Himanthalia elongata extract.,J Cosmet Dermatol,2023-12-17-22-14-23
36534577,PMC9681183,Pigmented Macules on the Head and Neck: A Systematic Review of Dermoscopy Features.,Dermatol Pract Concept,2023-12-17-22-14-23
37196289,PMC10188172,Benign Keratosis: A Useful Term?,Dermatol Pract Concept,2023-12-17-22-14-23
37829750,PMC10565754,Demographic and clinical features of cutaneous malignant melanoma patients: A single center cohort study.,North Clin Istanb,2023-12-17-22-14-23
37992373,PMC10656182,Treatment Indications of Carbon Solution-Assisted Nd: YAG Laser According to Patient Satisfaction: A Retrospective Study.,Dermatol Pract Concept,2023-12-17-22-14-23
