pmcid,label,caption,graphic
PMC3570222,Figure 1.,"(A) A well-demarcated expansive nodule at the dermal-epidermal junction and within the dermis (original magnification, ×2). (B) Two different neoplastic cell proliferations were observed intermingling to exhibit a combination of nested growth patterns (original magnification, ×10). (C) The squamous component consisted of thin anastomosing epithelial cords and small whorled nests (original magnification, ×10). (D) Slight atypical squamous cells contained abundant eosinophilic cytoplasm and large, often hyperchromatic and vesicular nuclei (original magnification, ×40). (E) Epithelial proliferation formed a branch-like shape extending into the dermis and the basal layer was absent (original magnification, ×20). (F) Irregularly shaped nest of predominant atypical pigmented epithelioid cells (original magnification, ×20). (G) Single atypical melanocyte dispersed in the epidermis and mitotic figures were observed (original magnification, ×20). (H) Atypical epidermic basal cells lost polarity and presented larger, hyperchromatic and pleomorphic nuclei with mitosis (original magnification, ×40). (I) A lentigo was present with increased melanin in the basal layer (original magnification, ×10). Hematoxylin and eosin staining.",ETM-05-03-0897-g00
PMC3570222,Figure 2.,"(A) Immunohistochemistry revealed diffuse cytoplasmic reactivity for pancytokeratin (original magnification, ×20). (B) Antibodies directed to the nucleus and cytoplasm showed reactivity for HMB-45 (original magnification, ×10). (C) Specific staining for melanin expression revealed that melanin had disappeared from the tumor cells (original magnification, ×20). HMB45, Melanoma Marker.",ETM-05-03-0897-g01
PMC3663342,Figure 1,"(A) Clinical image showing a suspicious pigmented lesion on the arm of a 50-year-old man, who was recently diagnosed with metastatic melanoma of the ipsilateral axillary lymph nodes. (B) Diffuse granular pattern in the absence of melanoma-specific criteria in dermoscopy. Scar-like depigmented areas (black arrows) and a roundish ulceration (white arrow) can also be identified. (C, D) Histopathologic images showing prominent dermal fibrosis, increased vascularity and accumulation of melanophages (hematoxylin & eosin [H&E] ×10 magnification (C), H&E ×20 magnification (D)). [Copyright: ©2012 Lallas et al.]",dp0202a08g001
PMC3663342,Figure 2,"(A) Clinical image showing a fully regressed melanocytic nevus (arrow). (B) Dermoscopy reveals diffuse blue-gray granules, white areas and some telangiectatic vessels. Remnants of pigmented network can be observed at the upper right part of the lesion. (C, D) Scattered melanophages, prominent fibrosis and telangiectasias can be seen on histopathology, corresponding to the above-mentioned dermoscopic features (H&E ×20 magnification). [Copyright: ©2012 Lallas et al.]",dp0202a08g002
PMC3663342,Figure 3:,"(A, B) Clinical and dermoscopic aspect of a lichen planus-like keratosis exhibiting blue-gray granules, white areas and telangiectasias. No areas reminiscent of a solar lentigo or a seborrheic keratosis could be observed. (C, D) Histopathologically, the lesion is characterized by a band-like lymphocytic infiltrate, dermal fibrosis and abundant melanophages in the upper dermis (H&E ×10 magnification (C), H&E ×20 magnification (D)). [Copyright: ©2012 Lallas et al.]",dp0202a08g003
PMC3663380,Figure 1,"(A) Dermoscopy showed a light to dark brown homogenous-reticular pattern (insert; area within the dashed square at higher magnification) with focal gray-brown to gray-white areas. (B) On RCM, dense edged papillae (arrows) are observed at the basal layer at low magnification (1.5 × 1.5 mm). (C) At high magnification (0.5 × 0.5 mm), small bright, monomorphous cells are seen outlining dermal papillae of different sizes and shapes (arrows). (D) Cord-like structures (arrows) are displayed at the DEJ at low magnification (1.5 × 1.5 mm). (E) Bright, branching tubular structures (“cords,” arrows) are observed at the DEJ at high magnification (0.5 × 0.5 mm). Plump, bright cells are found within the upper dermis (arrowhead). (F) Histology showed epidermal hyperplasia characterized by thin strands of basaloid cells and basal hyperpigmentation without increase of melanocytes. In the superficial dermis, few melanophages and solar elastosis were present. [Copyright: ©2013 Hofmann-Wellenhof et al.]",dp0301a09g001
PMC3839831,Figure 1.,Clinical image of solitary flat pigmented lesion on the face. [Copyright: ©2013 Tiodorovic-Zivkovic et al.],dpc0304a09g001
PMC3839831,Figure 2.,Dermoscopic examination of the lesion showed striking gray color. [Copyright: ©2013 Tiodorovic-Zivkovic et al.],dpc0304a09g002
PMC3839831,Figure 3.,Histopathologic examination revealed an early lentigo maligna. [Copyright: ©2013 Tiodorovic-Zivkovic et al.],dpc0304a09g003
PMC4155968,FIGURE 1,"A 3cm, black plaque with well-defined edges, heterogeneous and keratotic
surface",abd-89-05-0825-g01
PMC4155968,FIGURE 2,"Dermoscopy shows asymmetry, well-defined edges with abrupt end, comedo-like
openings, fingerprint structures, a pigmented network, radial streaks, amorphous
areas with four distinct colors, a blue veil and brown dots in a regular
arrangement",abd-89-05-0825-g02
PMC4155968,FIGURE 3,"Well-defined area of hyperkeratosis, irregular acanthosis and inflammatory
infiltrate in the upper dermis (H & E)",abd-89-05-0825-g03
PMC4155968,FIGURE 4,"Melanophages and melanin pigment in the cytoplasm of atypical keratinocytes (H
& E)",abd-89-05-0825-g04
PMC4155968,FIGURE 5,"Epidermal disorganization due to hyperproliferation of atypical keratinocytes (H
& E)",abd-89-05-0825-g05
PMC3919838,Figure 1A.,A sharply demarcated patch on sun exposed skin. [Copyright: ©2014 Patsatsi et al.],dp0401a05g001a
PMC3919838,Figure 1B.,"Hyperorthokeratosis, enlarged keratinocytes without signs of atypical mitoses, increased number of melanocytes (H&E X40). [Copyright: ©2014 Patsatsi et al.]",dp0401a05g001b
PMC3919838,Figure 1C.,"A brown, “broken up” pseudonetwork, scattered gray, brown dots and foci of surface scale. [Copyright: ©2014 Patsatsi et al.]",dp0401a05g001c
PMC3574755,Figure 1,"(a) Seborrheic keratosis, temporal area (male, 67 years). (b) Same lesion dermoscopy: fissuring in the form of fingerprint-like structures around follicles, milia-like cysts, and comedo-like opening in the center of lesion. (c) Histopathology of seborrhoeic keratosis (acanthotic type) showing irregular epidermal hyperplasia mainly in the form of acanthosis (H&E ×200).",ISRN.DERMATOLOGY2013-546813.001
PMC3574755,Figure 2,"(a) Actinic keratosis, cheek zone (female, 58 years). (b) Same lesion dermoscopy: pseudonetwork, brown dots and globules, homogenous structureless pigmentation. (c) Actinic keratosis histopathology with epidermal acanthosis and parakeratosis. Keratinocytes show increased melanization and some disorganization with enlarged hyperchromatic pleomorphic nuclei. Solar elastosis is evident in the papillary dermis (H&E ×200).",ISRN.DERMATOLOGY2013-546813.002
PMC3574755,Figure 3,"Dermoscopy of actinic keratosis versus lentigo maligna. (a) Actinic keratosis, vascular pattern in the form of perifollicular crown (strawberry pattern) mixed with slightly visible pigment pseudonetwork. (b) Lentigo maligna dermoscopy; “strawberry pattern” is covered by pseudonetwork and homogenous structureless pigmentation.",ISRN.DERMATOLOGY2013-546813.003
