pmcid,figure_name,width,height
PMC3570222,ETM-05-03-0897-g00.jpg,708,317
PMC3570222,ETM-05-03-0897-g01.jpg,708,135
PMC3663342,dp0202a08g001.jpg,670,503
PMC3663342,dp0202a08g002.jpg,670,503
PMC3663342,dp0202a08g003.jpg,670,503
PMC3663380,dp0301a09g001.jpg,717,862
PMC3574755,ISRN.DERMATOLOGY2013-546813.001.jpg,600,1672
PMC3574755,ISRN.DERMATOLOGY2013-546813.003.jpg,600,886
PMC3574755,ISRN.DERMATOLOGY2013-546813.006.jpg,600,792
PMC3574755,ISRN.DERMATOLOGY2013-546813.002.jpg,600,1700
PMC3574755,ISRN.DERMATOLOGY2013-546813.007.jpg,600,886
PMC3574755,ISRN.DERMATOLOGY2013-546813.004.jpg,600,931
PMC3574755,ISRN.DERMATOLOGY2013-546813.005.jpg,600,1790
PMC3839831,dpc0304a09g001.jpg,800,600
PMC3839831,dpc0304a09g002.jpg,800,600
PMC3839831,dpc0304a09g003.jpg,800,533
PMC3919838,dp0401a05g001a.jpg,666,1192
PMC3919838,dp0401a05g001b.jpg,800,609
PMC3919838,dp0401a05g001c.jpg,800,600
PMC4155968,abd-89-05-0825-g02.jpg,600,775
PMC4155968,abd-89-05-0825-g03.jpg,600,339
PMC4155968,abd-89-05-0825-g05.jpg,600,405
PMC4155968,abd-89-05-0825-g04.jpg,600,405
PMC4155968,abd-89-05-0825-g01.jpg,600,311
PMC4837936,40487_2015_12_Fig1_HTML.jpg,598,304
PMC4837936,40487_2015_12_Fig3_HTML.jpg,598,824
PMC4837936,40487_2015_12_Fig2_HTML.jpg,661,493
PMC4466289,ad-27-326-g001.jpg,789,237
PMC4466289,ad-27-326-i001.jpg,1200,158
PMC4866624,dp0602a06i03.jpg,614,452
PMC4866624,dp0602a06g002b.jpg,666,500
PMC4866624,dp0602a06g006.jpg,666,500
PMC4866624,dp0602a06g002d.jpg,666,500
PMC4866624,dp0602a06g001c.jpg,800,1066
PMC4866624,dp0602a06i02.jpg,731,549
PMC4866624,dp0602a06g002c.jpg,666,500
PMC4866624,dp0602a06g001b.jpg,800,1066
PMC4866624,dp0602a06g003.jpg,666,500
PMC4866624,dp0602a06g001d.jpg,800,1066
PMC4866624,dp0602a06i04.jpg,731,549
PMC4866624,dp0602a06i01.jpg,731,549
PMC4866624,dp0602a06g007.jpg,666,500
PMC4866624,dp0602a06g002a.jpg,666,500
PMC4866624,dp0602a06g001a.jpg,800,1067
PMC4866624,dp0602a06i05.jpg,638,479
PMC4866624,dp0602a06g005.jpg,666,500
PMC4866624,dp0602a06g004.jpg,666,500
PMC5686313,cjim-8-317-g001.jpg,713,426
PMC4926481,ijms-17-00948-g006.jpg,790,582
PMC4926481,ijms-17-00948-g003.jpg,778,325
PMC4926481,ijms-17-00948-g007.jpg,797,459
PMC4926481,ijms-17-00948-g001.jpg,689,1352
PMC4926481,ijms-17-00948-g004.jpg,757,1034
PMC4926481,ijms-17-00948-g002.jpg,738,196
PMC4926481,ijms-17-00948-g005.jpg,732,346
PMC6132099,CCR3-6-1868-g001.jpg,709,679
PMC6246060,dp0804a15g002.jpg,650,487
PMC6246060,dp0804a15g003.jpg,650,487
PMC6246060,dp0804a15g001.jpg,650,487
PMC4884703,ad-28-279-g003.jpg,645,573
PMC4884703,ad-28-279-g002.jpg,680,597
PMC4884703,ad-28-279-g001.jpg,746,631
PMC6381907,dpa-0006-0001-g02.jpg,782,586
PMC6381907,dpa-0006-0001-g01.jpg,762,550
PMC6475553,CRIDM2019-3907671.002.jpg,552,348
PMC6475553,CRIDM2019-3907671.001.jpg,509,344
PMC6487394,ijpr-18-383-g002.jpg,746,433
PMC6487394,ijpr-18-383-g001.jpg,681,310
PMC6493707,pone.0214714.g008.jpg,668,468
PMC6493707,pone.0214714.g009.jpg,750,915
PMC6493707,pone.0214714.g010.jpg,800,1417
PMC6493707,pone.0214714.t001.jpg,783,212
PMC6493707,pone.0214714.g011.jpg,695,409
PMC6493707,pone.0214714.g007.jpg,660,464
PMC6493707,pone.0214714.g001.jpg,758,977
PMC6493707,pone.0214714.g004.jpg,750,751
PMC6493707,pone.0214714.g005.jpg,750,567
PMC6493707,pone.0214714.g006.jpg,664,464
PMC6493707,pone.0214714.g003.jpg,750,234
PMC6493707,pone.0214714.g002.jpg,745,1055
PMC6493707,pone.0214714.t002.jpg,750,483
PMC6695993,ijms-20-03666-g007.jpg,704,393
PMC6695993,ijms-20-03666-g005.jpg,694,425
PMC6695993,ijms-20-03666-g004.jpg,760,483
PMC6695993,ijms-20-03666-g006.jpg,734,444
PMC6695993,ijms-20-03666-g001.jpg,780,395
PMC6695993,ijms-20-03666-g009.jpg,770,353
PMC6695993,ijms-20-03666-g008.jpg,795,357
PMC6695993,ijms-20-03666-g003.jpg,722,398
PMC6695993,ijms-20-03666-g002.jpg,777,562
PMC7201316,jmir_v22i4e16700_fig1.jpg,800,530
PMC7201316,jmir_v22i4e16700_fig3.jpg,800,298
PMC7201316,jmir_v22i4e16700_fig2.jpg,799,436
PMC7788431,gr6.jpg,791,427
PMC7788431,gr2.jpg,760,574
PMC7788431,gr4.jpg,781,413
