pmid,pmcid,title,journal,insert_time,has_targz
21689466,PMC3141690,Hemangioma related to Maffucci syndrome in a man: a case report.,J Med Case Rep,2023-12-17-22-16-32,True
22057234,PMC3427908,Somatic mosaic IDH1 and IDH2 mutations are associated with enchondroma and spindle cell hemangioma in Ollier disease and Maffucci syndrome.,Nat Genet,2023-12-17-22-16-32,True
24917896,PMC4005419,Maffucci syndrome.,Eplasty,2023-12-17-22-16-32,True
26980977,PMC4774302,Spindle cell hemangioma: Unusual presentation of an uncommon tumor.,J Oral Maxillofac Pathol,2023-12-17-22-16-32,True
27642429,PMC5012810,[Spindle-shaped hemangioma: an unusual location].,Pan Afr Med J,2023-12-17-22-16-32,True
29242801,PMC5728006,Spindle Cell Hemangioma of the Midfoot: A Case Report.,J Orthop Case Rep,2023-12-17-22-16-32,True
29445571,PMC5808368,Immunoreactivity of Wilms tumor 1 (WT1) as an additional evidence supporting hemangiomatous rather than inflammatory origin in the etiopathogenesis of angiolymphoid hyperplasia with eosinophilia.,Dermatol Pract Concept,2023-12-17-22-16-32,True
29780644,PMC5892276,Spindle Cell Hemangioma in the Mucosa of the Upper Lip: A Case Report and Review of the Literature.,Case Rep Dent,2023-12-17-22-16-32,True
30817572,PMC6831269,Spindle cell hemangioma of the spleen: A case report.,Medicine (Baltimore),2023-12-17-22-16-32,True
31046794,PMC6498687,Multiple spindle cell hemangiomas in both lungs: a rare case report and review of the literature.,J Cardiothorac Surg,2023-12-17-22-16-32,True
33310467,PMC7736763,Spindle cell hemangioma in the infratemporal fossa: A unique case report.,Int J Surg Case Rep,2023-12-17-22-16-32,True
33546375,PMC7913579,Spindle Cell Hemangioma and Atypically Localized Juxtaglomerular Cell Tumor in a Patient with Hereditary BRIP1 Mutation: A Case Report.,Genes (Basel),2023-12-17-22-16-32,True
34588213,PMC8751415,Somatic IDH1 variant (p.R132C) in an adult male with Maffucci syndrome.,Cold Spring Harb Mol Case Stud,2023-12-17-22-16-32,True
34805052,PMC8600265,Successful Outcome After Intralesional Curettage for Spindle Cell Hemangioma of Fibula in an Infant: A Case Report.,Front Pediatr,2023-12-17-22-16-32,True
35042566,PMC8764769,Cell-free DNA from plasma as a promising alternative for detection of gene mutations in patients with Maffucci syndrome.,Hereditas,2023-12-17-22-16-32,True
35059093,PMC8760178,Rare spindle cell hemangioma of bone: Case report and literature review.,Radiol Case Rep,2023-12-17-22-16-32,True
35178307,PMC8842454,Spindle Cell Hemangioma of the Lung: A Case Report.,Cureus,2023-12-17-22-16-32,True
36258695,PMC9574603,Spindle cell hemangioma of the lung: An unusual presentation.,Respirol Case Rep,2023-12-17-22-16-32,True
37496923,PMC10366422,A case of extramedullary subdural spindle cell hemangioendothelioma of the thoracic spinal cord treated curatively with radiation therapy.,Heliyon,2023-12-17-22-16-32,True
38074056,PMC10708950,A Rare Case of Spindle Cell Hemangioma in the Palmar Region.,Cureus,2023-12-17-22-16-32,False
