pmcid,label,caption,graphic
PMC4005419,Figure 1,Multiple hemangiomas causing painful and unsightly soft tissue swelling.,eplasty14ic11_fig1
PMC4005419,Figure 2,Radiograph demonstrating multiple enchondromas and bony deformation.,eplasty14ic11_fig2
PMC4005419,Figure 3,Surgical excision of digital hemangioma.,eplasty14ic11_fig3
PMC3141690,Figure 1,Macroscopic findings of the lesion. (A) The lesion had a serpentine appearance. (B) The cut surface of the lesion. It had a blackish area filled with blood and a whitish area.,1752-1947-5-224-1
PMC3141690,Figure 2,"Microscopic image showing the lesion. (A) Cavernous hemangiomatous component (hematoxylin and eosin stain; original magnification, ×100). (B) Component of spindle cell hemangioma (hematoxylin and eosin stain; original magnification, ×100). (C) Sheets of vacuolated cells (hematoxylin and eosin stain; original magnification, ×200).",1752-1947-5-224-2
PMC5012810,Figure 1,Nodule sous cutané de la mandibule,PAMJ-24-90-g001
PMC5012810,Figure 2,Nodules sous cutané du bras gauche,PAMJ-24-90-g002
PMC5012810,Figure 3,Nodule sous cutané du bras gauche,PAMJ-24-90-g003
PMC5012810,Figure 4,Nodule sous cutané de la cuisse gauche,PAMJ-24-90-g004
PMC5012810,Figure 5,Faible grossissement thrombose remanié,PAMJ-24-90-g005
PMC5012810,Figure 6,Aspect histologique,PAMJ-24-90-g006
PMC4774302,Figure 1,Clinical pictures showing the large well-circumscibed swelling in the inferolateral orbit,JOMFP-19-406b-g001
PMC4774302,Figure 2,Computed tomography scan showing multilobulated heterogeneously enhancing mixed density mass in the inferior-lateral orbit,JOMFP-19-406b-g002
PMC4774302,Figure 3,"A section showing thin-walled cavernous vessels lined by flattened endothelial cells and containing a mixture of erythrocytes and thrombi (H&E stain, x100)",JOMFP-19-406b-g003
PMC4774302,Figure 4,"Photomicrograph showing multiple thin-walled vascular channels within spindled stroma that also appears vacuolated (H&E stain, x40)",JOMFP-19-406b-g004
PMC4774302,Figure 5,"Photomicrograph showing spindled stroma that also appears vacuolated. Some epithelioid cells can be noted in the section (H&E stain, x200)",JOMFP-19-406b-g005
PMC4774302,Figure 6,"Photomicrograph showing +3 positivity for CD34 vascular immunohistochemical marker (IHC stain, x40)",JOMFP-19-406b-g006
