pmcid,figure_name,width,height
PMC4005419,eplasty14ic11_fig2.jpg,761,508
PMC4005419,eplasty14ic11_fig1.jpg,572,858
PMC4005419,eplasty14ic11_fig3.jpg,766,514
PMC3141690,1752-1947-5-224-1.jpg,600,908
PMC3141690,1752-1947-5-224-2.jpg,600,1401
PMC4774302,JOMFP-19-406b-g008.jpg,539,284
PMC4774302,JOMFP-19-406b-g005.jpg,727,587
PMC4774302,JOMFP-19-406b-g003.jpg,746,587
PMC4774302,JOMFP-19-406b-g002.jpg,539,295
PMC4774302,JOMFP-19-406b-g001.jpg,539,296
PMC4774302,JOMFP-19-406b-g006.jpg,780,587
PMC4774302,JOMFP-19-406b-g007.jpg,539,232
PMC4774302,JOMFP-19-406b-g004.jpg,609,586
PMC5012810,PAMJ-24-90-g002.jpg,440,419
PMC5012810,PAMJ-24-90-g006.jpg,531,414
PMC5012810,PAMJ-24-90-g004.jpg,362,495
PMC5012810,PAMJ-24-90-g001.jpg,527,451
PMC5012810,PAMJ-24-90-g005.jpg,600,439
PMC5012810,PAMJ-24-90-g003.jpg,428,394
PMC5808368,dp0801a06g001.jpg,800,1181
PMC5808368,dp0801a06g002.jpg,800,1181
PMC5808368,dp0801a06g003.jpg,720,565
PMC5728006,JOCR-7-75-g002.jpg,216,288
PMC5728006,JOCR-7-75-g005.jpg,606,102
PMC5728006,JOCR-7-75-g006.jpg,606,124
PMC5728006,JOCR-7-75-g004.jpg,606,102
PMC5728006,JOCR-7-75-g003.jpg,606,101
PMC5728006,JOCR-7-75-g001.jpg,510,346
PMC6831269,medi-98-e14555-g004.jpg,800,158
PMC6831269,medi-98-e14555-g003.jpg,800,249
PMC6831269,medi-98-e14555-g002.jpg,800,201
PMC6831269,medi-98-e14555-g001.jpg,800,157
PMC6498687,13019_2019_906_Fig4_HTML.jpg,787,598
PMC6498687,13019_2019_906_Fig3_HTML.jpg,787,597
PMC6498687,13019_2019_906_Fig2_HTML.jpg,596,366
PMC6498687,13019_2019_906_Fig1_HTML.jpg,709,344
PMC6498687,13019_2019_906_Fig5_HTML.jpg,787,288
PMC3427908,nihms389420f3.jpg,800,427
PMC3427908,nihms389420f2.jpg,731,840
PMC3427908,nihms389420f1.jpg,706,855
PMC5892276,CRID2018-1370701.009.jpg,750,343
PMC5892276,CRID2018-1370701.002.jpg,738,1751
PMC5892276,CRID2018-1370701.007.jpg,767,344
PMC5892276,CRID2018-1370701.006.jpg,750,343
PMC5892276,CRID2018-1370701.004.jpg,750,617
PMC5892276,CRID2018-1370701.008.jpg,750,344
PMC5892276,CRID2018-1370701.005.jpg,769,1930
PMC5892276,CRID2018-1370701.001.jpg,750,600
PMC5892276,CRID2018-1370701.003.jpg,750,505
PMC7736763,gr6.jpg,754,567
PMC7736763,gr2.jpg,754,853
PMC7736763,gr4.jpg,754,925
PMC7736763,gr3.jpg,754,592
PMC7736763,gr5.jpg,754,567
PMC7736763,gr1.jpg,754,755
PMC7736763,gr7.jpg,754,567
PMC8600265,fped-09-767927-g0002.jpg,637,279
PMC8600265,fped-09-767927-g0004.jpg,606,1516
PMC8600265,fped-09-767927-g0003.jpg,656,321
PMC8600265,fped-09-767927-g0001.jpg,638,1583
PMC8751415,MCS006127Bro_F2.jpg,719,472
PMC8751415,MCS006127Bro_F1.jpg,787,300
PMC8764769,41065_2022_223_Fig1_HTML.jpg,777,452
PMC8842454,cureus-0014-00000021191-i02.jpg,750,506
PMC8842454,cureus-0014-00000021191-i01.jpg,750,403
PMC8760178,gr2.jpg,762,767
PMC8760178,gr3.jpg,750,799
PMC8760178,gr1.jpg,762,770
PMC9574603,RCR2-10-e01057-g001.jpg,614,416
PMC9574603,RCR2-10-e01057-g002.jpg,614,895
PMC9574603,RCR2-10-e01057-g003.jpg,197,133
PMC10366422,gr2.jpg,789,300
PMC10366422,gr1.jpg,789,353
PMC7913579,genes-12-00220-g001.jpg,724,957
PMC7913579,genes-12-00220-g003.jpg,714,526
PMC7913579,genes-12-00220-g002.jpg,746,493
