pmid,pmcid,title,journal,insert_time,label,caption,graphic
21689466,PMC3141690,Hemangioma related to Maffucci syndrome in a man: a case report.,J Med Case Rep,2023-12-17-22-16-32,Figure 1,Macroscopic findings of the lesion. (A) The lesion had a serpentine appearance. (B) The cut surface of the lesion. It had a blackish area filled with blood and a whitish area.,1752-1947-5-224-1
21689466,PMC3141690,Hemangioma related to Maffucci syndrome in a man: a case report.,J Med Case Rep,2023-12-17-22-16-32,Figure 2,"Microscopic image showing the lesion. (A) Cavernous hemangiomatous component (hematoxylin and eosin stain; original magnification, ×100). (B) Component of spindle cell hemangioma (hematoxylin and eosin stain; original magnification, ×100). (C) Sheets of vacuolated cells (hematoxylin and eosin stain; original magnification, ×200).",1752-1947-5-224-2
22057234,PMC3427908,Somatic mosaic IDH1 and IDH2 mutations are associated with enchondroma and spindle cell hemangioma in Ollier disease and Maffucci syndrome.,Nat Genet,2023-12-17-22-16-32,Figure 1,"Frequency of IDH1 and IDH2 mutationsa) Distribution of the different R132 IDH1 and R172 IDH2 mutations among the patients with Ollier disease, Maffucci syndrome and solitary tumors. b) Frequency of somatic heterozygous IDH (IDH1 and IDH2) mutations in tumors of patients with Ollier disease and Maffucci syndrome, in comparison with different subtypes of solitary cartilaginous tumors and angiosarcomas.",nihms389420f1
22057234,PMC3427908,Somatic mosaic IDH1 and IDH2 mutations are associated with enchondroma and spindle cell hemangioma in Ollier disease and Maffucci syndrome.,Nat Genet,2023-12-17-22-16-32,Figure 2,"Immunohistochemistry for R132H IDH1 mutant proteina,b) Enchondroma (L1490) of patient with Ollier disease demonstrating strong cytoplasmic and nuclear staining of R132H IDH1 mutant protein. Note the mixture of wild-type and mutated cells indicating intraneoplastic mosaicism. Overall the percentage of positive tumor cells ranged from 50% to 95%. Insets show vitality of the negative cells at higher magnification. c) Grade II chondrosarcoma negative for R132H IDH1 mutant protein. d and e) Enchondromas from patients with Ollier disease demonstrating occasional positive cells in the surrounding normal bone. Some positive osteocytes (arrows) and osteoblasts (arrowheads) are seen. T: tumor tissue. (Magnification 400×)",nihms389420f2
22057234,PMC3427908,Somatic mosaic IDH1 and IDH2 mutations are associated with enchondroma and spindle cell hemangioma in Ollier disease and Maffucci syndrome.,Nat Genet,2023-12-17-22-16-32,Figure 3,"CpG island Methylator Phenotype in enchondromas with IDH1 mutationsHeatmap depicting unsupervised clustering analysis based on the 2000 most variable CpG sites of enchondromas with IDH1 mutations (orange, n = 8) and without IDH1 mutation (gray, n=4). The level of DNA methylation (beta value) for each probe (columns) in each sample (rows) is represented by color scale as shown in the picture ranging from 0 (0% methylation, blue) to 1 (100% methylation, yellow). Asterisk indicates sample L2357 in which the R132G IDH1 mutant allele was detected in a subpopulation of cells. However, the mutation escaped detection at Sanger sequencing, and therefore the sample is labeled “wild-type”.",nihms389420f3
24917896,PMC4005419,Maffucci syndrome.,Eplasty,2023-12-17-22-16-32,Figure 1,Multiple hemangiomas causing painful and unsightly soft tissue swelling.,eplasty14ic11_fig1
24917896,PMC4005419,Maffucci syndrome.,Eplasty,2023-12-17-22-16-32,Figure 2,Radiograph demonstrating multiple enchondromas and bony deformation.,eplasty14ic11_fig2
24917896,PMC4005419,Maffucci syndrome.,Eplasty,2023-12-17-22-16-32,Figure 3,Surgical excision of digital hemangioma.,eplasty14ic11_fig3
26980977,PMC4774302,Spindle cell hemangioma: Unusual presentation of an uncommon tumor.,J Oral Maxillofac Pathol,2023-12-17-22-16-32,Figure 1,Clinical pictures showing the large well-circumscibed swelling in the inferolateral orbit,JOMFP-19-406b-g001
26980977,PMC4774302,Spindle cell hemangioma: Unusual presentation of an uncommon tumor.,J Oral Maxillofac Pathol,2023-12-17-22-16-32,Figure 2,Computed tomography scan showing multilobulated heterogeneously enhancing mixed density mass in the inferior-lateral orbit,JOMFP-19-406b-g002
26980977,PMC4774302,Spindle cell hemangioma: Unusual presentation of an uncommon tumor.,J Oral Maxillofac Pathol,2023-12-17-22-16-32,Figure 3,"A section showing thin-walled cavernous vessels lined by flattened endothelial cells and containing a mixture of erythrocytes and thrombi (H&E stain, x100)",JOMFP-19-406b-g003
26980977,PMC4774302,Spindle cell hemangioma: Unusual presentation of an uncommon tumor.,J Oral Maxillofac Pathol,2023-12-17-22-16-32,Figure 4,"Photomicrograph showing multiple thin-walled vascular channels within spindled stroma that also appears vacuolated (H&E stain, x40)",JOMFP-19-406b-g004
26980977,PMC4774302,Spindle cell hemangioma: Unusual presentation of an uncommon tumor.,J Oral Maxillofac Pathol,2023-12-17-22-16-32,Figure 5,"Photomicrograph showing spindled stroma that also appears vacuolated. Some epithelioid cells can be noted in the section (H&E stain, x200)",JOMFP-19-406b-g005
26980977,PMC4774302,Spindle cell hemangioma: Unusual presentation of an uncommon tumor.,J Oral Maxillofac Pathol,2023-12-17-22-16-32,Figure 6,"Photomicrograph showing +3 positivity for CD34 vascular immunohistochemical marker (IHC stain, x40)",JOMFP-19-406b-g006
26980977,PMC4774302,Spindle cell hemangioma: Unusual presentation of an uncommon tumor.,J Oral Maxillofac Pathol,2023-12-17-22-16-32,Figure 7,En-bloc dissection of the well-circumscribed mass,JOMFP-19-406b-g007
26980977,PMC4774302,Spindle cell hemangioma: Unusual presentation of an uncommon tumor.,J Oral Maxillofac Pathol,2023-12-17-22-16-32,Figure 8,Clinical picture at follow-up showing no evidence of recurrence,JOMFP-19-406b-g008
27642429,PMC5012810,[Spindle-shaped hemangioma: an unusual location].,Pan Afr Med J,2023-12-17-22-16-32,Figure 1,Nodule sous cutané de la mandibule,PAMJ-24-90-g001
27642429,PMC5012810,[Spindle-shaped hemangioma: an unusual location].,Pan Afr Med J,2023-12-17-22-16-32,Figure 2,Nodules sous cutané du bras gauche,PAMJ-24-90-g002
27642429,PMC5012810,[Spindle-shaped hemangioma: an unusual location].,Pan Afr Med J,2023-12-17-22-16-32,Figure 3,Nodule sous cutané du bras gauche,PAMJ-24-90-g003
27642429,PMC5012810,[Spindle-shaped hemangioma: an unusual location].,Pan Afr Med J,2023-12-17-22-16-32,Figure 4,Nodule sous cutané de la cuisse gauche,PAMJ-24-90-g004
27642429,PMC5012810,[Spindle-shaped hemangioma: an unusual location].,Pan Afr Med J,2023-12-17-22-16-32,Figure 5,Faible grossissement thrombose remanié,PAMJ-24-90-g005
27642429,PMC5012810,[Spindle-shaped hemangioma: an unusual location].,Pan Afr Med J,2023-12-17-22-16-32,Figure 6,Aspect histologique,PAMJ-24-90-g006
29242801,PMC5728006,Spindle Cell Hemangioma of the Midfoot: A Case Report.,J Orthop Case Rep,2023-12-17-22-16-32,Figure 1,"Pre-operative clinical presentation of the firm, fixed, non-tender mass on the dorsum of the midfoot.",JOCR-7-75-g001
29242801,PMC5728006,Spindle Cell Hemangioma of the Midfoot: A Case Report.,J Orthop Case Rep,2023-12-17-22-16-32,Figure 2,Pronator oblique radiograph of the foot showing a pressure erosion in the base of the 2nd and 3rd metatarsal and cuneiforms bones (black arrows). Phleboliths are noted (white arrow).,JOCR-7-75-g002
29242801,PMC5728006,Spindle Cell Hemangioma of the Midfoot: A Case Report.,J Orthop Case Rep,2023-12-17-22-16-32,Figure 3,"Sagittal magnetic resonance imaging on a T1-weighted image (a), T2-weighted image (b), and post-contrast T1-weighted image with fat suppression (c) showing a lobulated mass in the middle and lateral cuneiforms and bases of the 2nd and 3rd metatarsal bones (arrowhead) which insinuates into the surrounding muscles (arrow). The mass appeared bright on T2-weighted image and enhanced parallel to the blood vessel (open arrow) in a postcontrast study.",JOCR-7-75-g003
29242801,PMC5728006,Spindle Cell Hemangioma of the Midfoot: A Case Report.,J Orthop Case Rep,2023-12-17-22-16-32,Figure 4,"Dorsal approach is showing wide excision and a firm, well-circumscribed mass 3.5 cm in length.",JOCR-7-75-g004
29242801,PMC5728006,Spindle Cell Hemangioma of the Midfoot: A Case Report.,J Orthop Case Rep,2023-12-17-22-16-32,Figure 5,"Histological findings showing dilated blood vessels in a bony cortex and medulla (magnification 40×, hematoxylin and eosin) (a), an area of typical hemangioma consisting of numerous variable sized thin-walled blood vessels (magnification 400×, hematoxylin and eosin) (b), a cellular area revealing bland spindle cells, resembling Kaposi sarcoma (magnification 400×, hematoxylin and eosin) (c) and some endothelial cells showing epithelioid features with cytoplasmic vacuolation (magnification 400×, hematoxylin and eosin) (d).",JOCR-7-75-g005
29242801,PMC5728006,Spindle Cell Hemangioma of the Midfoot: A Case Report.,J Orthop Case Rep,2023-12-17-22-16-32,Figure 6,"Clinical (a) and radiographs (b and c) at 24-month post-surgery, showing the good shape of the foot arch and the healing bone without recurrence.",JOCR-7-75-g006
29445571,PMC5808368,Immunoreactivity of Wilms tumor 1 (WT1) as an additional evidence supporting hemangiomatous rather than inflammatory origin in the etiopathogenesis of angiolymphoid hyperplasia with eosinophilia.,Dermatol Pract Concept,2023-12-17-22-16-32,Figure 1,Histopathologic panoramic view of ALHE (hematoxylin and eosin stain) (a) and positive staining pattern for WT1 (b) on low power magnification.,dp0801a06g001
29445571,PMC5808368,Immunoreactivity of Wilms tumor 1 (WT1) as an additional evidence supporting hemangiomatous rather than inflammatory origin in the etiopathogenesis of angiolymphoid hyperplasia with eosinophilia.,Dermatol Pract Concept,2023-12-17-22-16-32,Figure 2,Details of the same specimen with epithelioid endothelial cells showing characteristic cytoplasmic vacuoles and associated eosinophilic and lymphocytic inflammation (a) Intracytoplasmic staining pattern for WT1 is identified on high power magnification revealing a strong staining intensity (b).,dp0801a06g002
29445571,PMC5808368,Immunoreactivity of Wilms tumor 1 (WT1) as an additional evidence supporting hemangiomatous rather than inflammatory origin in the etiopathogenesis of angiolymphoid hyperplasia with eosinophilia.,Dermatol Pract Concept,2023-12-17-22-16-32,Figure 3,The lack of staining with GLUT1 in endothelial cells (arrows). Erythrocytes in blood vessels serve as the positive control.,dp0801a06g003
29780644,PMC5892276,Spindle Cell Hemangioma in the Mucosa of the Upper Lip: A Case Report and Review of the Literature.,Case Rep Dent,2023-12-17-22-16-32,Figure 1,Clinical finding before surgery.,CRID2018-1370701.001
29780644,PMC5892276,Spindle Cell Hemangioma in the Mucosa of the Upper Lip: A Case Report and Review of the Literature.,Case Rep Dent,2023-12-17-22-16-32,Figure 2,MRI findings. (a) T1-weighted image. (b) T2-weighted image.,CRID2018-1370701.002
29780644,PMC5892276,Spindle Cell Hemangioma in the Mucosa of the Upper Lip: A Case Report and Review of the Literature.,Case Rep Dent,2023-12-17-22-16-32,Figure 3,Excised tumor: lateral view.,CRID2018-1370701.003
29780644,PMC5892276,Spindle Cell Hemangioma in the Mucosa of the Upper Lip: A Case Report and Review of the Literature.,Case Rep Dent,2023-12-17-22-16-32,Figure 4,Clinical finding 6 months after surgery.,CRID2018-1370701.004
29780644,PMC5892276,Spindle Cell Hemangioma in the Mucosa of the Upper Lip: A Case Report and Review of the Literature.,Case Rep Dent,2023-12-17-22-16-32,Figure 5,"(a) Well-defined submucosal mass with cavernous spaces, solid areas, and number of thrombi. (hematoxylin and eosin stain, original magnification ×5). (b) Irregular cavernous spaces lined by flat endothelial cells. (hematoxylin and eosin stain, original magnification ×100). (c) The spindle-shaped cells in solid areas. (hematoxylin and eosin stain, original magnification ×100).",CRID2018-1370701.005
29780644,PMC5892276,Spindle Cell Hemangioma in the Mucosa of the Upper Lip: A Case Report and Review of the Literature.,Case Rep Dent,2023-12-17-22-16-32,Figure 6,"(a) Cavernous area (vimentin, original magnification ×100). Most endothelial cells around blood vessels in cavernous area strongly reacted. (b) Solid area (vimentin, original magnification ×200). Spindle cells and epithelioid in solid area are strongly positive.",CRID2018-1370701.006
29780644,PMC5892276,Spindle Cell Hemangioma in the Mucosa of the Upper Lip: A Case Report and Review of the Literature.,Case Rep Dent,2023-12-17-22-16-32,Figure 7,"(a) Cavernous area (CD34, original magnification ×100). Most endothelial cells around vessels in cavernous space are positive. (b) Solid area (CD34, original magnification ×200). Spindle cells in solid area are focally positive.",CRID2018-1370701.007
29780644,PMC5892276,Spindle Cell Hemangioma in the Mucosa of the Upper Lip: A Case Report and Review of the Literature.,Case Rep Dent,2023-12-17-22-16-32,Figure 8,"(a) Cavernous area (SMA, original magnification ×100). Most endothelial cells around vessels are positive. (b) Solid area (SMA, original magnification ×200). Spindle cells in solid area are focally positive.",CRID2018-1370701.008
29780644,PMC5892276,Spindle Cell Hemangioma in the Mucosa of the Upper Lip: A Case Report and Review of the Literature.,Case Rep Dent,2023-12-17-22-16-32,Figure 9,"(a) Cavernous area (WT-1, original magnification ×100). Endothelial cells are strongly positive in cavernous area. (b) Solid area (WT-1, original magnification ×200). Spindle cells in solid area are focally positive.",CRID2018-1370701.009
