pmid,pmcid,title,journal,insert_time,has_targz,disease
16859566,PMC1557590,Breast spindle cell tumours: about eight cases.,Diagn Pathol,2023-12-17-21-58-17,True,NotMatch
18521440,PMC2408370,AP2 protein expression as a diagnostic marker in soft tissue tumours.,Sarcoma,2023-12-17-21-58-17,True,NotMatch
19644547,PMC2715461,Cellular angiofibroma of oral mucosa: report of two cases.,Head Neck Pathol,2023-12-17-21-58-17,True,NotMatch
20508829,PMC2876251,Left supraclavicular spindle cell lipoma.,Int J Otolaryngol,2023-12-17-21-58-17,True,Match
21739018,PMC9443713,Spindle cell lipoma of the anterior triangle of the neck: a rare entity.,Braz J Otorhinolaryngol,2023-12-17-21-58-17,True,Match
21850199,PMC3156996,Spindle cell lipoma of the hypopharynx.,Int J Med Sci,2023-12-17-21-58-17,True,Match
22649349,PMC3362239,A rare presentation of conjunctival myxoma with pain and redness: case report and literature review.,Case Rep Ophthalmol,2023-12-17-21-58-17,True,NotMatch
23109990,PMC3479776,Diagnostic Value of MDM2 and DDIT3 Fluorescence In Situ Hybridization in Liposarcoma Classification: A Single-Institution Experience.,Korean J Pathol,2023-12-17-21-58-17,True,NotMatch
23148444,PMC3584920,Pleomorphic lipoma lacking mature fat component in extensive myxoid stroma: a great diagnostic challenge.,Diagn Pathol,2023-12-17-21-58-17,True,NotMatch
23326743,PMC3541572,Dysphagia caused by spindle cell lipoma of hypopharynx: presentation of clinical case and literature review.,Case Rep Otolaryngol,2023-12-17-21-58-17,True,Match
23661944,PMC3643365,Spindle cell lipoma masquerading as lipomatous pleomorphic adenoma: A diagnostic dilemma on fine needle aspiration cytology.,J Cytol,2023-12-17-21-58-17,True,Match
23741588,PMC3673352,A rare case of spindle cell lipoma of nose.,J Surg Tech Case Rep,2023-12-17-21-58-17,True,Match
23786924,PMC3691642,A case of 'fat-free' pleomorphic lipoma occurring in the upper back and axilla simultaneously.,World J Surg Oncol,2023-12-17-21-58-17,True,NotMatch
23798855,PMC3687177,Spindle cell lipoma of the tongue: A case report of unusual occurrence.,J Oral Maxillofac Pathol,2023-12-17-21-58-17,True,Match
24396463,PMC3881198,Angiomyofibroblastoma-like tumor of the scrotum: A case report and literature review.,Oncol Lett,2023-12-17-21-58-17,True,NotMatch
24459597,PMC3891609,Myofibroblastoma of the female breast with admixed but distinct foci of spindle cell lipoma: a case report.,Case Rep Pathol,2023-12-17-21-58-17,True,Match
24556953,PMC4170152,Spindle cell lipoma of the mandibular mucogingival junction: a case report of unusual oral neoplasm.,Int J Oral Sci,2023-12-17-21-58-17,True,Match
24843246,PMC4023060,"RE: ""Fat-free"" spindle cell lipoma in retropharynx.",Korean J Radiol,2023-12-17-21-58-17,True,Match
25105048,PMC4102028,Cellular angiofibroma of the prostate: a rare tumor in an unusual location.,Case Rep Pathol,2023-12-17-21-58-17,True,NotMatch
25422813,PMC4236705,A rare case of spindle cell lipoma of broad ligament presenting as a pelvic mass.,South Asian J Cancer,2023-12-17-21-58-17,True,Match
25621027,PMC4301481,Intramuscular dendritic fibromyxolipoma in a 24-year-old male: A case report and review of the literature.,Oncol Lett,2023-12-17-21-58-17,True,NotMatch
25815220,PMC4359822,Rare occurrence of lip spindle cell lipoma.,Case Rep Oncol Med,2023-12-17-21-58-17,True,Match
25839893,PMC4894806,"""Low-Fat"" Pseudoangiomatous Spindle Cell Lipoma: A Rare Variant With Loss of 13q14 Region.",Am J Dermatopathol,2023-12-17-21-58-17,True,Match
25878917,PMC4387938,Spindle cell lipoma of the soft palate.,Case Rep Otolaryngol,2023-12-17-21-58-17,True,Match
25880875,PMC4340779,Intramuscular spindle cell lipoma of the deltoid: a case report.,J Med Case Rep,2023-12-17-21-58-17,True,Match
25937736,PMC4405967,Cellular infiltrative angiolipoma of cheek in an infant.,Natl J Maxillofac Surg,2023-12-17-21-58-17,True,NotMatch
26187500,PMC4506619,Cellular angiofibroma in women: a review of the literature.,Diagn Pathol,2023-12-17-21-58-17,True,NotMatch
26491592,PMC4605228,Spindle Cell Lipoma Occurring in the Buccal Mucosa: An Unusual Location of This Benign Lipomatous Neoplasm.,Case Rep Pathol,2023-12-17-21-58-17,True,Match
26588344,PMC4894800,Folliculosebaceous Cystic Hamartoma With Spindle Cell Lipoma-Like Stromal Features.,Am J Dermatopathol,2023-12-17-21-58-17,True,Match
26615969,PMC4671403,Oral Spindle Cell Lipoma in a Rare Location: A Differential Diagnosis.,Am J Case Rep,2023-12-17-21-58-17,True,Match
26893975,PMC4727702,Spindle Cell Lipoma of the Neck: Review of the Literature and Case Report.,Plast Reconstr Surg Glob Open,2023-12-17-21-58-17,True,Match
27047922,PMC4772937,Nodular Mucinosis of the Breast in a Male: Reassessment of Diagnostic Criteria and Proposal for Its Classification as a Soft Tissue Tumor in the Myofibroblastoma and Spindle Cell Lipoma Spectrum.,Dermatopathology (Basel),2023-12-17-21-58-17,True,Match
27088022,PMC4819089,Lipoma of the Thumb: Spindle Cell Subtype.,Case Rep Orthop,2023-12-17-21-58-17,True,NotMatch
27271111,PMC5042894,Mammary-Type Myofibroblastoma: A Report of Two Cases.,J Pathol Transl Med,2023-12-17-21-58-17,True,NotMatch
28078157,PMC5203870,Dendritic Fibromyxolipoma of the Pyriform Sinus: A Case Report and Review of the Literature.,Case Rep Pathol,2023-12-17-21-58-17,True,NotMatch
28193293,PMC5307663,Loss of chromosome 13 material in cellular angiofibromas indicates pathogenetic similarity with spindle cell lipomas.,Diagn Pathol,2023-12-17-21-58-17,True,Match
28887603,PMC6132820,Molecular Signature of Tumors with Monoallelic 13q14 Deletion: a Case Series of Spindle Cell Lipoma and Genetically-Related Tumors Demonstrating a Link Between FOXO1 Status and p38 MAPK Pathway.,Pathol Oncol Res,2023-12-17-21-58-17,True,Match
28913200,PMC5556811,"Spindle Cell Lipoma: A Rare, Misunderstood Entity.",Arch Craniofac Surg,2023-12-17-21-58-17,True,Match
29403177,PMC5795735,Cytopathological Diagnosis and Differential Diagnoses of Facial Spindle Cell Lipoma.,J Cytol,2023-12-17-21-58-17,True,Match
29616170,PMC5865930,Spindle Cell Lipoma of the Thumb.,Plast Reconstr Surg Glob Open,2023-12-17-21-58-17,True,Match
31482039,PMC6701427,A 37 mm Spindle Cell Lipoma on the Floor of the Mouth.,Case Rep Dent,2023-12-17-21-58-17,True,Match
31965112,PMC8145669,Practical approach to diagnosis of bland-looking spindle cell lesions of the breast.,Pathologica,2023-12-17-21-58-17,True,NotMatch
32438529,PMC7327671,Primary pleural liposarcoma combined spindle cell lipoma of the lung.,Thorac Cancer,2023-12-17-21-58-17,True,Match
32550032,PMC7281801,A Painless Restricted Motion of the Thumb: What Etiology? About An Uncommon Tumor in Uncommon Localization.,Case Rep Orthop,2023-12-17-21-58-17,True,NotMatch
32551146,PMC7277026,A Rare Cause of Cough: Tracheobronchial Myxoid Spindle Cell Lipoma.,Case Rep Pulmonol,2023-12-17-21-58-17,True,Match
32566457,PMC7275214,The Diagnostic and Clinical Significance of TFE3 Immunohistochemical Nuclear Expression in Solitary Fibrous Tumour.,Anal Cell Pathol (Amst),2023-12-17-21-58-17,True,NotMatch
32702862,PMC7373547,Spindle cell lipoma of the larynx: A case report.,Medicine (Baltimore),2023-12-17-21-58-17,True,Match
33262887,PMC7690240,Dendritic fibromyxolipoma: A case report.,Mol Clin Oncol,2023-12-17-21-58-17,True,NotMatch
33353193,PMC7767010,Telocytes/CD34+ Stromal Cells in Pathologically Affected White Adipose Tissue.,Int J Mol Sci,2023-12-17-21-58-17,True,NotMatch
