pmcid,figure_name,width,height
PMC2715461,12105_2009_112_Fig1_HTML.jpg,488,701
PMC9443713,gr1.jpg,710,842
PMC3156996,ijmsv08p0479g01.jpg,491,369
PMC3156996,ijmsv08p0479g04.jpg,408,308
PMC3156996,ijmsv08p0479g03.jpg,408,309
PMC3156996,ijmsv08p0479g02.jpg,408,314
PMC2876251,IJOL2010-942152.002.jpg,456,369
PMC2876251,IJOL2010-942152.006.jpg,450,333
PMC2876251,IJOL2010-942152.007.jpg,459,336
PMC2876251,IJOL2010-942152.005.jpg,453,330
PMC2876251,IJOL2010-942152.004.jpg,450,333
PMC2876251,IJOL2010-942152.001.jpg,444,390
PMC2876251,IJOL2010-942152.003.jpg,456,336
PMC3362239,cop-0003-0145-g03.jpg,561,421
PMC3362239,cop-0003-0145-g01.jpg,413,315
PMC3362239,cop-0003-0145-g02.jpg,561,421
PMC3584920,1746-1596-7-155-1.jpg,600,452
PMC3584920,1746-1596-7-155-2.jpg,600,450
PMC1557590,1746-1596-1-13-1.jpg,600,399
PMC1557590,1746-1596-1-13-3.jpg,600,792
PMC1557590,1746-1596-1-13-5.jpg,600,615
PMC1557590,1746-1596-1-13-4.jpg,600,812
PMC1557590,1746-1596-1-13-2.jpg,600,396
PMC3541572,CRIM.OTOLARYNGOLOGY2012-107383.004.jpg,600,460
PMC3541572,CRIM.OTOLARYNGOLOGY2012-107383.003.jpg,600,460
PMC3541572,CRIM.OTOLARYNGOLOGY2012-107383.001.jpg,600,460
PMC3541572,CRIM.OTOLARYNGOLOGY2012-107383.005.jpg,600,460
PMC3541572,CRIM.OTOLARYNGOLOGY2012-107383.002.jpg,600,460
PMC3643365,JCytol-30-55-g002.jpg,742,556
PMC3643365,JCytol-30-55-g001.jpg,742,556
PMC3673352,JSTCR-4-110-g001.jpg,377,503
PMC3673352,JSTCR-4-110-g003.jpg,629,503
PMC3673352,JSTCR-4-110-g002.jpg,367,503
PMC3479776,kjpathol-46-115-g002.jpg,789,683
PMC3479776,kjpathol-46-115-g001.jpg,793,1328
PMC3479776,kjpathol-46-115-i001.jpg,1200,526
PMC3479776,kjpathol-46-115-i002.jpg,1200,209
PMC3691642,1477-7819-11-145-1.jpg,600,902
PMC3691642,1477-7819-11-145-2.jpg,600,676
PMC3881198,OL-07-02-0435-g00.jpg,708,223
PMC3881198,OL-07-02-0435-g01.jpg,602,454
PMC3881198,OL-07-02-0435-g02.jpg,602,454
PMC3687177,JOMFP-17-148c-g001.jpg,720,537
PMC3687177,JOMFP-17-148c-g003.jpg,712,535
PMC3687177,JOMFP-17-148c-g004.jpg,742,520
PMC3687177,JOMFP-17-148c-g002.jpg,764,280
PMC3687177,JOMFP-17-148c-g005.jpg,738,460
PMC4023060,kjr-15-397-g001.jpg,678,635
PMC4170152,ijos20143f3.jpg,780,1050
PMC4170152,ijos20143f2.jpg,658,417
PMC4170152,ijos20143f1.jpg,718,540
PMC4236705,SAJC-3-229b-g001.jpg,796,744
PMC3891609,CRIM.PATHOLOGY2013-738014.002.jpg,600,470
PMC3891609,CRIM.PATHOLOGY2013-738014.001.jpg,600,583
PMC3891609,CRIM.PATHOLOGY2013-738014.003.jpg,600,583
PMC3891609,CRIM.PATHOLOGY2013-738014.004.jpg,600,583
PMC3891609,CRIM.PATHOLOGY2013-738014.005.jpg,600,583
PMC4359822,CRIONM2015-382925.001.jpg,657,343
PMC4894806,ajd-37-0920-g003.jpg,653,460
PMC4894806,ajd-37-0920-g004.jpg,653,488
PMC4894806,ajd-37-0920-g001.jpg,681,515
PMC4894806,ajd-37-0920-g002.jpg,681,515
PMC4894806,ajd-37-0920-g005.jpg,681,513
PMC4301481,OL-09-02-0583-g01.jpg,688,1802
PMC4301481,OL-09-02-0583-g03.jpg,602,346
PMC4301481,OL-09-02-0583-g02.jpg,688,864
PMC4301481,OL-09-02-0583-g00.jpg,602,852
PMC4387938,CRIOT2015-813240.004.jpg,750,575
PMC4387938,CRIOT2015-813240.005.jpg,750,575
PMC4387938,CRIOT2015-813240.001.jpg,705,750
PMC4387938,CRIOT2015-813240.002.jpg,750,684
