pmid,pmcid,title,journal,insert_time,label,caption,graphic
16859566,PMC1557590,Breast spindle cell tumours: about eight cases.,Diagn Pathol,2023-12-17-21-58-17,Figure 1,"spindle cell lipoma. (a) Benign cytology BSCT, moderately cellular smear with benign looking spindle cells, Papanicolaou × 400. (b) Bland spindle cells intermingled with mature adipocytes and thick collagen bundles, H&E × 400. (c) Another field of the same case where the adipocytes are less prominent compared to ""b"", H&E × 400. (d) Adipocytes and spindle cells positive for CD34 IHC, DAB, Hx, × 400. See additional files 1, 2, 3, 4 for higher resolution images.",1746-1596-1-13-1
16859566,PMC1557590,Breast spindle cell tumours: about eight cases.,Diagn Pathol,2023-12-17-21-58-17,Figure 2,"myofibroblastoma. (a) Most of the tumor is formed of hyalinized collagen bundles surrounded by spindle cells, H&E × 400. (b) Cellular area formed of palissading spindle cells, H&E × 400. (c) Staining of spindle and oval cells is more pronounced in the lower right part, CD34 IHC, DAB, Hx × 400. (d) Focal area of spindle and oval cells positive for SMA, IHC, DAB, Hx ×400. See additional files 5, 6, 7, 8 for higher resolution images.",1746-1596-1-13-2
16859566,PMC1557590,Breast spindle cell tumours: about eight cases.,Diagn Pathol,2023-12-17-21-58-17,Figure 3,"myoepithelial carcinoma. (a) Spindle cell proliferation surrounding epithelial lumina, H&E × 400. (b) Higher power view showing pleomorphic spindle cells with eosinoplilic and clear cytoplasm surrounding an epithelial lined space, H&E × 400. (c) Another area showing pleomorphic spindle and ovoid cells with eosinophilic cytoplasm arranged in fascicles; cells have high mitotic activity, H&E × 400. (d) Pleomorphic spindle and ovoid cells with clear cytoplasm arranged in wavy fascicles, H&E × 400. (e) s100 p IHC staining of the myoepithelial cells around the epithelial lumina and the neoplastic spindle cells × DAB, Hx, ×10. (f) Higher magnification of ""fig 4e"" showing staining of almost all the cells for s100 p IHC, DAB, Hx, × 400. (g) CD10 IHC, DAB, Hx, × 400. see additional files 9, 10, 11, 1213, 14, 15 for higher resolution images.",1746-1596-1-13-3
16859566,PMC1557590,Breast spindle cell tumours: about eight cases.,Diagn Pathol,2023-12-17-21-58-17,Figure 4,"leiomyosarcoma. (a) Malignant BSCTs cytology, cellular smear with sheets of spindle cells, Papanicolaou staining × 400. (b) Another field showing neoplastic ovoid cells, Papanicolaou staining × 400. (c) Well circumscribed tumor pushing the normal ductal cells at the periphery, H&E × 10. (d) Spindle cells are merging from blood vessels, H&E, × 10. (e) Desmin IHC highlighting cells merging from the blood vessels, DAB Hx × 400. (f) Intersecting fascicles of pleomorphic malignant spindle cells having cigar shaped blunt ended nuclei, H&E, × 400. (g) Desmin IHC, DAB, Hx × 400. See additional files 16, 17, 18, 1920, 21, 22 for higher resolution images.",1746-1596-1-13-4
16859566,PMC1557590,Breast spindle cell tumours: about eight cases.,Diagn Pathol,2023-12-17-21-58-17,Figure 5,"spindle cell carcinoma. (a) Area with bland morphology compared to ""fig 4b"", H&E ×400. (b) Area with pleomorphic cells, and high mitotic activity, H&E × 400. (c) CK IHC, DAB, Hx, × 400. (d) CD10 IHC, DAB, Hx, × 400. (e) s100p, DAB, Hx, × 400 f- SMA IHC, DAB, Hx, × 400. See additional files 23, 24, 25, 2627, 28 for higher resolution images.",1746-1596-1-13-5
18521440,PMC2408370,AP2 protein expression as a diagnostic marker in soft tissue tumours.,Sarcoma,2023-12-17-21-58-17,,,
19644547,PMC2715461,Cellular angiofibroma of oral mucosa: report of two cases.,Head Neck Pathol,2023-12-17-21-58-17,Fig. 1,"Case 1. a Submucosal well demarcated, partially encapsulated mass is comprised of fibrovascular tissue (H&E, 50×), b Numerous prominent, plump endothelial cells line vessels in the background of a bland hypercellular fibroblastic element (H&E, 200×). Case 2. c Demarcated mass comprised of multiple small prominent vessels, zones of fibroblastic cellularity with desmoplasia and pockets of adipocytes (H&E, 50×). d Higher magnification showing vascularity, sclerosis and adipocytes (H&E, 200×). e Factor VIII immunoreactivity in vessels (IHC/DAB, 200×). f CD34 immunoreactivity in both endothelial cells and fibroblasts (IHC/DAB, 200×)",12105_2009_112_Fig1_HTML
20508829,PMC2876251,Left supraclavicular spindle cell lipoma.,Int J Otolaryngol,2023-12-17-21-58-17,Figure 1,Coronal CT scan of the neck showing a left supraclavicular mass with internal septations.,IJOL2010-942152.001
20508829,PMC2876251,Left supraclavicular spindle cell lipoma.,Int J Otolaryngol,2023-12-17-21-58-17,Figure 2,Axial CT scan of the neck showing extension of left supraclavicular mass posteriorly.,IJOL2010-942152.002
20508829,PMC2876251,Left supraclavicular spindle cell lipoma.,Int J Otolaryngol,2023-12-17-21-58-17,Figure 3,Low-power view of the tumour. Islands of adipocytes are surrounded by loose fibrous septa with artefactual clefts giving a pseudo-angiomatous appearance (H&E x20).,IJOL2010-942152.003
