pmid,pmcid,title,journal,insert_time
10389975,PMC2363016,"In squamous cell carcinoma of the vulva, overexpression of p53 is a late event and neither p53 nor mdm2 expression is a useful marker to predict lymph node metastases.",Br J Cancer,2023-12-17-22-12-02
10424747,PMC2363075,Comparison of endoscopic features of early-stage squamous cell lung cancer and histological findings.,Br J Cancer,2023-12-17-22-12-52
10507780,PMC2362914,Trends for invasive squamous cell neoplasia of the skin in Norway.,Br J Cancer,2023-12-17-22-12-38
10609562,PMC4615145,"Quantitative immunohistochemical analyses of the expression of E-cadherin, thrombomodulin, CD44H and CD44v6 in primary tumours of pharynx/larynx squamous cell carcinoma and their lymph node metastases.",Anal Cell Pathol,2023-12-17-22-12-08
10646898,PMC2363275,Immunohistochemical analysis of Bcl-2 protein in early squamous cell carcinoma of the bronchus treated with photodynamic therapy.,Br J Cancer,2023-12-17-22-12-45
10665654,PMC5926028,Significance of heterogeneous nuclear ribonucleoprotein B1 as a new early detection marker for oral squamous cell carcinoma.,Jpn J Cancer Res,2023-12-17-22-12-45
10732740,PMC2374404,No association between P53 codon 72 polymorphism and risk of squamous cell carcinoma of the head and neck.,Br J Cancer,2023-12-17-22-12-16
10789735,PMC2363390,Prognostic value of histological and biological markers in pharyngeal squamous cell carcinoma: a case-control study.,Br J Cancer,2023-12-17-22-12-02
10839309,PMC2363236,Alcohol consumption and cigarette smoking in relation to high frequency of p53 protein accumulation in oesophageal squamous cell carcinoma in the Japanese.,Br J Cancer,2023-12-17-22-11-55
10883673,PMC2374535,Anal carcinoma in inflammatory bowel disease.,Br J Cancer,2023-12-17-22-11-55
11044351,PMC2408780,p53 codon 72 polymorphism in vulval cancer and vulval intraepithelial neoplasia.,Br J Cancer,2023-12-17-22-12-38
11050464,PMC5926254,"Birth cohort effects on incidence of lung cancers: a population-based study in Nagasaki, Japan.",Jpn J Cancer Res,2023-12-17-22-11-55
11050477,PMC5926266,Association of preoperative radiation effect with tumor angiogenesis and vascular endothelial growth factor in oral squamous cell carcinoma.,Jpn J Cancer Res,2023-12-17-22-11-55
11139325,PMC2363606,Drinking hot beverages is not associated with risk of oesophageal cancers in a Western population.,Br J Cancer,2023-12-17-22-12-23
11153607,PMC4617818,Immunohistochemical assessment of the tumour-associated epitopes CD44v6 and E48 in tumour-free lymph nodes from patients with squamous cell carcinoma in the head-neck region.,Anal Cell Pathol,2023-12-17-22-12-30
11161383,PMC2363709,Differential expression of a novel serine protease homologue in squamous cell carcinoma of the head and neck.,Br J Cancer,2023-12-17-22-11-55
11259103,PMC2363809,Squamous cell carcinoma antigen suppresses radiation-induced cell death.,Br J Cancer,2023-12-17-22-12-30
11319942,PMC32171,Expression of nm23-H1 gene product in esophageal squamous cell carcinoma and its association with vessel invasion and survival.,BMC Cancer,2023-12-17-22-12-38
