pmcid,figure_name,width,height
PMC2364270,87-6600445t1.jpg,332,345
PMC2364270,87-6600445t2.jpg,562,359
PMC2364270,87-6600445t3.jpg,332,213
PMC2364270,87-6600445t4.jpg,332,149
PMC1769399,1475-2867-6-28-3.jpg,600,413
PMC1769399,1475-2867-6-28-4.jpg,600,240
PMC1769399,1475-2867-6-28-1.jpg,600,450
PMC1769399,1475-2867-6-28-2.jpg,600,226
PMC1555584,1477-7819-4-49-2.jpg,600,450
PMC1555584,1477-7819-4-49-1.jpg,600,450
PMC2816329,jkms-19-674-g002.jpg,419,324
PMC2816329,jkms-19-674-g001.jpg,419,324
PMC2816329,jkms-19-674-i001.jpg,421,376
PMC2816329,jkms-19-674-i002.jpg,635,270
PMC2816329,jkms-19-674-i003.jpg,421,320
PMC2475424,ulstermedj00007-0059-b.jpg,509,375
PMC2475424,ulstermedj00007-0059-a.jpg,506,372
PMC1087859,1475-2867-5-7-5.jpg,465,612
PMC1087859,1475-2867-5-7-3.jpg,600,380
PMC1087859,1475-2867-5-7-2.jpg,600,350
PMC1087859,1475-2867-5-7-1.jpg,600,450
PMC1087859,1475-2867-5-7-4.jpg,600,436
PMC1182400,1477-7819-3-44-1.jpg,600,495
PMC1182400,1477-7819-3-44-2.jpg,600,475
PMC1845148,1477-7819-5-34-1.jpg,427,447
PMC1845148,1477-7819-5-34-4.jpg,510,466
PMC1845148,1477-7819-5-34-5.jpg,387,349
PMC1845148,1477-7819-5-34-3.jpg,510,466
PMC1845148,1477-7819-5-34-2.jpg,600,480
PMC2823042,ymj-46-155-g001.jpg,464,317
PMC2823042,ymj-46-155-g002.jpg,403,281
PMC2823042,ymj-46-155-g003.jpg,440,317
PMC1852111,1748-717X-2-15-1.jpg,600,450
PMC1852111,1748-717X-2-15-2.jpg,600,450
PMC2395288,89-6601444t3.jpg,770,328
PMC2395288,89-6601444f3.jpg,626,279
PMC2395288,89-6601444f1.jpg,646,850
PMC2395288,89-6601444f2.jpg,642,416
PMC2395288,89-6601444t1.jpg,769,286
PMC2395288,89-6601444t2.jpg,770,1652
PMC2816833,jkms-19-345-g004.jpg,472,659
PMC2816833,jkms-19-345-i001.jpg,635,369
PMC2816833,jkms-19-345-g003.jpg,473,660
PMC2816833,jkms-19-345-g001.jpg,635,215
PMC2816833,jkms-19-345-g002.jpg,635,433
PMC2375212,86-6600081t2.jpg,332,121
PMC2375212,86-6600081f4.jpg,311,300
PMC2375212,86-6600081t1.jpg,332,173
PMC2375212,86-6600081f3.jpg,305,214
PMC2375212,86-6600081f6.jpg,305,245
PMC2375212,86-6600081f1.jpg,466,137
PMC2375212,86-6600081f5.jpg,646,829
PMC2375212,86-6600081f2.jpg,311,299
PMC2394479,89-6601157t1.jpg,769,468
PMC2394479,89-6601157t3.jpg,769,585
PMC2394479,89-6601157f2.jpg,765,464
PMC2394479,89-6601157f1.jpg,786,580
PMC2394479,89-6601157t4.jpg,769,338
PMC2394479,89-6601157f3.jpg,728,496
PMC2394479,89-6601157t2.jpg,769,433
PMC1074709,ijmsv01p0146g02.jpg,405,292
PMC1074709,ijmsv01p0146g01.jpg,410,294
PMC1619204,his0049-0256-f4.jpg,478,358
PMC1619204,his0049-0256-f5.jpg,478,358
PMC1619204,his0049-0256-f2.jpg,478,358
PMC1619204,his0049-0256-f3.jpg,478,358
PMC1619204,his0049-0256-f1.jpg,478,358
PMC1619204,his0049-0256-f6.jpg,478,358
PMC2376283,87-6600618f2.jpg,316,724
PMC2376283,87-6600618t1.jpg,332,143
PMC2376283,87-6600618f4.jpg,312,235
PMC2376283,87-6600618f1.jpg,303,481
PMC2376283,87-6600618t2.jpg,332,120
PMC2376283,87-6600618f3.jpg,311,210
PMC2361832,92-6602343f2.jpg,780,713
PMC2361832,92-6602343f1.jpg,687,519
PMC2718165,kjr-1-118-g001.jpg,663,654
PMC2009480,brjcancer00327-0017-a.jpg,641,990
PMC2009480,brjcancer00327-0018-a.jpg,646,992
PMC1947947,1746-1596-2-26-1.jpg,464,438
PMC1947947,1746-1596-2-26-2.jpg,464,441
PMC1947947,1746-1596-2-26-3.jpg,464,441
PMC1569867,1476-4598-5-30-2.jpg,600,1358
PMC1569867,1476-4598-5-30-1.jpg,600,800
PMC1847680,1477-7800-4-8-4.jpg,600,450
