pmid,pmcid,title,journal,insert_time
20606990,PMC2890132,A modified surgical technique for steatocystoma multiplex.,J Cutan Aesthet Surg,2024-02-14-09-13-26
20689635,PMC2914372,A Case of Multiple Pilosebaceous Cysts.,Case Rep Dermatol,2024-02-14-09-13-26
21063535,PMC2965929,Er: yag laser therapy for steatocystoma multiplex.,Indian J Dermatol,2024-02-14-09-13-26
22148065,PMC3229080,Steatocystoma multiplex confined to the scalp with concurrent alopecia.,Ann Dermatol,2024-02-14-09-13-26
22363850,PMC3262536,Atypical steatocystoma multiplex with calcification.,ISRN Dermatol,2024-02-14-09-13-26
23741681,PMC3673388,Acral steatocystoma multiplex.,Indian Dermatol Online J,2024-02-14-09-13-26
23984238,PMC3752480,Eruptive vellus hair cyst presenting as asymptomatic follicular papules on extremities.,Indian Dermatol Online J,2024-02-14-09-13-26
24371407,PMC3870228,A novel missense mutation of keratin 17 gene in a chinese family with steatocystoma multiplex.,Ann Dermatol,2024-02-14-09-13-26
26165312,PMC4581757,Steatocystoma multiplex is associated with the R94C mutation in the KRTl7 gene.,Mol Med Rep,2024-02-14-09-13-26
26831248,PMC4799590,Clinical Misdiagnosis of Steatocystoma Simplex of Eyebrow in a Pediatric Patient.,Chin Med J (Engl),2024-02-14-09-13-26
26951088,PMC4782336,Steatocystoma simplex in penile foreskin: a case report.,J Med Case Rep,2024-02-14-09-13-26
27559502,PMC4976406,Pachyonychia congenita with late onset (PC tarda).,Indian Dermatol Online J,2024-02-14-09-13-26
27760530,PMC5069776,Steatocystoma simplex of the lacrimal caruncle: a case report.,BMC Ophthalmol,2024-02-14-09-13-26
28300893,PMC5324992,Steatocystoma multiplex suppurativa: case report of a rare condition.,An Bras Dermatol,2024-02-14-09-13-26
28480085,PMC5396452,A Tale of Two Cysts: Steatocystoma Multiplex and Eruptive Vellus Hair Cysts-Two Case Reports and a Review of the Literature.,Case Rep Dermatol Med,2024-02-14-09-13-26
28932064,PMC5596647,Follicular Hybrid Cyst with Rare Juxtaposition of Epidermal Cyst and Steatocystoma.,Int J Trichology,2024-02-14-09-13-26
29263544,PMC5724318,Cutaneous Cysts with Nail Dystrophy in a Young Female: A Classical Association.,Indian J Dermatol,2024-02-14-09-13-26
29440857,PMC5803851,Eruptive Vellus Hair Cyst: An Uncommon and Underdiagnosed Entity.,Int J Trichology,2024-02-14-09-13-26
