pmcid,label,caption,graphic,disease,modality
PMC2965929,Figure 1,"Multiple flesh-coloured to yellow papules, varying in size between 2 and 4 mm on forehead",IJD-55-300-g001,NotMatch,NotMatch
PMC2965929,Figure 2,Oily and creamy material drained from Er: Yag laser created punctum,IJD-55-300-g002,NotMatch,NotMatch
PMC2890132,Figure 1,Asymptomatic skin colored papules and nodules on scrotum in Case 1,JCAS-03-25-g001,NotMatch,NotMatch
PMC2890132,Figure 2,Mini-incisions are given on the cysts with the RF probe,JCAS-03-25-g002,NotMatch,NotMatch
PMC2890132,Figure 3,Cyst contents are squeezed out,JCAS-03-25-g003,NotMatch,NotMatch
PMC2890132,Figure 4,Extraction of the cyst by grasping the wall with forceps,JCAS-03-25-g004,NotMatch,NotMatch
PMC2890132,Figure 5,Extracted cysts placed on the gauze-piece,JCAS-03-25-g005,NotMatch,NotMatch
PMC2890132,Figure 6,Case 2: Before procedure,JCAS-03-25-g006,NotMatch,NotMatch
PMC2890132,Figure 7,Case 2: After procedure,JCAS-03-25-g007,NotMatch,NotMatch
PMC3229080,Fig. 1,A 50-year-old man presented with asymptomatic multiple cystic nodules (ranging in size from 2 mm to 4 cm) and alopecic patches on his scalp.,ad-23-S258-g001,NotMatch,NotMatch
PMC3229080,Fig. 2,"(A) The cyst was located within the lower dermis and subcutaneous fat (H&E, ×12.5). The folded cystic wall was lined by stratified squamous epithelium and contained flattened sebaceous gland cells (inset) (H&E, ×400). (B) Pigment casts were present in the hair papillae and peribulbar connective tissue (H&E, ×100).",ad-23-S258-g002,NotMatch,Match
PMC2914372,Fig. 1,"Clinical appearance of the neck (a), chest and upper abdomen (b).",cde0002-0116-f01,NotMatch,NotMatch
PMC2914372,Fig. 2,"Hematoxylin and eosin staining showed (a) a smaller cyst peripherally from the spindle biopsy specimen and (b) a larger cyst centrally. Both cysts were present in the mid-dermis. a The wall of the smaller cyst was composed of three to five layers of squamous epithelium. The smaller cyst contained many vellus hairs. b The larger cyst had a wall of two to three layers of squamous epithelium, and contained several vellus hairs (original magnification ×40).",cde0002-0116-f02,NotMatch,NotMatch
PMC3673388,Figure 1,Multiple mobile nodules in the left foot,IDOJ-4-156-g001,NotMatch,NotMatch
PMC3673388,Figure 2,"Histopathology showing unremarkable epidermis with numerous cysts of variable sizes in the dermis. (H and E, ×100)",IDOJ-4-156-g002,NotMatch,Match
PMC3673388,Figure 3,"Histopathology showing sebaceous gland lobules as well as individual cells close to the cyst wall. (H and E, ×400)",IDOJ-4-156-g003,NotMatch,NotMatch
PMC3752480,Figure 1,Multiple hyperpigmented follicular papules on flexural aspect of forearm,IDOJ-4-213-g001,NotMatch,NotMatch
PMC3752480,Figure 2,"Mid dermal cyst lined by flattened squamous epithelium [H & E, 10X]",IDOJ-4-213-g002,NotMatch,Match
PMC3752480,Figure 3,"Cyst cavity containing laminated keratinous material and varying numbers of transversely and obliquely cut vellus hair shafts [H & E, 100X]",IDOJ-4-213-g003,NotMatch,Match
PMC3262536,Figure 1,,DERMATOLOGY2011-381901.001,Empty,Empty
PMC3262536,Figure 2,,DERMATOLOGY2011-381901.002,Empty,Empty
PMC3262536,Figure 3,,DERMATOLOGY2011-381901.003,Empty,Empty
PMC3870228,Fig. 1,"(A, B) Steatocystoma multiplex lesions located on the chest and neck of the proband in pedigree 1. (C) The phenotype consisting of myriads of cysts on the abdomen of the prohand's father. (D) Pathological changes of cystic modules from the chest of the proband (H&E, ×400).",ad-25-508-g001,Match,Match
PMC3870228,Fig. 2,"(A, B) Heterozygous double peaks of nucleotide C and T at nucleotide 71 in patients of pedigree. (C) Normal sequence.",ad-25-508-g002,NotMatch,NotMatch
PMC4799590,Figure 1,"Frontal and basal photographs showing a nodular lesion of the left eyebrow with normal overlying skin (left); photomicrograph of surgical specimen showing squamous epithelium lining the cyst wall with scattered sebaceous glands consistent with steatocystoma simplex (right) (H and E, original magnification, ×80).",CMJ-129-377-g001,Match,NotMatch
