pmcid,figure_name,width,height
PMC2965929,IJD-55-300-g002.jpg,745,522
PMC2965929,IJD-55-300-g001.jpg,745,522
PMC2890132,JCAS-03-25-g005.jpg,558,365
PMC2890132,JCAS-03-25-g007.jpg,558,394
PMC2890132,JCAS-03-25-g004.jpg,697,651
PMC2890132,JCAS-03-25-g001.jpg,432,637
PMC2890132,JCAS-03-25-g003.jpg,585,677
PMC2890132,JCAS-03-25-g006.jpg,558,310
PMC2890132,JCAS-03-25-g002.jpg,501,698
PMC2914372,cde0002-0116-f02.jpg,529,197
PMC2914372,cde0002-0116-f01.jpg,529,175
PMC3229080,ad-23-S258-g001.jpg,633,834
PMC3229080,ad-23-S258-g002.jpg,644,310
PMC3752480,IDOJ-4-213-g001.jpg,724,407
PMC3752480,IDOJ-4-213-g003.jpg,618,464
PMC3752480,IDOJ-4-213-g002.jpg,724,543
PMC3673388,IDOJ-4-156-g002.jpg,744,996
PMC3673388,IDOJ-4-156-g001.jpg,736,510
PMC3673388,IDOJ-4-156-g003.jpg,743,557
PMC4581757,MMR-12-04-5072-g00.jpg,718,295
PMC4581757,MMR-12-04-5072-g01.jpg,602,454
PMC4581757,MMR-12-04-5072-g02.jpg,602,454
PMC4581757,MMR-12-04-5072-g03.jpg,708,431
PMC3870228,ad-25-508-g001.jpg,792,594
PMC3870228,ad-25-508-g002.jpg,737,490
PMC4799590,CMJ-129-377-g001.jpg,780,350
PMC3262536,DERMATOLOGY2011-381901.003.jpg,600,460
PMC3262536,DERMATOLOGY2011-381901.002.jpg,600,460
PMC3262536,DERMATOLOGY2011-381901.001.jpg,600,460
PMC5069776,12886_2016_358_Fig1_HTML.jpg,358,743
PMC4782336,13256_2016_845_Fig2_HTML.jpg,358,471
PMC4782336,13256_2016_845_Fig1_HTML.jpg,358,473
PMC4782336,13256_2016_845_Fig3_HTML.jpg,567,219
PMC5324992,abd-91-05-s1-0051-g03.jpg,600,558
PMC5324992,abd-91-05-s1-0051-g02.jpg,600,413
PMC5324992,abd-91-05-s1-0051-g01.jpg,600,600
PMC5324992,abd-91-05-s1-0051-g04.jpg,600,446
PMC5324992,abd-91-05-s1-0051-g05.jpg,767,1150
PMC4976406,IDOJ-7-278-g002.jpg,538,405
PMC4976406,IDOJ-7-278-g001.jpg,539,390
PMC4976406,IDOJ-7-278-g003.jpg,539,408
PMC4976406,IDOJ-7-278-g004.jpg,539,865
PMC4976406,IDOJ-7-278-g005.jpg,538,337
PMC5596647,IJT-9-119-g001.jpg,328,586
PMC5596647,IJT-9-119-g002.jpg,632,946
PMC5803851,IJT-10-31-g002.jpg,368,615
PMC5803851,IJT-10-31-g003.jpg,539,402
PMC5803851,IJT-10-31-g001.jpg,356,586
PMC5724318,IJD-62-661-g004.jpg,539,290
PMC5724318,IJD-62-661-g006.jpg,539,288
PMC5724318,IJD-62-661-g007.jpg,539,366
PMC5724318,IJD-62-661-g008.jpg,481,586
PMC5724318,IJD-62-661-g005.jpg,539,304
PMC5724318,IJD-62-661-g003.jpg,664,586
PMC5724318,IJD-62-661-g001.jpg,539,336
PMC5724318,IJD-62-661-g002.jpg,539,230
PMC5724318,IJD-62-661-g009.jpg,539,127
PMC5396452,CRIDM2017-3861972.003.jpg,752,419
PMC5396452,CRIDM2017-3861972.002.jpg,752,331
PMC5396452,CRIDM2017-3861972.001.jpg,752,571
PMC5396452,CRIDM2017-3861972.004.jpg,752,331
PMC6465725,cde-0011-0071-g03.jpg,691,521
